id	activityId	reward	rewardNum	weight	picture	status	title	title_zh_TW	title_en_UK	title_ja_JP	title_ko_KR	title_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	3000002	50	100	18:card_icon_101008_2.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	调查官，希望你能记住——不管是现在还是未来，我都在。	調查官，希望你能記住——不管是現在還是未來，我都在。	Remember, Inspector, I will be by your side, now and always.	调查官、覚えていてほしい——これまでも、そしてこれからも、私はここにいます。	조사관, 지금이나 미래나, 나는 항상 너의 곁에 있을 거라는 걸 기억해줘.	ผู้ตรวจการ​ หวัง​ว่า​คุณ​จะ​จำ​เรื่อง​นี้​ไว้​นะ​ —​ ไม่​ว่า​จะ​เป็น​ตอนนี้​ หรือ​อนาคต​ข้างหน้า​ ฉัน​ก็​จะ​อยู่​ข้าง​คุณ​เสมอ​	非天	非天	Asura	アスラ	아수라	อาสึระ
2	1	3000002	50	100	18:card_icon_102008_1.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	哼哼！有我这个天才美少女在身边是不是很快乐呀！我也是，有调查官在的每一天，都特别特别幸福！	哼哼！有我這個天才美少女在身邊是不是很快樂呀！我也是，有調查官在的每一天，都特別特別幸福！	Isn't it wonderful to have a brilliant lady like me around? Haha, I feel the same way! Every day spent with you, Inspector, is a joy.	えへへ！この一年、アイコみたいな天才美少女がそばにいて、楽しかったでしょ？アイコもね、調査官と過ごす毎日が、本当に本当に……本当に幸せだったよ！	후훗! 나 같은 천재 미소녀가 곁에 있다면 행복하지 않겠다냥? 나는 조사관이랑 함께 있는 시간이 정말 정말 행복하다냥!	ฮึ​ฮึ่ม​!​ มี​สาวน้อย​อัจฉริยะ​สุด​น่ารัก​อย่าง​เอ​ค​โค​อยู่​ด้วย​แบบนี้​ ผู้ตรวจการ​คงจะ​มีความสุข​สุด​ๆ​ ไป​เลย​ล่ะ​สิ​!​ เอ​ค​โค​ก็​เหมือนกัน​นะ​ วันที่​มี​ผู้ตรวจการ​อยู่​ด้วย​ เอ​ค​โค​มีความสุข​สุด​ๆ​ ไป​เลย​ล่ะ​!​	艾可	艾可	Echo	アイコ	에코	เอคโค
3	1	3000002	50	100	18:card_icon_103008_1.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	与调查官共同度过的这段时光，留下了太多美好的回忆……如此珍贵，如此难得。希望，未来的我们也可以继续同行。	與調查官共同度過的這段時光，留下了太多美好的回憶……如此珍貴，如此難得。希望，未來的我們也可以繼續同行。	I cherish the countless precious memories we've created together, Inspector. They are rare and invaluable moments that I hold dear. I hope we can continue working together in the future.	調査官と一緒に過ごしたこの一年は大切で、かけがえのないものでしたわ。素敵な思い出もいっぱい増えました。これからも、ずっと一緒に歩んでいけますように。	조사관님이랑 함께한 시간들이 너무나 소중하고 아름다운 추억으로 가득해요.. 앞으로도 우리 함께 계속 나아갈 수 있기를 기원드립니다.	ช่วงเวลา​ที่​ได้​อยู่​ร่วมกัน​กับ​คุณ​ผู้ตรวจการ​ ได้​ก่อให้เกิด​ความทรงจำ​อัน​สวยงาม​ขึ้น​มา​มากมาย​...​ มัน​ทั้ง​ล้ำค่า​...​ และ​หา​ได้​ยาก​ยิ่ง​ หวัง​ว่า​พวกเรา​ในอนาคต​ข้างหน้า​ก็​จะ​ยังคง​เดิน​ร่วมทาง​ไป​ด้วยกัน​ต่อไป​นะคะ​	特莉丝	特莉絲	Triss	トリス	트리스	ทริส
4	1	3000002	50	100	18:card_icon_104003_2.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	哎呀~这时间过得还真是快，有没有更了解我一些呢调查官？比如——我比想象中要更喜欢你……	哎呀~這時間過得還真是快，有沒有更瞭解我一些呢調查官？比如——我比想像中要更喜歡你……	Time really does fly, doesn't it? I wonder, Inspector, do you realize how much you mean to me? My feelings for you run deeper than you might imagine.	いやはや～1年って本当にあっという間だね。\nねえ調査官、私のこと、前より少しは分かってきたかしら？たとえば——思ってたより、私があなたのこと好きだってこととか……	어머나~ 시간은 참 빨리 지나가는 것 같아. 조사관은 나에 대해 어떻게 생각해? 예를 들면… 나는 생각보다 너를 좋아하고 있다는 거?	แหม​~​ เวลา​นี่​มัน​ผ่าน​ไป​ไว​จริงๆ​ เลย​นะ​ เริ่ม​จะ​เข้าใจ​ฉัน​ขึ้น​มา​บ้าง​รึ​ยัง​ล่ะ​ คุณ​ผู้ตรวจการ​?​ ก็​อย่างเช่น​ —​ ฉัน​น่ะ​ชอบ​เธอ​มากกว่า​ที่​เธอ​คิด​ซะ​อีก​นะ​...​	南弥生	南彌生	Minami	南弥生	미나미	มินามิ
5	1	3000002	50	100	18:card_icon_108008_2.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	调查官，伴随在你身侧的我，一直都非常清楚你至今为止的努力。感谢你的付出，也期待你能成为更好的自己。	調查官，伴隨在你身側的我，一直都非常清楚你至今為止的努力。感謝你的付出，也期待你能成為更好的自己。	Inspector, having been by your side for so long, I've witnessed your tireless dedication. Thank you for your unwavering commitment. I eagerly await the future that you will shape.	調査官、あなたのそばにいた私は、この一年の努力をずっと見てきました。本当にお疲れさま。これからも、調査官がより良い自分になれるよう期待しています。	조사관, 너의 곁에 항상 같이 있던 나는, 네가 많은 노력을 하고 있다는 걸 잘 알고 있어. 시간이 지나고 친구처럼 반말하는 건 아직 익숙하지 않지만, 앞으로 우리가 더 나은 모습으로 성장하면서 익숙해지도록 노력할게. 고마워.	คุณ​ผู้ตรวจการ​ ใน​ฐานะ​ที่​ชิ​โระ​คอย​อยู่​เคียงข้าง​คุณ​มาโดยตลอด​ ชิ​โระ​ได้​รับรู้​ถึง​ความพยายาม​ของ​คุณ​จนถึง​วันนี้​เป็น​อย่าง​ดี​ ขอบคุณ​สำหรับ​ทุกสิ่ง​ที่​คุณ​ทุ่มเท​ และ​หวัง​ว่า​คุณ​จะ​ก้าว​ไป​ข้างหน้า​ต่อไป​ เพื่อ​ตัว​คุณ​เอง​ที่​ดี​ยิ่งขึ้นไป​อีก​นะคะ​	小白	小白	Shiro	シロ	화이트	ชิโระ
6	1	3000002	50	100	18:card_icon_107008_3.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	走上与既定命运相背离的道路，难免会感到孤独。但无论身处于怎样的黑暗，我们终将一起迎来黎明。	走上與既定命運相背離的道路，難免會感到孤獨。但無論身處於怎樣的黑暗，我們終將一起迎來黎明。	When we find ourselves on a path that diverges from our intended destiny, loneliness may creep in. But no matter where we are or what challenges we face, we will greet the dawn together.	定められた運命に背く道を選べば、孤独を感じることもあるだろう。\nでも、どんな闇の中にいても……私たちは必ず一緒に夜明けを迎えられる。	정해진 운명과 다른 길을 걸어가면, 외로움은 피할 수 없다는 걸 느낄 때가 있다. 그래도 우리가 함께한다면 언제나 밝은 내일을 마주할 거야.	การ​เลือก​เดิน​บน​เส้นทาง​ที่​สวนทาง​กับ​โชคชะตา​ที่​ถูก​กำหนด​ไว้​ ย่อม​ทำให้​รู้สึก​โดดเดี่ยว​เป็นธรรมดา​อยู่แล้ว​ แต่​ไม่​ว่า​เรา​จะ​อยู่​ท่ามกลาง​ความ​มืดมิด​ขนาด​ไหน​ สุดท้าย​แล้ว​ พวกเรา​จะ​ได้​ต้อนรับ​แสงอาทิตย์​ของ​วัน​ใหม่​ไป​ด้วยกัน​	伊德	伊德	Idego	イード	에이드	เอ็ด
7	1	3000002	50	100	18:card_icon_105008_1.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	这段时间以来我最高兴的事——就是认识了调查官！我很看好你哦！让我们加油成为未来的大英雄吧！	這段時間以來我最高興的事——就是認識了調查官！我很看好你哦！讓我們加油成為未來的大英雄吧！	One of the greatest joys in my life has been meeting you, Inspector. I hold you in the highest regard. Let us strive forward and become the heroes of tomorrow.	この一年で一番うれしかったこと？それは、調査官と出会えたことだよ！期待してるからね。一緒に未来のヒーローを目指そう！	그동안 내가 가장 기뻤던 일은 조사관을 만난 거야! 나는 항상 믿고 있다고. 같이 힘내서 미래의 히어로가 되어보자!	ตลอด​ช่วงเวลา​ที่ผ่านมา​ เรื่อง​ที่​ฉัน​ดีใจ​ที่สุด​ก็​คือ​ —​ การ​ที่​ได้​รู้จัก​กับ​คุณ​ผู้ตรวจการ​เลย​นะ​!​ ฉัน​เชื่อมั่น​ใน​ตัว​ของ​คุณ​นะ​ เรา​มา​พยายาม​ไป​ด้วยกัน​ และ​กลายเป็น​วีรบุรุษ​ใน​วันข้างหน้า​กัน​เถอะ​!​	内特	內特	Nate	ネイト	네이트	เนท
8	1	3000002	50	100	18:card_icon_106008_1.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	叮铃铃——现在是问答时间——\n小音现在最想见的人是谁呢？\n答案是——在看这封信的人哦~	叮鈴鈴——現在是問答時間——\n小音現在最想見的人是誰呢？\n答案是——在看這封信的人哦~	Ding! It's question time!\nWho is the person Poppy longs to see the most?\nThe answer is... the one reading this letter right now!	ジャンジャン——クイズのお時間だよ——\nイナが今いちばん会いたい人はだーれだ？\n正解は——この手紙を読んでる人だよ～	딩동댕동~ 지금 메시지를 확인해 주세요~ 지금 이 편지를 보고 있는 사람이 바로 이나가 가장 좋아하는 사람이에요~	กริ๊ง​กริ๊ง​ —​ ถึง​ช่วง​ถาม​ตอบ​แล้ว​—​\nตอนนี้​อิ​นะ​อยาก​เจอ​ใคร​ที่สุด​เอ่ย​?​\nคำตอบ​ก็​คือ​ —​ คน​ที่​กำลัง​อ่าน​จดหมาย​ฉบับ​นี้​อยู่​ยังไง​ล่า​~​	小音	小音	Poppy	イナ	이나	อินะ
9	1	3000002	50	100	18:npc_icon_494_4.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	很高兴能与调查官相遇，我也一直在期待着今后的再次合作……到时就麻烦各位喽~	很高興能與調查官相遇，我也一直在期待著今後的再次合作……到時就麻煩各位嘍~	Inspector, it's a pleasure to make your acquaintance once more! I am excited about the prospect of collaborating with you again. I'll be counting on your support!	調査官と出会えて、とても嬉しく思うわ。これからの協力も、ずっと楽しみにしていますので……その時は、またよろしくお願いしますね。	조사관님과 만남은 정말 기뻤어요. 앞으로도 다시 함께할 기회를 기다리고 있으니.. 잘 부탁드립니다~	การ​ได้​พบ​เจอ​กับ​คุณ​ผู้ตรวจการ​ ฉัน​รู้สึก​ดีใจ​มาก​เลย​ล่ะ​ ทาง​ฉัน​เอง​ก็​เฝ้า​รอคอย​วันที่​เรา​จะ​ได้​ร่วมงาน​กัน​อีก​ในอนาคต​เสมอ​นะ​ ถึง​ตอนนั้น​ ก็​ขอ​ฝากเนื้อฝากตัว​ด้วย​นะคะ​~​	安雅	安雅	Anja	アンヤ	아냐	อันยา
