skillId	catId	status
int	int	int
101001	101001	1
101002	101002	1
101003	101003	1
101004	101004	1
101005	101005	1
101006	101006	1
101007	101007	1
101008	101008	1
101009	101009	1
101010	101010	1
102001	102001	1
102002	102002	1
102003	102003	1
102004	102004	1
102005	102005	1
102006	102006	1
102007	102007	1
102008	102008	1
102009	102009	1
102010	102010	1
103001	103001	1
103002	103002	1
103003	103003	1
103004	103004	1
103005	103005	1
103006	103006	1
103007	103007	1
103008	103008	1
103009	103009	1
103010	103010	1
104001	104001	1
104002	104002	1
104003	104003	1
104004	104004	1
104005	104005	1
104006	104006	1
104007	104007	1
104008	104008	1
104009	104009	1
104010	104010	1
