id	quality	catSatiety	catExp	clubIntegral	clubExp	likeClubIntegral	likeClubExp	status
int	int	int	int	int	int	int	int	int
5710001	2	5	5	8	5	16	5	1
5710002	3	5	5	9	5	18	5	1
5710003	4	5	5	10	5	20	5	1
5710004	2	5	5	8	5	16	5	1
5710005	3	5	5	9	5	18	5	1
5710006	4	5	5	10	5	20	5	1
5710007	2	5	5	8	5	16	5	1
5710008	3	5	5	9	5	18	5	1
5710009	4	5	5	10	5	20	5	1
5710010	2	5	5	8	5	16	5	1
5710011	3	5	5	9	5	18	5	1
5710012	4	5	5	10	5	20	5	1
5710013	2	5	5	8	5	16	5	1
5710014	3	5	5	9	5	18	5	1
5710015	4	5	5	10	5	20	5	1
5710016	2	5	5	8	5	16	5	1
5710017	3	5	5	9	5	18	5	1
5710018	4	5	5	10	5	20	5	1
5720001	2	5	5	8	5	16	5	1
5720002	3	5	5	9	5	18	5	1
5720003	4	5	5	10	5	20	5	1
5720004	2	5	5	8	5	16	5	1
5720005	3	5	5	9	5	18	5	1
5720006	4	5	5	10	5	20	5	1
5720007	2	5	5	8	5	16	5	1
5720008	3	5	5	9	5	18	5	1
5720009	4	5	5	10	5	20	5	1
5720010	2	5	5	8	5	16	5	1
5720011	3	5	5	9	5	18	5	1
5720012	4	5	5	10	5	20	5	1
5720013	2	5	5	8	5	16	5	1
5720014	3	5	5	9	5	18	5	1
5720015	4	5	5	10	5	20	5	1
5720016	2	5	5	8	5	16	5	1
5720017	3	5	5	9	5	18	5	1
5720018	4	5	5	10	5	20	5	1
5730001	4	5	5	10	5	20	5	1
5730002	1	5	5	8	5	16	5	1
5730003	1	5	5	8	5	16	5	1
5730004	5	5	5	12	5	24	5	1
5730005	4	5	5	10	5	20	5	1
5730006	5	5	5	12	5	24	5	1
5730007	5	5	5	12	5	24	5	1
5730008	4	5	5	10	5	20	5	1
5730009	5	5	5	12	5	24	5	1
5730010	4	5	5	10	5	20	5	1
5730011	5	5	5	12	5	24	5	1
5730012	4	5	5	10	5	20	5	1
5730013	4	5	5	10	5	20	5	1
5730014	2	5	5	8	5	16	5	1
5730015	3	5	5	9	5	18	5	1
5730016	2	5	5	8	5	16	5	1
5730017	2	5	5	8	5	16	5	1
5730018	3	5	5	9	5	18	5	1
5730019	3	5	5	9	5	18	5	1
5730020	3	5	5	9	5	18	5	1
5730021	1	5	5	7	5	14	5	1
5730022	2	5	5	8	5	16	5	1
5730023	2	5	5	8	5	16	5	1
5730024	3	5	5	9	5	18	5	1
5730025	5	5	5	12	5	24	5	1
5730026	1	5	5	7	5	14	5	1
5730027	2	5	5	8	5	16	5	1
5730028	3	5	5	9	5	18	5	1
5730029	1	5	5	7	5	14	5	1
5730030	1	5	5	7	5	14	5	1
5740001	2	5	5	8	5	16	5	1
5740002	3	5	5	9	5	18	5	1
5740003	4	5	5	10	5	20	5	1
5740004	2	5	5	8	5	16	5	1
5740005	3	5	5	9	5	18	5	1
5740006	4	5	5	10	5	20	5	1
5740007	2	5	5	8	5	16	5	1
5740008	3	5	5	9	5	18	5	1
5740009	4	5	5	10	5	20	5	1
5740010	2	5	5	8	5	16	5	1
5740011	3	5	5	9	5	18	5	1
5740012	4	5	5	10	5	20	5	1
5740013	2	5	5	8	5	16	5	1
5740014	3	5	5	9	5	18	5	1
5740015	4	5	5	10	5	20	5	1
5740016	2	5	5	8	5	16	5	1
5740017	3	5	5	9	5	18	5	1
5740018	4	5	5	10	5	20	5	1
4130001	5	10	10	60	10	60	10	1
