level	phase	consNum	catSatiety	buff	status	id	txtBuff	txtBuff_zh_TW	txtBuff_en_UK	txtBuff_ja_JP	txtBuff_ko_KR	txtBuff_th_TH	txtLevel	txtLevel_zh_TW	txtLevel_en_UK	txtLevel_ja_JP	txtLevel_ko_KR	txtLevel_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	0	100	900011_1	1		社团大乱斗中攻击+0.25%,防御+0.25%,血量+0.50%	社團大亂鬥中攻擊+0.25%,防禦+0.25%,血量+0.50%	ATK +0.25%, DEF +0.25%, HP +0.50% in Clan Showdown	Pending社团大乱斗中攻击+0.25%,防御+0.25%,血量+0.50%	클럽 대항전에서 공격력 +0.25%, 방어력 +0.25%, HP +0.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +0.25%​ DEF​ +0.25%​ HP​ +0.50%​	好想快点长大呀……	好想快點長大呀……	I wish I could grow up faster...	早く大人になりたいなぁ…	얼른 자라고 싶다냥...	อยากโตไวๆ จังเลย...
2	1	100	200	900011_1	1		社团大乱斗中攻击+0.50%,防御+0.50%,血量+1.00%	社團大亂鬥中攻擊+0.50%,防禦+0.50%,血量+1.00%	ATK +0.50%, DEF +0.50%, HP +1.00% in Clan Showdown	Pending社团大乱斗中攻击+0.50%,防御+0.50%,血量+1.00%	클럽 대항전에서 공격력 +0.50%, 방어력 +0.50%, HP +1.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +0.50%​ DEF​ +0.50%​ HP​ +1.00%​	感觉变得更厉害了！	感覺變得更厲害了！	I feel like I'm getting stronger!	もっと強くなった気がする！	힘이 세진 것 같다냥!	รู้สึก​แข็งแกร่ง​ขึ้น​แล้ว​!​
3	1	100	300	900011_1	1		社团大乱斗中攻击+0.75%,防御+0.75%,血量+1.50%	社團大亂鬥中攻擊+0.75%,防禦+0.75%,血量+1.50%	ATK +0.75%, DEF +0.75%, HP +1.50% in Clan Showdown	Pending社团大乱斗中攻击+0.75%,防御+0.75%,血量+1.50%	클럽 대항전에서 공격력 +0.75%, 방어력 +0.75%, HP +1.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +0.75%​ DEF​ +0.75%​ HP​ +1.50%​	啊……不想努力了……	啊……不想努力了……	Ah... I don't feel like trying anymore...	あぁ……やる気が出ない……	아... 그만 힘내고 싶다냥...	อา​...​ ไม่​อยาก​ทำ​แล้ว​...​
4	1	100	400	900011_1	1		社团大乱斗中攻击+1.00%,防御+1.00%,血量+2.00%	社團大亂鬥中攻擊+1.00%,防禦+1.00%,血量+2.00%	ATK +1.00%, DEF +1.00%, HP +2.00% in Clan Showdown	Pending社团大乱斗中攻击+1.00%,防御+1.00%,血量+2.00%	클럽 대항전에서 공격력 +1.00%, 방어력 +1.00%, HP +2.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +1.00%​ DEF​ +1.00%​ HP​ +2.00%​	好想快点长大呀……	好想快點長大呀……	I wish I could grow up faster...	早く大人になりたいなぁ…	얼른 자라고 싶다냥...	อยากโตไวๆ จังเลย...
5	1	100	500	900011_1	1		社团大乱斗中攻击+1.25%,防御+1.25%,血量+2.50%	社團大亂鬥中攻擊+1.25%,防禦+1.25%,血量+2.50%	ATK +1.25%, DEF +1.25%, HP +2.50% in Clan Showdown	Pending社团大乱斗中攻击+1.25%,防御+1.25%,血量+2.50%	클럽 대항전에서 공격력 +1.25%, 방어력 +1.25%, HP +2.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +1.25%​ DEF​ +1.25%​ HP​ +2.50%​	感觉变得更厉害了！	感覺變得更厲害了！	I feel like I'm getting stronger!	もっと強くなった気がする！	힘이 세진 것 같다냥!	รู้สึก​แข็งแกร่ง​ขึ้น​แล้ว​!​
6	2	100	600	900011_2	1		社团大乱斗中攻击+1.50%,防御+1.50%,血量+3.00%	社團大亂鬥中攻擊+1.50%,防禦+1.50%,血量+3.00%	ATK +1.50%, DEF +1.50%, HP +3.00% in Clan Showdown	Pending社团大乱斗中攻击+1.50%,防御+1.50%,血量+3.00%	클럽 대항전에서 공격력 +1.50%, 방어력 +1.50%, HP +3.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +1.50%​ DEF​ +1.50%​ HP​ +3.00%​	太好了喵~	太好了喵~	That's great!	やったにゃ！	신난다옹~	ดีจังเลยเมี้ยว~
7	2	200	800	900011_2	1		社团大乱斗中攻击+1.75%,防御+1.75%,血量+3.50%	社團大亂鬥中攻擊+1.75%,防禦+1.75%,血量+3.50%	ATK +1.75%, DEF +1.75%, HP +3.50% in Clan Showdown	Pending社团大乱斗中攻击+1.75%,防御+1.75%,血量+3.50%	클럽 대항전에서 공격력 +1.75%, 방어력 +1.75%, HP +3.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +1.75%​ DEF​ +1.75%​ HP​ +3.50%​	好想快点长大呀……	好想快點長大呀……	I wish I could grow up faster...	早く大人になりたいなぁ…	얼른 자라고 싶다냥...	อยากโตไวๆ จังเลย...
8	2	200	1000	900011_2	1		社团大乱斗中攻击+2.00%,防御+2.00%,血量+4.00%	社團大亂鬥中攻擊+2.00%,防禦+2.00%,血量+4.00%	ATK +2.00%, DEF +2.00%, HP +4.00% in Clan Showdown	Pending社团大乱斗中攻击+2.00%,防御+2.00%,血量+4.00%	클럽 대항전에서 공격력 +2.00%, 방어력 +2.00%, HP +4.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +2.00%​ DEF​ +2.00%​ HP​ +4.00%​	感觉变得更厉害了！	感覺變得更厲害了！	I feel like I'm getting stronger!	もっと強くなった気がする！	힘이 세진 것 같다냥!	รู้สึก​แข็งแกร่ง​ขึ้น​แล้ว​!​
9	2	200	1200	900011_2	1		社团大乱斗中攻击+2.25%,防御+2.25%,血量+4.50%	社團大亂鬥中攻擊+2.25%,防禦+2.25%,血量+4.50%	ATK +2.25%, DEF +2.25%, HP +4.50% in Clan Showdown	Pending社团大乱斗中攻击+2.25%,防御+2.25%,血量+4.50%	클럽 대항전에서 공격력 +2.25%, 방어력 +2.25%, HP +4.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +2.25%​ DEF​ +2.25%​ HP​ +4.50%​	啊……不想努力了……	啊……不想努力了……	Ah... I don't feel like trying anymore...	あぁ……やる気が出ない……	아... 그만 힘내고 싶다냥...	อา​...​ ไม่​อยาก​ทำ​แล้ว​...​
