id	unlockId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	activityId	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10001	0	1803		2000	80600802	1			1	1	活动期间累计获得2000点活跃度	活動期間累計獲得2000點活躍度	Accumulate 2000 Activeness during the event period.	イベント期間中に活躍度が合計2000に達する	이벤트 기간 내 활약도 누적 2000pt 획득	ใน​ช่วง​กิจกรรม​ได้รับ​ค่า​แอ็ก​ที​ฟ​ถึง​ 2000​ แต้ม​
10002	0	1405	0	10	9030003	100	518		1	1	完成10次离岛空运	完成10次離島空運	Complete Air Express 10 times.	離島空便を10回完了する	항공 운송 10회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 10​ ครั้ง​
10003	0	1405	0	16	9030003	100	518		1	1	完成16次离岛空运	完成16次離島空運	Complete Air Express 16 times.	離島空便を16回完了する	항공 운송 16회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 16​ ครั้ง​
10004	0	1405	0	22	9030003	100	518		1	1	完成22次离岛空运	完成22次離島空運	Complete Air Express 22 times.	離島空便を22回完了する	항공 운송 22회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 22​ ครั้ง​
10005	0	1405	0	28	9030003	100	518		1	1	完成28次离岛空运	完成28次離島空運	Complete Air Express 28 times.	離島空便を28回完了する	항공 운송 28회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 28​ ครั้ง​
10006	0	1703	0	50	9030003	100	701		1	1	装备洗炼次数*50	裝備洗煉次數*50	Refine equipment 50 times.	装備の洗練を50回行う	장비 제련 횟수x50	รีไฟน์อุปกรณ์ครบ 50 ครั้ง
10008	0	1703	0	100	9030003	100	701		1	1	装备洗炼次数*100	裝備洗煉次數*100	Refine equipment 100 times.	装備を100回洗練する	장비 제련 횟수x100	รีไฟน์อุปกรณ์ครบ 100 ครั้ง
10011	0	1803		2000	9013002	100			2	1	活动期间累计获得2000点活跃度	活動期間累計獲得2000點活躍度	Accumulate 2000 Activeness during the event period.	イベント期間中に活躍度が合計2000に達する	이벤트 기간 내 활약도 누적 2000pt 획득	ใน​ช่วง​กิจกรรม​ได้รับ​ค่า​แอ็ก​ที​ฟ​ถึง​ 2000​ แต้ม​
10012	0	1405	0	10	9000075	100	518		2	1	完成10次离岛空运	完成10次離島空運	Complete Air Express 10 times.	離島空便を10回完了する	항공 운송 10회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 10​ ครั้ง​
10013	0	1405	0	16	9000075	100	518		2	1	完成16次离岛空运	完成16次離島空運	Complete Air Express 16 times.	離島空便を16回完了する	항공 운송 16회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 16​ ครั้ง​
10014	0	1405	0	22	9000075	100	518		2	1	完成22次离岛空运	完成22次離島空運	Complete Air Express 22 times.	離島空便を22回完了する	항공 운송 22회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 22​ ครั้ง​
10015	0	1405	0	28	9000075	100	518		2	1	完成28次离岛空运	完成28次離島空運	Complete Air Express 28 times.	離島空便を28回完了する	항공 운송 28회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 28​ ครั้ง​
10016	0	1703	0	50	9000075	100	701		2	1	装备洗炼次数*50	裝備洗煉次數*50	Refine equipment 50 times.	装備の洗練を50回行う	장비 제련 횟수x50	รีไฟน์อุปกรณ์ครบ 50 ครั้ง
10017	0	1703	0	100	9000075	100	701		2	1	装备洗炼次数*100	裝備洗煉次數*100	Refine equipment 100 times.	装備を100回洗練する	장비 제련 횟수x100	รีไฟน์อุปกรณ์ครบ 100 ครั้ง
10018	0	1803		2000	4190001	500			3	1	活动期间累计获得2000点活跃度	活動期間累計獲得2000點活躍度	Accumulate 2000 Activeness during the event period.	イベント期間中に活躍度が合計2000に達する	이벤트 기간 내 활약도 누적 2000pt 획득	ใน​ช่วง​กิจกรรม​ได้รับ​ค่า​แอ็ก​ที​ฟ​ถึง​ 2000​ แต้ม​
10019	0	1405	0	10	9000091	100	518		3	1	完成10次离岛空运	完成10次離島空運	Complete Air Express 10 times.	離島空便を10回完了する	항공 운송 10회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 10​ ครั้ง​
10020	0	1405	0	16	9000091	100	518		3	1	完成16次离岛空运	完成16次離島空運	Complete Air Express 16 times.	離島空便を16回完了する	항공 운송 16회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 16​ ครั้ง​
10021	0	1405	0	22	9000091	100	518		3	1	完成22次离岛空运	完成22次離島空運	Complete Air Express 22 times.	離島空便を22回完了する	항공 운송 22회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 22​ ครั้ง​
10022	0	1405	0	28	9000091	100	518		3	1	完成28次离岛空运	完成28次離島空運	Complete Air Express 28 times.	離島空便を28回完了する	항공 운송 28회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 28​ ครั้ง​
10023	0	1703	0	50	9000091	100	701		3	1	装备洗炼次数*50	裝備洗煉次數*50	Refine equipment 50 times.	装備の洗練を50回行う	장비 제련 횟수x50	รีไฟน์อุปกรณ์ครบ 50 ครั้ง
10024	0	1703	0	100	9000091	100	701		3	1	装备洗炼次数*100	裝備洗煉次數*100	Refine equipment 100 times.	装備を100回洗練する	장비 제련 횟수x100	รีไฟน์อุปกรณ์ครบ 100 ครั้ง
