id	activityId	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	10	1	9030003	800	90114	1	1~10	1~10	1st - 10th	1~10	1~10	1~10
2	1	11	20	1	9030003	500	90115	1	11~20	11~20	11th - 20th	11~20	11~20	11~20
3	1	21	50	1	9030003	400	90116	1	21~50	21~50	21st - 50th	21~50	21~50	21~50
4	1	51	100	1	9030003	300	90117	1	51~100	51~100	51st - 100th	51~100	51~100	51~100
5	1	101	200	1	9030003	250	90118	1	101-200	101-200	101-200	101〜200位	101~200	101-200
6	1	201	500	1	9030003	200	90119	1	201~500	201~500	201st - 500th	201〜500	201~500	201~500
7	1	501	1000	1	9030003	150	90120	1	501~1000	501~1000	501st - 1000th	501~1000	501~1000	501~1,000
8	1	1001	9999999	1	9030003	100	90121	1	1001后	1001後	After 1001	1001位圏外	1001 이하	หลัง 1,001
9	2	1	10	1	9013002	1500	90078	1	1~10	1~10	1st - 10th	1~10	1~10	1~10
10	2	11	20	1	9013002	950	90079	1	11~20	11~20	11th - 20th	11~20	11~20	11~20
11	2	21	50	1	9013002	550	90080	1	21~50	21~50	21st - 50th	21~50	21~50	21~50
12	2	51	100	1	9013002	375	90081	1	51~100	51~100	51st - 100th	51~100	51~100	51~100
13	2	101	200	1	9013002	200	90081	1	101~200	101~200	101st - 200th	101〜200	101~200	101~200
14	2	201	500	1	9013002	150	90082	1	201~500	201~500	201st - 500th	201〜500	201~500	201~500
15	2	501	1000	1	9013002	100	90083	1	501~1000	501~1000	501st - 1000th	501~1000	501~1000	501~1,000
16	2	1001	9999999	1	9013002	50	90084	1	1001后	1001後	After 1001	1001位圏外	1001 이하	หลัง 1,001
17	3	1	10	1	9000091	640	90114	1	1~10	1~10	1st - 10th	1~10	1~10	1~10
18	3	11	20	1	9000091	400	90115	1	11~20	11~20	11th - 20th	11~20	11~20	11~20
19	3	21	50	1	9000091	320	90116	1	21~50	21~50	21st - 50th	21~50	21~50	21~50
20	3	51	100	1	9000091	240	90117	1	51~100	51~100	51st - 100th	51~100	51~100	51~100
21	3	101	200	1	9000091	200	90118	1	101-200	101-200	101-200	101〜200位	101~200	101-200
22	3	201	500	1	9000091	160	90119	1	201~500	201~500	201st - 500th	201〜500	201~500	201~500
23	3	501	1000	1	9000091	120	90120	1	501~1000	501~1000	501st - 1000th	501~1000	501~1000	501~1,000
24	3	1001	9999999	1	9000091	80	90121	1	1001后	1001後	After 1001	1001位圏外	1001 이하	หลัง 1,001
