id	regularReward	regularRewardNum	fristRewards	fristRewardsNum	showItem	showItemNum	showItemTag	status
int	int	int	int	int	int	int	int	int
1133101			9030003	50	9030003	10	3	1
1133102			9030003	50	9030003	10	3	1
1133103			9030003	50	9030003	10	3	1
1133104			9030003	100	9030003	20	3	1
1133105			9030003	100	9030003	20	3	1
1133106			9030003	50	9030003	10	3	1
1133201			9030003	50	9030003	10	3	1
1133202			9030003	100	9030003	20	3	1
1133203			9030003	100	9030003	20	3	1
1133204			9030003	100	9030003	20	3	1
1133205			9030003	50	9030003	10	3	1
1133301			9030003	50	9030003	10	3	1
1133302			9030003	125	9030003	25	3	1
1133303			9030003	50	9030003	10	3	1
1133304			9030003	50	9030003	10	3	1
1133305			9030003	50	9030003	10	3	1
1133401			9030003	125	9030003	25	3	1
1133402			9030003	50	9030003	10	3	1
1133403			9030003	150	9030003	30	3	1
1133404			9030003	50	9030003	10	3	1
1133405			9030003	150	9030003	30	3	1
1133501			9000075	10	9000075	10	3	1
1133502			9000075	10	9000075	10	3	1
1133503			9000075	10	9000075	10	3	1
1133504			9000075	20	9000075	20	3	1
1133505			9000075	20	9000075	20	3	1
1133506			9000075	10	9000075	10	3	1
1133601			9000075	10	9000075	10	3	1
1133602			9000075	20	9000075	20	3	1
1133603			9000075	20	9000075	20	3	1
1133604			9000075	20	9000075	20	3	1
1133605			9000075	10	9000075	10	3	1
1133701			9000075	10	9000075	10	3	1
1133702			9000075	25	9000075	25	3	1
1133703			9000075	10	9000075	10	3	1
1133704			9000075	10	9000075	10	3	1
1133705			9000075	10	9000075	10	3	1
1133801			9000075	25	9000075	25	3	1
1133802			9000075	10	9000075	10	3	1
1133803			9000075	30	9000075	30	3	1
1133804			9000075	10	9000075	10	3	1
1133805			9000075	30	9000075	30	3	1
1133911			9000091	10	9000091	10	3	1
1133912			9000091	10	9000091	10	3	1
1133913			9000091	20	9000091	20	3	1
1133914			9000091	20	9000091	20	3	1
1133915			9000091	20	9000091	20	3	1
1133921			9000091	10	9000091	10	3	1
1133922			9000091	10	9000091	10	3	1
1133923			9000091	25	9000091	25	3	1
1133924			9000091	10	9000091	10	3	1
1133925			9000091	10	9000091	10	3	1
1133931			9000091	10	9000091	10	3	1
1133932			9000091	25	9000091	25	3	1
1133933			9000091	10	9000091	10	3	1
1133941			9000091	30	9000091	30	3	1
1133942			9000091	50	9000091	50	3	1
