id	desc	plotIdStory	plotIdWave	plotIdEndWave	status
int	int	int	int	int	int
1133101	3012010	3012010			1
1133102	3012020	3012020			1
1133103	3012030	3012030			1
1133104	3012041		3012041		1
1133105	3012051		3012051	3012053	1
1133106	3012060	3012060			1
1133201	3012071		3012071	3012073	1
1133202	3012083			3012083	1
1133203	3012091		3012091		1
1133204	3012100	3012100			1
1133205	3012110	3012110			1
1133301	3012121		3012121	3012123	1
1133302	3012130	3012130			1
1133303	3012140	3012140			1
1133304	3012150	3012150			1
1133305	3012161		3012161	3012163	1
1133401	3012170	3012170			1
1133402	3012181		3012181	3012183	1
1133403	3012190	3012190			1
1133404	3012203			3012203	1
1133501	3018010	3018010			1
1133502	3018021		3018021		1
1133503	3018031		3018031		1
1133504	3018040	3018040			1
1133505	3018051		3018051	3018053	1
1133506	3018060	3018060			1
1133601	3018070	3018070			1
1133602	3018081		3018081		1
1133603	3018091		3018091	3018093	1
1133604	3018100	3018100			1
1133605	3018110	3018110			1
1133701	3018120	3018120			1
1133702	3018131		3018131		1
1133703	3018141		3018141		1
1133704	3018150	3018150			1
1133705	3018160	3018160			1
1133801	3018170	3018170			1
1133802	3018180	3018180			1
1133803	3018191		3018191	3018193	1
1133804	3018200	3018200			1
1133805	3018210	3018210			1
1133911	3025010	3025010			1
1133912	3025020	3025020			1
1133913	3025030	3025030			1
1133914	3025041\n		3025041\n	3025043	1
1133915	3025050	3025050			1
1133921	3025060	3025060			1
1133922	3025071\n		3025071\n	3025073	1
1133923	3025081\n		3025081\n	3025083	1
1133924	3025090	3025090			1
1133925	3025100	3025100			1
1133931	3025111\n		3025111\n	3025113	1
1133932	3025120	3025120			1
1133933	3025130	3025130			1
1133941	3025141\n		3025141\n	3025143	1
1133942	3025150	3025150			1
