id	groupId	type	area	delay	life	next	count	status
int	int	int	int	int	int	int	int	int
1	1	1	0,100;100,0	0	120	2	1	1
2	2	1	0,100;100,0	0	120	3	1	1
3	2	1	100,200;200,100	5	120	4	1	1
4	3	1	0,100;100,0	0	105	5	1	1
5	3	1	100,200;200,100	5	105	6	1	1
6	3	1	200,400;400,200	10	105	7	1	1
7	4	1	0,100;100,0	0	90	8	1	1
8	4	1	100,300;300,100	5	90	9	1	1
9	4	1	200,400;400,200	10	90	10	1	1
10	4	1	300,500;500,300	15	90	11	1	1
11	5	1	0,100;100,0	0	60	12	1	1
12	5	1	100,200;200,100	5	60	13	1	1
13	5	1	200,400;400,200	10	60	14	1	1
14	5	1	300,500;500,300	15	60	15	1	1
15	5	1	400,600;600,400	20	60	0	1	1
