Id	Transform	status
int	int	int
1	0.02;0.45;311.32	1
2	0.47;0.28;310	1
3	0.47;0.39;310	1
4	0.47;0.52;310	1
5	-0.41;0.28;310	1
6	-0.41;0.39;310	1
7	-0.41;0.52;310	1
8	0.312;0.45;310.2	1
9	-0.3;0.45;310	1
10	0.54;0.28;310	1
11	0.4;0.28;310	1
12	0.54;0.39;310	1
13	0.4;0.39;310	1
14	0.58;0.52;310	1
15	0.4;0.52;310	1
16	-0.3;0.28;310	1
17	-0.49;0.28;310	1
18	-0.3;0.39;310	1
19	-0.49;0.39;310	1
20	-0.3;0.52;310	1
21	-0.49;0.52;310	1
22	0.47;0.28;311	1
23	0.47;0.39;311	1
24	0.47;0.52;311	1
25	-0.41;0.28;311	1
26	-0.41;0.39;311	1
27	-0.41;0.52;311	1
28	0.352;0.45;310.2	1
29	0.272;0.45;310.2	1
30	-0.34;0.45;310.2	1
31	-0.26;0.45;310.2	1
32	-0.3;0.28;310	1
33	-0.3;0.52;310	1
34	0.312;0.28;310	1
35	0.312;0.52;310	1
36	0.67;0.28;310	1
37	0.67;0.39;310	1
38	0.67;0.52;310	1
39	-0.57;0.28;310	1
40	-0.57;0.39;310	1
41	-0.57;0.52;310	1
42	0.02;0.28;310	1
43	0.02;0.39;310	1
44	0.02;0.52;310	1
45	-0.22;0.45;311.32	1
46	0.24;0.45;311.32	1
47	0.02;0.01;308.8	1
48	0.02;0.21;308.8	1
49	0.67;0.39;311	1
50	0.02;0.473;306.5	1
51	0.02;-0.81;305.13	1
52	0.02;0.07;305.13	1
53	0.65;0.31;305.11	1
54	0.02;0.39;309.7	1
55	0.47;0.52;311	1
56	0.02;0.52;311	1
57	-0.57;0.52;311	1
58	0.67;0.52;311	1
59	1.24;0.15;306.23	1
60	0.45;0.55;305.94	1
61	1.21;0.42;308.51	1
62	-0.06;0.64;305.52	1
63	1.04;0.28;305.55	1
64	1.44;0.19;305.56	1
65	-0.67;-0.02;305.58	1
66	-1.53;-0.02;305.58	1
67	0.02;-0.45;303.52	1
68	-0.06;-0.06;306.66	1
69	-0.06;-0.11;309.968	1
70	0.02;-0.36;305.36	1
71	0.18;0.56;305.28	1
72	0.928;0.844;305.255	1
73	-0.72;0.09;307.25	1
74	0.95;0.02;306.45	1
75	-0.62;-0.44;305.76	1
76	1.5;-0.57;307.74	1
77	-0.05;0.83;306.25	1
78	-0.57;0.42;310.32	1
79	0.02;0.42;310.22	1
80	0.67;0.433;310.145	1
81	0.02;0.45;311.1	1
82	-1.2;0.42;306.7	1
83	-0.69;-0.26;305.93	1
84	0.31;-0.25;306.7	1
85	-1.24;0.67;306.7	1
86	1.1;-0.09;308	1
87	-1.1;0.88;306.7	1
88	0.97;0.77;308	1
89	1;-0.8;307.5	1
90	1.1;-0.69;307.5	1
91	0.02;0.42;309.7	1
92	0.02;0.42;309.2	1
93	-0.73;0.52;309.4	1
94	-0.075;0.53;311.3	1
95	-0.2;0.3;310.87	1
96	-0.87;0.39;310	1
97	0.69;0.39;309.5	1
98	0.48;0.12;309.93	1
99	-0.57;0.43;309.3	1
