id	skinId	key	status	btnName	btnName_zh_TW	btnName_en_UK	btnName_ja_JP	btnName_ko_KR	btnName_th_TH
int	int	int	int	int	int	int	int	int	int
1	13500850	ui_right_draw	1	画上爱心	畫上愛心	Draw a Heart	ケチャップをかける	하트 그리기	วาดรูปหัวใจ
2	13500850	ui_right_injectLove	1	注入爱意	注入愛意	Infuse with Love	萌え萌えキュン	사랑 담기	ใส่ความรักเข้าไป
3	13500850	ui_right_helpUp	1	扶起小曼	扶起小曼	Lift Mandy	立ち上がらせる	일으키기	พยุงตัวแมนดี้ขึ้น
4	13500150	ui_right_draw	1	画上爱心	畫上愛心	Draw a Heart	ケチャップをかける	하트 그리기	วาดรูปหัวใจ
5	13500150	ui_right_injectLove	1	注入爱意	注入愛意	Infuse with Love	萌え萌えキュン	사랑 담기	ใส่ความรักเข้าไป
6	13500150	ui_right_helpUp	1	扶起小曼	扶起小曼	Lift Mandy	立ち上がらせる	일으키기	พยุงตัวแมนดี้ขึ้น
7	13300850	ui_right_01	1	脸上艺术	臉上藝術	Face Painting	落書きする	얼굴 낙서	ศิลปะบนใบหน้า
8	13300850	ui_right_02	1	泡温泉	泡溫泉	Onsen	温泉に入る	온천 입욕	แช่ออนเซ็น
9	13300850	ui_right_03	1	结束温泉	結束溫泉	Leave	離れ	온천 나가기	หยุดแช่บ่อออนเซ็น
10	14000850	ui_right_hth	1	倾诉心事	傾訴心事	Confide	考え事を打ち明ける	마음 속 이야기	ระบายความในใจ
11	14000850	ui_right_sleep	1	就寝	就寢	Bedtime	就寝する	잠자리	เข้านอน
12	14000850	ui_right_accept	1	接受挑战	接受挑戰	Take Challenge	挑戦を受ける	도전 수락	ยอมรับการท้าทาย
13	14000850	ui_right_breakaway	1	尝试挣脱	嘗試掙脫	Try to escape.	脱出を試みる	벗어나기	พยายามหลบหนี
14	14000850	ui_right_swear	1	宣誓	宣誓	Take the vow.	誓いの言葉を交わす	맹세하기	คำสาบาน
15	14000850	ui_right_wakeup	1	唤醒	喚醒	Wake Up	呼び起こす	깨우기	ปลุก
16	15700850	ui_right_shafa	1	沙发	沙發	Couch	ソファ	소파	โซฟา
17	15700850	ui_right_qingbao	1	情报	情報	Info	情報	정보	ข่าวกรอง
18	15700850	ui_right_xiaozhuo	1	小酌	小酌	Sip	小酌	술자리	ผ่อนคลาย
