id	group	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1001	1	1	10	1	4199001;3000003;3000017	60;150000;900	400605	1	进入前10名	進入前10名	Reach the Top 10	上位10位にランクインする	상위 10위	ติด TOP 10
1002	1	11	60	1	4199001;3000003;3000017	50;130000;800	400605	1	进入前60名	進入前60名	Reach the Top 60	60位以内	상위 60위	ติด TOP 60
1003	1	61	120	1	4199001;3000003;3000017	40;120000;700	400605	1	进入前120名	進入前120名	Reach the Top 120	120位以内	상위 120위	ติด TOP 120
1004	1	121	180	1	4199001;3000003;3000017	35;100000;600	400605	1	进入前180名	進入前180名	Reach the Top 180	180位以内	상위 180위	ติด TOP 180
1005	1	181	240	1	4199001;3000003;3000017	30;80000;500	400605	1	未进入180名	未進入180名	Not in the top 180 ranking	180位圏外	180위 미진입	ไม่ติด TOP 180
2001	2	1	10	1	4199001;3000003;3000017	50;130000;800	400605	1	进入前10名	進入前10名	Reach the Top 10	上位10位にランクインする	상위 10위	ติด TOP 10
2002	2	11	60	1	4199001;3000003;3000017	40;120000;700	400605	1	进入前60名	進入前60名	Reach the Top 60	60位以内	상위 60위	ติด TOP 60
2003	2	61	120	1	4199001;3000003;3000017	35;100000;600	400605	1	进入前120名	進入前120名	Reach the Top 120	120位以内	상위 120위	ติด TOP 120
2004	2	121	180	1	4199001;3000003;3000017	30;80000;500	400605	1	进入前180名	進入前180名	Reach the Top 180	180位以内	상위 180위	ติด TOP 180
2005	2	181	240	1	4199001;3000003;3000017	25;60000;400	400605	1	未进入180名	未進入180名	Not in the top 180 ranking	180位圏外	180위 미진입	ไม่ติด TOP 180
3001	3	1	10	1	4199001;3000003;3000017	40;120000;700	400605	1	进入前10名	進入前10名	Reach the Top 10	上位10位にランクインする	상위 10위	ติด TOP 10
3002	3	11	60	1	4199001;3000003;3000017	35;100000;600	400605	1	进入前60名	進入前60名	Reach the Top 60	60位以内	상위 60위	ติด TOP 60
3003	3	61	120	1	4199001;3000003;3000017	30;80000;500	400605	1	进入前120名	進入前120名	Reach the Top 120	120位以内	상위 120위	ติด TOP 120
3004	3	121	180	1	4199001;3000003;3000017	25;60000;400	400605	1	进入前180名	進入前180名	Reach the Top 180	180位以内	상위 180위	ติด TOP 180
3005	3	181	240	1	4199001;3000003;3000017	20;50000;300	400605	1	未进入180名	未進入180名	Not in the top 180 ranking	180位圏外	180위 미진입	ไม่ติด TOP 180
