id	group	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1001	1	1	1	1	3000002;4190001	2200;1650;2200	400601	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
1002	1	2	2	1	3000002;4190001	2000;1500;2000	400601	1	第2名	第2名	No.2	2位	2위	อันดับที่ 2
1003	1	3	3	1	3000002;4190001	1900;1400;1850	400601	1	第3名	第3名	No.3	3位	3위	อันดับที่ 3
1004	1	4	4	1	3000002;4190001	1750;1300;1750	400601	1	第4名	第4名	No.4	4位	4위	อันดับที่ 4
1005	1	5	5	1	3000002;4190001	1650;1250;1650	400601	1	第5名	第5名	No.5	5位	5위	อันดับที่ 5
1006	1	6	6	1	3000002;4190001	1500;1150;1500	400601	1	第6名	第6名	No.6	6位	6위	อันดับที่ 6
1007	1	7	7	1	3000002;4190001	1200;900;1200	400601	1	第7名	第7名	No.7	7位	7위	อันดับที่ 7
1008	1	8	8	1	3000002;4190001	1150;850;1150	400601	1	第8名	第8名	No.8	8位	8위	อันดับที่ 8
1009	1	9	9	1	3000002;4190001	1050;800;1050	400601	1	第9名	第9名	No.9	9位	9위	อันดับที่ 9
1010	1	10	10	1	3000002;4190001	950;750;950	400601	1	第10名	第10名	No.10	10位	10위	อันดับที่ 10
1011	1	11	11	1	3000002;4190001	900;700;900	400601	1	第11名	第11名	No.11	11位	11위	อันดับที่ 11
1012	1	12	12	1	3000002;4190001	800;600;850	400601	1	第12名	第12名	No.12	12位	12위	อันดับที่ 12
2001	2	1	1	1	3000002;4190001	1450;1100;1450	400601	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
2002	2	2	2	1	3000002;4190001	1350;1000;1350	400601	1	第2名	第2名	No.2	2位	2위	อันดับที่ 2
2003	2	3	3	1	3000002;4190001	1250;950;1250	400601	1	第3名	第3名	No.3	3位	3위	อันดับที่ 3
2004	2	4	4	1	3000002;4190001	1150;850;1150	400601	1	第4名	第4名	No.4	4位	4위	อันดับที่ 4
2005	2	5	5	1	3000002;4190001	1100;800;1100	400601	1	第5名	第5名	No.5	5位	5위	อันดับที่ 5
2006	2	6	6	1	3000002;4190001	1000;750;1000	400601	1	第6名	第6名	No.6	6位	6위	อันดับที่ 6
2007	2	7	7	1	3000002;4190001	800;600;800	400601	1	第7名	第7名	No.7	7位	7위	อันดับที่ 7
2008	2	8	8	1	3000002;4190001	750;550;750	400601	1	第8名	第8名	No.8	8位	8위	อันดับที่ 8
2009	2	9	9	1	3000002;4190001	700;500;700	400601	1	第9名	第9名	No.9	9位	9위	อันดับที่ 9
2010	2	10	10	1	3000002;4190001	650;500;650	400601	1	第10名	第10名	No.10	10位	10위	อันดับที่ 10
2011	2	11	11	1	3000002;4190001	600;450;600	400601	1	第11名	第11名	No.11	11位	11위	อันดับที่ 11
2012	2	12	12	1	3000002;4190001	550;400;550	400601	1	第12名	第12名	No.12	12位	12위	อันดับที่ 12
3001	3	1	1	1	3000002;4190001	1000;750;1000	400601	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
3002	3	2	2	1	3000002;4190001	950;700;950	400601	1	第2名	第2名	No.2	2位	2위	อันดับที่ 2
3003	3	3	3	1	3000002;4190001	850;650;850	400601	1	第3名	第3名	No.3	3位	3위	อันดับที่ 3
3004	3	4	4	1	3000002;4190001	800;600;800	400601	1	第4名	第4名	No.4	4位	4위	อันดับที่ 4
3005	3	5	5	1	3000002;4190001	750;550;750	400601	1	第5名	第5名	No.5	5位	5위	อันดับที่ 5
3006	3	6	6	1	3000002;4190001	700;500;700	400601	1	第6名	第6名	No.6	6位	6위	อันดับที่ 6
3007	3	7	7	1	3000002;4190001	550;450;550	400601	1	第7名	第7名	No.7	7位	7위	อันดับที่ 7
3008	3	8	8	1	3000002;4190001	500;400;500	400601	1	第8名	第8名	No.8	8位	8위	อันดับที่ 8
3009	3	9	9	1	3000002;4190001	500;350;500	400601	1	第9名	第9名	No.9	9位	9위	อันดับที่ 9
3010	3	10	10	1	3000002;4190001	450;350;450	400601	1	第10名	第10名	No.10	10位	10위	อันดับที่ 10
3011	3	11	11	1	3000002;4190001	400;300;400	400601	1	第11名	第11名	No.11	11位	11위	อันดับที่ 11
3012	3	12	12	1	3000002;4190001	350;300;350	400601	1	第12名	第12名	No.12	12位	12위	อันดับที่ 12
