taskAchId	taskContentType	type	taskContentId	taskContenNum	rewardId	rewardNum	openType	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
980001	3001	1		10	3000003;4199001;3000017	50000;5;200	0	1	累计获得10点个人积分	累計獲得10點個人積分	Received 10 Personal Pts in total.	Pending累计获得10点个人积分	개인 포인트 누적 10pt 획득	ได้รับ​คะแนน​สะสม​ส่วนตัว​ 10​ แต้ม​
980002	3001	1		20	3000003;4190004;4199001;3000017	75000;100;5;200	0	1	累计获得20点个人积分	累計獲得20點個人積分	Received 20 Personal Pts in total.	Pending累计获得20点个人积分	개인 포인트 누적 20pt 획득	ได้รับ​คะแนน​สะสม​ส่วนตัว​ 20​ แต้ม​
980003	3001	1		40	3000003;4190004;4199001;3000017	100000;100;5;300	0	1	累计获得40点个人积分	累計獲得40點個人積分	Received 40 Personal Pts in total.	Pending累计获得40点个人积分	개인 포인트 누적 40pt 획득	ได้รับ​คะแนน​สะสม​ส่วนตัว​ 40​ แต้ม​
980004	3001	1		60	3000003;4190004;4199001;3000017	125000;100;5;300	0	1	累计获得60点个人积分	累計獲得60點個人積分	Received 60 Personal Pts in total.	Pending累计获得60点个人积分	개인 포인트 누적 60pt 획득	ได้รับ​คะแนน​สะสม​ส่วนตัว​ 60​ แต้ม​
980005	3001	1		80	3000003;4190004;4199001;3000017	150000;200;10;300	0	1	累计获得80点个人积分	累計獲得80點個人積分	Received 80 Personal Pts in total.	Pending累计获得80点个人积分	개인 포인트 누적 80pt 획득	ได้รับ​คะแนน​สะสม​ส่วนตัว​ 80​ แต้ม​
980006	3001	1		100	3000003;4190004;4199001;3000017	175000;200;10;300	0	1	累计获得100点个人积分	累計獲得100點個人積分	Received 100 Personal Pts in total.	Pending累计获得100点个人积分	개인 포인트 누적 100pt 획득	ได้รับ​คะแนน​สะสม​ส่วนตัว​ 100​ แต้ม​
980007	3001	1		120	3000003;4190004;4199001;3000017	200000;300;10;400	0	1	累计获得120点个人积分	累計獲得120點個人積分	Received 120 Personal Pts in total.	Pending累计获得120点个人积分	개인 포인트 누적 120pt 획득	ได้รับ​คะแนน​สะสม​ส่วนตัว​ 120​ แต้ม​
990001		2		5	3000003;4190001	100000;200	0	1	社团参与人数达5人	社團參與人數達5人	The number of Clan participants reaches 5.	Pending社团参与人数达5人	클럽 참여 인원 5명 달성	จำนวน​ผู้เข้าร่วม​ชมรม​ครบ​ 5​ คน​
990002		2		10	3000003;4190001	150000;200	0	1	社团参与人数达10人	社團參與人數達10人	The number of Clan participants reaches 10.	Pending社团参与人数达10人	클럽 참여 인원 10명 달성	จำนวน​ผู้เข้าร่วม​ชมรม​ครบ​ 10​ คน​
990003		2		15	3000003;4190001	200000;300	0	1	社团参与人数达15人	社團參與人數達15人	The number of Clan participants reaches 15.	Pending社团参与人数达15人	클럽 참여 인원 15명 달성	จำนวน​ผู้เข้าร่วม​ชมรม​ครบ​ 15​ คน​
990004		2		20	3000003;4190001	300000;300	0	1	社团参与人数达20人	社團參與人數達20人	The number of Clan participants reaches 20.	Pending社团参与人数达20人	클럽 참여 인원 20명 달성	จำนวน​ผู้เข้าร่วม​ชมรม​ครบ​ 20​ คน​
