id	storyId	groupId	people	headIcon	jumpId	choiceOneType	choiceOneId	choiceOneJumpId	choiceOneReward	choiceTwoType	choiceTwoId	choiceTwoJumpId	choiceTwoReward	choiceThreeType	choiceThreeId	choiceThreeJumpId	choiceThreeReward	rewardGroupId	end	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	choiceOne	choiceOne_zh_TW	choiceOne_en_UK	choiceOne_ja_JP	choiceOne_ko_KR	choiceOne_th_TH	choiceTwo	choiceTwo_zh_TW	choiceTwo_en_UK	choiceTwo_ja_JP	choiceTwo_ko_KR	choiceTwo_th_TH	choiceThree	choiceThree_zh_TW	choiceThree_en_UK	choiceThree_ja_JP	choiceThree_ko_KR	choiceThree_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
19	11	1	1	18:guest_icon_01	2	3	5730026	3	2											1	博林	博林	Bolin	ポーリン	볼린	โบลิน	七，八，九……十！\n呼，终于凑齐了！各种花色的钓鱼券！	七，八，九……十！\n呼，終於湊齊了！各種花色的釣魚券！	Seven, eight, nine... ten! Phew, finally got them all! Fishing vouchers of all colors!	7、8、9……10！\nよーし、釣りチケットがやっと全色揃ったよ！	일곱, 여덟, 아홉……열!\n후, 드디어 모았다! 다양한 디자인의 낚시 티켓!	เจ็ด​ แปด​ เก้า​...​สิบ​!​\nฮู่ว​ รวบรวม​ครบ​ซะ​ที​!​ คูปอง​ตกปลา​ครบ​ทุก​แบบ​!​	鱼是最美味的	魚是最美味的	Fish is the tastiest.	魚って一番おいしいよね	생선이 제일 맛있어요	ปลานี่อร่อยที่สุดเลย												
20	11	2	1	18:guest_icon_01	3															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	我看了天气预报，这周周末天气不错，最适合户外钓鱼了！\n店长，怎么样，要一起去吗？	我看了天氣預報，這週週末天氣不錯，最適合戶外釣魚了！\n店長，怎麼樣，要一起去嗎？	I checked the weather forecast, and it looks good for outdoor fishing this weekend! Manager, what do you say? Do you want to join me?	天気予報だと、週末はいい天気らしいし、外での釣りに持ってこいだな！\n店長もどう？一緒に釣りに行く？	날씨 예보를 봤는데, 이번 주말엔 날씨가 참 좋아요, 야외 낚시하기 딱 좋은 날씨네요!\n점장님, 어때요, 같이 갈래요?	ดู​พยากรณ์อากาศ​แล้ว​ สุดสัปดาห์​นี้​อากาศ​ดี​ เหมาะกับ​ตกปลา​กลางแจ้ง​สุด​ๆ​!​\nผู้จัดการ​ ว่า​ไง​ล่ะ​ จะ​ไป​ด้วยกัน​ไหม​?​																		
21	11	3	2		4															1	我	我	Me	私	나	ฉัน	钓鱼？去玛瑙湾吗？	釣魚？去瑪瑙灣嗎？	Fishing? Going to Cowrie Cove?	釣り？メノウ湾にでも行くのか？	낚시요? 카넬리언 베이로 가나요?	ตกปลา​เหรอ​?​ ไป​ที่​อ่าว​อา​เก​ต​กัน​ไหม​ล่ะ​?​																		
22	11	4	1	18:guest_icon_01	5															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	啊？玛瑙湾？正经钓鱼的谁去玛瑙湾啊！	啊？瑪瑙灣？正經釣魚的誰去瑪瑙灣啊！	Huh? Cowrie Cove? Who goes there for serious fishing?	え？メノウ湾？まともな釣り人なら、誰も行かないよ、あんなとこ！	아, 카넬리언 베이라고요? 진짜 낚시꾼들이 카넬리언 베이에 가다니요!	หา​?​ อ่าว​อา​เก​ต​?​ ใคร​จะ​ไป​ตกปลา​จริงจัง​ที่​อ่าว​อา​เก​ต​กัน​!​																		
23	11	5	1	18:guest_icon_01	6															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	以前那地方还算可以，风景不错，鱼的品种也多。\n现在嘛……现在不行咯！	以前那地方還算可以，風景不錯，魚的品種也多。\n現在啊……現在不行了！	It used to be a nice place with good scenery and a variety of fish. But now, it's gone downhill!	確かに前はいい場所だったよ。景色もよくって、魚も色々いて。\nでもね……今はダメダメだね！	예전에는 그곳도 괜찮았어요, 경치도 좋고 물고기 종류도 많았죠.\n지금은……지금은 안 돼요!	แต่ก่อน​ที่นั่น​ก็​พอใช้ได้​นะ​ วิว​สวย​ มี​ปลา​หลากหลาย​พันธุ์​\nแต่​ตอนนี้​น่ะ​...​ ตอนนี้​ไม่​ไหว​แล้ว​!​																		
24	11	6	1	18:guest_icon_01	7															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	不知道议会那些人怎么想的，非要发展什么海滨旅游……\n好好的海湾变成了打卡地，唉。	不知道議會那些人怎麼想的，非要發展什麼海濱旅遊……\n好好的海灣變成了打卡地，唉。	I don't know what those council people were thinking, pushing for seaside tourism development. A once pristine bay has turned into a tourist spot. Sigh.	それもこれも全部議会のせいってもんさ！海辺の観光事業を成長させるとかなんとか言っちゃって……\n今じゃ写真映え狙いの観光客であふれかえる始末さ。まったく……	의회 사람들이 무슨 생각을 하는지 모르겠어요, 굳이 해변 관광을 활성화하겠다고…… 그렇게 좋았던 해변이 관광지가 되어버렸어요, 한숨이 나오네요	ไม่​รู้​พวก​สภา​คิด​กัน​ยังไง​ จะ​พัฒนา​แหล่งท่องเที่ยว​ริมทะเล​อะไร​นั่น​...​\nอ่า​วดี​ๆ​ กลาย​เป็นที่​เช็ค​อิน​หมด​ เฮ้อ​																		
25	11	7	1	18:guest_icon_01	8															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	现在海面上全是游艇，岸边也全是游客。\n往往还没掏出鱼竿，鱼就被马达声吓跑了。	現在海面上全是遊艇，岸邊也全是遊客。\n往往還沒掏出魚竿，魚就被馬達聲嚇跑了。	Now the sea is full of yachts, and the shores are crowded with tourists. Often, before I even get my fishing rod out, the sound of engines scares the fish away.	沖を見ればクルーザーばかり、岸の方は観光客しかいない。\nまだ一投もしてないのに、魚がモーターの音で逃げ出しちゃうこともしばしば。	지금은 바다 위에 전부 요트로 가득하고, 해변도 모두 관광객들이 차지해 버렸답니다. 대부분 물고기 낚싯대를 꺼내기도 전에 모터 소리를 듣고 물고기가 도망가 버려요.	ตอนนี้​ใน​ทะเล​เต็มไปด้วย​เรือ​ยอชต์​ ริมฝั่ง​ก็​เต็มไปด้วย​นักท่องเที่ยว​\nยัง​ไม่​ทัน​ได้​ควัก​คันเบ็ด​ ปลา​ก็​ตกใจ​เสียง​เครื่องยนต์​หนี​หมด​แล้ว​																		
26	11	8	1	18:guest_icon_01	9															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	啊对，被围观的感觉也很不好受！\n就像……就像是进了动物园一样，反正我不喜欢。	啊對，被圍觀的感覺也很不好受！\n就像……就像是進了動物園一樣，反正我不喜歡。	Oh, and the feeling of being watched is quite uncomfortable too! It's like... it's like being in a zoo. Anyway, I don't like it.	あっ、それに、みんなにジロジロ見られるのも気分悪いしね！\nあれは……そう、動物園の檻の中って感じかな？とにかく僕は好きじゃないな。	아, 구경하는 사람들 때문에 느껴지는 불편함도 있어요! 마치……마치 동물원에 들어간 것 같아요, 어쨌든 저는 싫어요.	ใช่​เลย​ ความรู้สึก​ตอน​โดน​รอบข้าง​จ้องมอง​มัน​ไม่​ดี​สุด​ๆ​!​\nเห​มือ​น.​..​ เหมือน​เข้าไป​อยู่​ใน​สวนสัตว์​ยังไง​ยังงั้น​ ไม่​ชอบ​เลย​																		
27	11	9	2		10															1	我	我	Me	私	나	ฉัน	那这些钓鱼券……	那這些釣魚券……	So, about these fishing vouchers...	じゃあ、その釣りチケットっていうのは……	그럼 이 낚시 티켓은……	แล้ว​คูปอง​ตกปลา​พวก​นี้​ล่ะ​...​																		
