rankId	exp	rewardId	rewardNum	rewardNumMax	time	catTime	propId	propNum	status
int	int	int	int	int	int	int	int	int	int
1	5	3000003	40	10000	60	57600	4120001;4120002;4120003	40;30;20	1
2	150	3000003	50	15000	60	58800	4120001;4120002;4120003	44;34;24	1
3	400	3000003	60	20000	60	60000	4120001;4120002;4120003	50;40;30	1
4	700	3000003	70	25000	60	61200	4120001;4120002;4120003	135;110;85	1
5	1000	3000003	80	30000	60	62400	4120001;4120002;4120003	300;250;200	1
6	3000	3000003	90	35000	60	63600	4120001;4120002;4120003	320;270;220	1
7	6000	3000003	100	40000	60	64800	4120001;4120002;4120003	350;300;250	1
8	10000	3000003	110	45000	60	66000	4120001;4120002;4120003	370;320;270	1
9	20000	3000003	120	50000	60	67200	4120001;4120002;4120003	400;350;300	1
10	50000	3000003	130	55000	60	68400	4120001;4120002;4120003	420;370;320	1
11	100000	3000003	140	60000	60	69600	4120001;4120002;4120003	450;400;350	1
12	200000	3000003	150	70000	60	70800	4120001;4120002;4120003	470;420;370	1
13	400000	3000003	160	80000	60	72000	4120001;4120002;4120003	500;450;400	1
14	600000	3000003	170	90000	60	73200	4120001;4120002;4120003	520;470;420	1
15	800000	3000003	180	100000	60	74400	4120001;4120002;4120003;4120004	550;500;450;200	1
16	1000000	3000003	190	110000	60	75600	4120001;4120002;4120003;4120004	570;520;470;250	1
17	2000000	3000003	200	120000	60	76800	4120001;4120002;4120003;4120004	600;550;500;300	1
18	3000000	3000003	210	130000	60	78000	4120001;4120002;4120003;4120004	620;570;520;350	1
19	4000000	3000003	220	140000	60	79200	4120001;4120002;4120003;4120004	650;600;550;400	1
20	5000000	3000003	230	150000	60	80400	4120001;4120002;4120003;4120004	650;600;550;400	1
21	6000000	3000003	240	160000	60	81600	4120001;4120002;4120003;4120004	650;600;550;400	1
22	8000000	3000003	250	170000	60	82800	4120001;4120002;4120003;4120004	650;600;550;400	1
23	10000000	3000003	260	180000	60	84000	4120001;4120002;4120003;4120004	650;600;550;400	1
24	12000000	3000003	270	190000	60	85200	4120001;4120002;4120003;4120004	650;600;550;400	1
25		3000003	280	200000	60	86400			1
