id	taskContentType	taskContentId	taskContenNum	rankId	costId	costNum	type	status	desc1	desc1_zh_TW	desc1_en_UK	desc1_ja_JP	desc1_ko_KR	desc1_th_TH	desc2	desc2_zh_TW	desc2_en_UK	desc2_ja_JP	desc2_ko_KR	desc2_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
40101	1415	1	1	1	3000003	1000	1	1	累计获得1个食谱	累計獲得1個食譜	Get 1 Recipe in total.	レシピを1種獲得	누적 1개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 1​ สูตร​	解锁上餐数40	解鎖上餐數40	Increases meal count to 40.	セット最大販売数40まで解放	해제된 식사 판매 수 40	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 40​
40201	1415	1	3	2	3000003	2000	1	1	累计获得3个食谱	累計獲得3個食譜	Get 3 Recipes in total.	レシピを3種獲得	누적 3개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 3​ สูตร​	解锁上餐数60;店员位1	解鎖上餐數60;店員位1	Increases meal count to 60 and adds 1 staff member.	セット最大販売数60まで解放、店員枠1つ解放	해제된 식사 판매 수 60;점원 1명	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 60,​ ตำแหน่ง​พนักงาน​ร้าน​:​ 1​ 
40301	1415	1	6	3	3000003	3000	1	1	累计获得6个食谱	累計獲得6個食譜	Get 6 Recipes in total.	レシピを6種獲得	누적 6개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 6​ สูตร​	解锁上餐数80	解鎖上餐數80	Increases meal count to 80.	セット最大販売数80まで解放	해제된 식사 판매 수 80	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 80​
40401	1415	1	10	4	3000003	4000	1	1	累计获得10个食谱	累計獲得10個食譜	Get 10 Recipes in total.	レシピを10種獲得	누적 10개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 10​ สูตร​	解锁上餐数100;外卖车队2	解鎖上餐數100;外賣車隊2	Increases meal count to 100 and unlocks 2 Expresses.	セット最大販売数100まで解放、出前チーム2つ解放	해제된 식사 판매 수 100;차량 배달팀 2	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​ 100,​ ขบวนรถ​ส่ง​อาหาร​ 2​
40501	1415	1	12	5	3000003	5000	1	1	累计获得12个食谱	累計獲得12個食譜	Get 12 Recipes in total.	レシピを12種獲得	누적 12개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 12​ สูตร​	解锁上餐数120	解鎖上餐數120	Increases meal count to 120.	セット最大販売数120まで解放	해제된 식사 판매 수 120	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 120​
40601	1415	1	14	6	3000003	6000	1	1	累计获得14个食谱	累計獲得14個食譜	Get 14 Recipes in total.	レシピを14種獲得	누적 14개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 14​ สูตร​	解锁上餐数140;店员位2	解鎖上餐數140;店員位2	Increases meal count to 140 and adds 2 staff members.	セット最大販売数140まで解放、店員枠2つ解放	해제된 식사 판매 수 140;점원 2명	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 140,​ ตำแหน่ง​พนักงาน​ร้าน​:​ 2​
40701	1415	1	16	7	3000003	7000	1	1	累计获得16个食谱	累計獲得16個食譜	Get 16 Recipes in total.	レシピを16種獲得	누적 16개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 16​ สูตร​	解锁上餐数160;休息室2	解鎖上餐數160;休息室2	Increases meal count to 160 and adds 2 Lounges.	セット最大販売数160まで解放、休憩室2つ解放	해제된 식사 판매 수 160;휴게실 2	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 160;​ ห้องพัก​:​ 2​
40801	1415	1	18	8	3000003	8000	1	1	累计获得18个食谱	累計獲得18個食譜	Get 18 Recipes in total.	レシピを18種獲得	누적 18개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 18​ สูตร​	解锁上餐数180	解鎖上餐數180	Increases meal count to 180.	セット最大販売数180まで解放	해제된 식사 판매 수 180	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 180​
40901	1415	1	20	9	3000003	9000	1	1	累计获得20个食谱	累計獲得20個食譜	Get 20 Recipes in total.	レシピを20種獲得	누적 20개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 20​ สูตร​	解锁上餐数200;外卖车队3	解鎖上餐數200;外賣車隊3	Increases meal count to 200 and unlocks 3 Expresses.	セット最大販売数200まで解放、出前チーム3つ解放	해제된 식사 판매 수 200;차량 배달팀 3	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 200,​ ขบวนรถ​ส่ง​อาหาร​:​ 3​
41001	1415	1	22	10	3000003	10000	1	1	累计获得22个食谱	累計獲得22個食譜	Get 22 Recipes in total.	レシピを22種獲得	누적 22개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 22​ สูตร​	解锁上餐数220;店员位3	解鎖上餐數220;店員位3	Increases meal count to 220 and adds 3 staff members.	セット最大販売数220まで解放、店員枠3つ解放	해제된 식사 판매 수 220;점원 3명	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 220,​ ตำแหน่ง​พนักงาน​ร้าน​:​ 3​
41101	1415	1	24	11	3000003	12000	1	1	累计获得24个食谱	累計獲得24個食譜	Get 24 Recipes in total.	レシピを24種獲得	누적 24개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 24​ สูตร​	解锁上餐数240	解鎖上餐數240	Increases meal count to 240.	セット最大販売数240まで解放	해제된 식사 판매 수 240	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 240​
41201	1415	1	26	12	3000003	14000	1	1	累计获得26个食谱	累計獲得26個食譜	Get 26 Recipes in total.	レシピを26種獲得	누적 26개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 26​ สูตร​	解锁上餐数260	解鎖上餐數260	Increases meal count to 260.	セット最大販売数260まで解放	해제된 식사 판매 수 260	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 260​
41301	1415	1	28	13	3000003	16000	1	1	累计获得28个食谱	累計獲得28個食譜	Get 28 Recipes in total.	レシピを28種獲得	누적 28개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 28​ สูตร​	解锁上餐数280	解鎖上餐數280	Increases meal count to 280.	セット最大販売数280まで解放	해제된 식사 판매 수 280	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 280​
41401	1415	1	30	14	3000003	18000	1	1	累计获得30个食谱	累計獲得30個食譜	Get 30 Recipes in total.	レシピを30種獲得	누적 30개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 30​ สูตร​	解锁上餐数300;外卖车队4	解鎖上餐數300;外賣車隊4	Increases meal count to 300 and unlocks 4 Expresses.	セット最大販売数300まで解放、出前チーム4つ解放	해제된 식사 판매 수 300;차량 배달팀 4	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 300,​ ขบวนรถ​ส่ง​อาหาร​:​ 4​
41501	1415	1	35	15	3000003	20000	1	1	累计获得35个食谱	累計獲得35個食譜	Get 35 Recipes in total.	レシピを35種獲得	누적 35개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 35​ สูตร​	解锁上餐数330	解鎖上餐數330	Increases meal count to 330.	セット最大販売数330まで解放	해제된 식사 판매 수 330	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 330​
41601	1415	1	40	16	3000003	25000	1	1	累计获得40个食谱	累計獲得40個食譜	Get 40 Recipes in total.	レシピを40種獲得	누적 40개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 40​ สูตร​	解锁上餐数360	解鎖上餐數360	Increases meal count to 360.	セット最大販売数360まで解放	해제된 식사 판매 수 360	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 360​
41701	1415	1	45	17	3000003	30000	1	1	累计获得45个食谱	累計獲得45個食譜	Get 45 Recipes in total.	レシピを45種獲得	누적 45개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 45​ สูตร​	解锁上餐数390;休息室3	解鎖上餐數390;休息室3	Increases meal count to 390 and adds 3 Lounges.	セット最大販売数390まで解放、休憩室3つ解放	해제된 식사 판매 수 390;휴게실 3	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 390,​ ห้องพัก​:​ 3​
41801	1415	1	50	18	3000003	40000	1	1	累计获得50个食谱	累計獲得50個食譜	Get 50 Recipes in total.	レシピを50種獲得	누적 50개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 50​ สูตร​	解锁上餐数420	解鎖上餐數420	Increases meal count to 420.	セット最大販売数420まで解放	해제된 식사 판매 수 420	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 420​
41901	1415	1	55	19	3000003	50000	1	1	累计获得55个食谱	累計獲得55個食譜	Get 55 Recipes in total.	レシピを55種獲得	누적 55개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 55​ สูตร​	解锁上餐数450;外卖车队5	解鎖上餐數450;外賣車隊5	Increases meal count to 450 and unlocks 5 Expresses.	セット最大販売数450まで解放、出前チーム5つ解放	해제된 식사 판매 수 450;차량 배달팀 5	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 450,​ ขบวนรถ​ส่ง​อาหาร​:​ 5​
42001	1415	1	60	20	3000003	60000	1	1	累计获得60个食谱	累計獲得60個食譜	Get 60 Recipes in total.	レシピを60種獲得	누적 60개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 60​ สูตร​	解锁上餐数480	解鎖上餐數480	Increases meal count to 480.	セット最大販売数480まで解放	해제된 식사 판매 수 480	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 480​
42101	1415	1	65	21	3000003	70000	1	1	累计获得65个食谱	累計獲得65個食譜	Get 65 Recipes in total.	レシピを65種獲得	누적 65개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 65​ สูตร​	解锁上餐数510	解鎖上餐數510	Increases meal count to 510.	セット最大販売数510まで解放	해제된 식사 판매 수 510	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 510​
42201	1415	1	70	22	3000003	80000	1	1	累计获得70个食谱	累計獲得70個食譜	Get 70 Recipes in total.	レシピを70種獲得	누적 70개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 70​ สูตร​	解锁上餐数540	解鎖上餐數540	Increases meal count to 540.	セット最大販売数540まで解放	해제된 식사 판매 수 540	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 540​
42301	1415	1	75	23	3000003	90000	1	1	累计获得75个食谱	累計獲得75個食譜	Get 75 Recipes in total.	レシピを75種獲得	누적 75개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 75​ สูตร​	解锁上餐数570	解鎖上餐數570	Increases meal count to 570.	セット最大販売数570まで解放	해제된 식사 판매 수 570	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 570​
42401	1415	1	80	24	3000003	100000	1	1	累计获得80个食谱	累計獲得80個食譜	Get 80 Recipes in total.	レシピを80種獲得	누적 80개 레시피 획득	สะสม​สูตร​อาหาร​ที่​ได้รับ​ 80​ สูตร​	解锁上餐数600	解鎖上餐數600	Increases meal count to 600.	セット最大販売数600まで解放	해제된 식사 판매 수 600	ปลดล็อก​จำนวน​เสิร์ฟ​อาหาร​:​ 600​
42501				25			1	1												
40202	1415	2	2	2			2	1	将2个食谱品级提升至C级	將2個食譜品級提升至C級	Upgrade the quality of 2 Recipes to C.	C級レシピが2種に達する	2개의 레시피 등급 C급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 2​ สูตร​ ให้​ถึง​ระดับ​ C​						
