food	unlockType	unlockId	unlockNum	weight	skillArea	status
int	int	int	int	int	int	int
5600092	25	0	101110	4800	1	1
5600014	27	0	2010502	2400	1	1
5600008	27	0	2010503	2400	1	1
5600049	25	0	101110	4800	1	1
5600093	27	0	2010505	2400	1	1
5600029	27	0	2010506	2400	1	1
5600040	25	0	101110	4800	1	1
5600050	27	0	2010508	2400	1;2	1
5600016	27	0	2010509	2400	1	1
5600002	25	0	102161	4800	2	1
5600019	27	0	2020102	2400	2;3	1
5600094	25	0	102161	4800	2	1
5600030	27	0	2020105	2400	2	1
5600031	27	0	2020106	2400	2	1
5600095	25	0	102161	4800	2	1
5600088	27	0	2020108	2400	2	1
5600096	27	0	2020109	2400	2	1
5600001	4	0	105010	4800	3	1
5600097	27	0	2030503	2400	3	1
5600082	4	0	105010	4800	3	1
5600037	27	0	2030505	2400	3	1
5600098	27	0	2030506	2400	3	1
5600017	4	0	105010	4800	3	1
5600099	27	0	2030508	2400	3	1
5600100	27	0	2030509	2400	3	1
5600004	4	0	107010	4800	4	1
5600021	27	0	2040502	2400	4	1
5600101	27	0	2040503	2400	4	1
5600041	4	0	107010	4800	4	1
5600102	27	0	2040505	2400	4	1
5600103	27	0	2040506	2400	4	1
5600083	4	0	107010	4800	4	1
5600104	27	0	2040508	2400	4;5	1
5600044	27	0	2040509	2400	4;6	1
5600105	4	0	109010	4800	5	1
5600106	27	0	2050502	2400	5	1
5600107	27	0	2050503	2400	5	1
5600108	4	0	109010	4800	5	1
5600024	27	0	2050505	2400	5;6	1
5600109	4	0	109010	4800	5	1
5600110	27	0	2050508	2400	5	1
5600111	27	0	2050509	2400	5	1
5600112	4	0	111001	4800	6	1
5600015	27	0	2060402	2400	6	1
5600113	27	0	2060403	2400	6	1
5600114	4	0	111001	4800	6	1
5600115	27	0	2060405	2400	6	1
5600116	4	0	111001	4800	6	1
5600090	27	0	2060406	2400	6	1
8000321	29	8000321	1	300	1	1
8000121	29	8000121	1	232	1	1
8000131	29	8000131	1	168	1	1
8000151	29	8000151	1	108	1	1
8000141	29	8000141	1	52	1	1
8000211	29	8000211	1	300	2	1
8000241	29	8000241	1	232	2	1
8000232	29	8000232	1	168	2	1
8000251	29	8000251	1	108	2	1
8000261	29	8000261	1	52	2	1
8000311	29	8000311	1	300	3	1
8000341	29	8000341	1	232	3	1
8000332	29	8000332	1	168	3	1
8000361	29	8000361	1	108	3	1
8000351	29	8000351	1	52	3	1
8000421	29	8000421	1	300	4	1
8000432	29	8000432	1	232	4	1
8000441	29	8000441	1	168	4	1
8000452	29	8000452	1	108	4	1
8000461	29	8000461	1	52	4	1
8000521	29	8000521	1	300	5	1
8000531	29	8000531	1	232	5	1
8000542	29	8000542	1	168	5	1
8000552	29	8000552	1	108	5	1
8000561	29	8000561	1	52	5	1
8000612	29	8000612	1	300	6	1
8000631	29	8000631	1	232	6	1
8000642	29	8000642	1	168	6	1
8000651	29	8000651	1	108	6	1
8000661	29	8000661	1	52	6	1
8000111	29	8000111	1	100	1	1
8000222	29	8000222	1	72	1	1
8000422	29	8000422	1	48	1	1
8000462	29	8000462	1	28	1	1
8000161	29	8000161	1	12	1	1
8000212	29	8000212	1	100	2	1
8000221	29	8000221	1	72	2	1
8000231	29	8000231	1	48	2	1
8000242	29	8000242	1	28	2	1
8000733	29	8000733	1	12	2	1
8000312	29	8000312	1	100	3	1
8000322	29	8000322	1	72	3	1
8000331	29	8000331	1	48	3	1
8000342	29	8000342	1	28	3	1
8000663	29	8000663	1	12	3	1
8000411	29	8000411	1	100	4	1
8000412	29	8000412	1	72	4	1
8000431	29	8000431	1	48	4	1
8000442	29	8000442	1	28	4	1
8000752	29	8000752	1	12	4	1
8000512	29	8000512	1	100	5	1
8000511	29	8000511	1	72	5	1
8000522	29	8000522	1	48	5	1
8000541	29	8000541	1	28	5	1
8000551	29	8000551	1	12	5	1
8000622	29	8000622	1	100	6	1
8000621	29	8000621	1	72	6	1
8000632	29	8000632	1	48	6	1
8000641	29	8000641	1	28	6	1
8000652	29	8000652	1	12	6	1
