id	upperLimit	lowerLimit	type	reward	rewardNum	mailId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	1	1	3000002;3000003	800;300000	21001	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
102	2	2	1	3000002;3000003	600;200000	21002	1	第2名	第2名	No.2	2位	2위	อันดับที่ 2
103	3	3	1	3000002;3000003	500;150000	21003	1	第3名	第3名	No.3	3位	3위	อันดับที่ 3
104	4	100	1	3000002;3000003	400;100000	21004	1	4~100	4~100	4~100	4~100	4~100위	4-100
201	1	1	2	3000002;3000003	350;80000	20001	1	前1%	前1%	Top 1%	上位1%	상위 1%	TOP 1%
202	2	10	2	3000002;3000003	300;70000	20002	1	前10%	前10%	Top 10%	上位10%	상위 10%	TOP 10%
203	11	20	2	3000002;3000003	250;60000	20003	1	前20%	前20%	Top 20%	上位20%	상위 20%	TOP 20%
204	21	50	2	3000002;3000003	200;50000	20004	1	前50%	前50%	Top 50%	上位50%	상위 50%	TOP 50%
205	51	70	2	3000002;3000003	150;40000	20005	1	前70%	前70%	Top 70%	上位70%	상위 70%	TOP 70%
206	71	80	2	3000002;3000003	100;30000	20006	1	前80%	前80%	Top 80%	上位80%	상위 80%	TOP 80%
207	81	100	2	3000002;3000003	80;20000	20007	1	未进入80%	未進入80%	Not in the top 80% ranking	80%圏外	상위 80% 외	ไม่อยู่ใน TOP 80%
