id	type	foodStuff	foodStuffNum	sale	experience	experienceAdd	piece	weight	cost	foodId	sort	addToAward	addToRestExp	maxAddToAward	MaxAddToGold	fishId	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
5510001	1	5600092	10	50;55;60;65;75	0;4;20;100;200	2;4;6	1;2;3	900;100;20	10	5710001	111	5300002	5;10;15	3000003	10;20;30		1
5510002	1	5600092;5600014	10;5	60;66;72;78;90	0;10;50;150;300	2;4;6	1;2;3	900;100;20	12	5710002	112	5300002	6;12;18	3000003	12;24;36		1
5510003	1	5600092;5600014;5600008	10;5;5	75;83;90;98;113	0;20;100;300;600	2;4;6	1;2;3	900;100;20	15	5710003	114	5300002	8;16;24	3000003	16;32;48		1
5520001	2	5600049	10	75;83;90;98;113	0;4;20;100;200	2;4;6	1;2;3	900;100;20	15	5720001	121	5300002	8;16;24	3000003	16;32;48		1
5520002	2	5600049;5600093	10;5	90;99;108;117;135	0;10;50;150;300	2;4;6	1;2;3	900;100;20	18	5720002	122	5300002	9;18;27	3000003	18;36;54		1
5520003	2	5600049;5600093;5600029	10;5;5	113;124;136;147;170	0;20;100;300;600	2;4;6	1;2;3	900;100;20	23	5720003	124	5300002	11;22;33	3000003	22;44;66		1
5540001	4	5600040	10	60;66;72;78;90	0;4;20;100;200	2;4;6	1;2;3	900;100;20	12	5740001	141	5300002	6;12;18	3000003	12;24;36		1
5540002	4	5600040;5600050	10;5	72;79;86;94;108	0;10;50;150;300	2;4;6	1;2;3	900;100;20	14	5740002	142	5300002	7;14;21	3000003	14;28;42		1
5540003	4	5600040;5600050;5600016	10;5;5	90;99;108;117;135	0;20;100;300;600	2;4;6	1;2;3	900;100;20	18	5740003	144	5300002	9;18;27	3000003	18;36;54		1
5530026	3	8000321	1	90;99;108;117;135	0;20;100;300;600	2;4;6	1;2;3	900;100;20	18	5730026	131	5300002	9;18;27	3000003	18;36;54	8000321	1
5530027	3	8000121	1	105;116;126;137;158	0;20;100;300;600	2;4;6	1;2;3	900;100;20	21	5730027	132	5300002	11;22;33	3000003	22;44;66	8000121	1
5530028	3	8000131	1	120;132;144;156;180	0;20;100;300;600	2;4;6	1;2;3	900;100;20	24	5730028	133	5300002	12;24;36	3000003	24;48;72	8000131	1
5530001	3	8000151	1	135;149;162;176;203	0;20;100;300;600	2;4;6	1;2;3	900;100;20	27	5730001	134	5300002	14;28;42	3000003	28;56;84	8000151	1
5530004	3	8000141	1	150;165;180;195;225	0;20;100;300;600	2;4;6	1;2;3	900;100;20	30	5730004	135	5300002	15;30;45	3000003	30;60;90	8000141	1
5510004	1	5600002	10	55;61;66;72;83	0;4;22;110;220	2;4;6	1;2;3	900;100;20	11	5710004	211	5300002	6;12;18	3000003	12;24;36		1
5510005	1	5600002;5600019	10;5	66;73;79;86;99	0;11;55;165;330	2;4;6	1;2;3	900;100;20	13	5710005	212	5300002	7;14;21	3000003	14;28;42		1
5510006	1	5600002;5600019;5600050	10;5;5	83;91;100;108;125	0;22;110;330;660	2;4;6	1;2;3	900;100;20	17	5710006	214	5300002	8;16;24	3000003	16;32;48		1
5520004	2	5600094	10	83;91;100;108;125	0;4;22;110;220	2;4;6	1;2;3	900;100;20	17	5720004	221	5300002	8;16;24	3000003	16;32;48		1
5520005	2	5600094;5600030	10;5	100;110;120;130;150	0;11;55;165;330	2;4;6	1;2;3	900;100;20	20	5720005	222	5300002	10;20;30	3000003	20;40;60		1
5520006	2	5600094;5600030;5600031	10;5;5	125;138;150;163;188	0;22;110;330;660	2;4;6	1;2;3	900;100;20	25	5720006	224	5300002	13;26;39	3000003	26;52;78		1
5540004	4	5600095	10	66;73;79;86;99	0;4;22;110;220	2;4;6	1;2;3	900;100;20	13	5740004	241	5300002	7;14;21	3000003	14;28;42		1
5540005	4	5600095;5600088	10;5	79;87;95;103;119	0;11;55;165;330	2;4;6	1;2;3	900;100;20	16	5740005	242	5300002	8;16;24	3000003	16;32;48		1
5540006	4	5600095;5600088;5600096	10;5;5	99;109;119;129;149	0;22;110;330;660	2;4;6	1;2;3	900;100;20	20	5740006	244	5300002	10;20;30	3000003	20;40;60		1
5530029	3	8000211	1	100;110;120;130;150	0;22;110;330;660	2;4;6	1;2;3	900;100;20	20	5730029	231	5300002	10;20;30	3000003	20;40;60	8000211	1
5530014	3	8000241	1	116;128;139;151;174	0;22;110;330;660	2;4;6	1;2;3	900;100;20	23	5730014	232	5300002	12;24;36	3000003	24;48;72	8000241	1
5530015	3	8000232	1	133;146;160;173;200	0;22;110;330;660	2;4;6	1;2;3	900;100;20	27	5730015	233	5300002	13;26;39	3000003	26;52;78	8000232	1
5530005	3	8000251	1	149;164;179;194;224	0;22;110;330;660	2;4;6	1;2;3	900;100;20	30	5730005	234	5300002	15;30;45	3000003	30;60;90	8000251	1
5530006	3	8000261	1	166;183;199;216;249	0;22;110;330;660	2;4;6	1;2;3	900;100;20	33	5730006	235	5300002	17;34;51	3000003	34;68;102	8000261	1
5510007	1	5600001	10	60;66;72;78;90	0;5;24;120;240	2;4;6	1;2;3	900;100;20	12	5710007	311	5300002	6;12;18	3000003	12;24;36		1
5510008	1	5600001;5600019	10;5	72;79;86;94;108	0;12;60;180;360	2;4;6	1;2;3	900;100;20	14	5710008	312	5300002	7;14;21	3000003	14;28;42		1
5510009	1	5600001;5600019;5600097	10;5;5	90;99;108;117;135	0;24;120;360;720	2;4;6	1;2;3	900;100;20	18	5710009	314	5300002	9;18;27	3000003	18;36;54		1
5520007	2	5600082	10	90;99;108;117;135	0;5;24;120;240	2;4;6	1;2;3	900;100;20	18	5720007	321	5300002	9;18;27	3000003	18;36;54		1
5520008	2	5600082;5600037	10;5	108;119;130;140;162	0;12;60;180;360	2;4;6	1;2;3	900;100;20	22	5720008	322	5300002	11;22;33	3000003	22;44;66		1
5520009	2	5600082;5600037;5600098	10;5;5	135;149;162;176;203	0;24;120;360;720	2;4;6	1;2;3	900;100;20	27	5720009	324	5300002	14;28;42	3000003	28;56;84		1
5540007	4	5600017	10	72;79;86;94;108	0;5;24;120;240	2;4;6	1;2;3	900;100;20	14	5740007	341	5300002	7;14;21	3000003	14;28;42		1
5540008	4	5600017;5600099	10;5	86;95;103;112;129	0;12;60;180;360	2;4;6	1;2;3	900;100;20	17	5740008	342	5300002	9;18;27	3000003	18;36;54		1
5540009	4	5600017;5600099;5600100	10;5;5	108;119;130;140;162	0;24;120;360;720	2;4;6	1;2;3	900;100;20	22	5740009	344	5300002	11;22;33	3000003	22;44;66		1
5530030	3	8000311	1	108;119;130;140;162	0;24;120;360;720	2;4;6	1;2;3	900;100;20	22	5730030	331	5300002	11;22;33	3000003	22;44;66	8000311	1
