id	additionId	additionNum	percentage	job	timeLineId	hasLookAt	cardId	coordinate	bubble	cloudPoint	status
int	int	int	int	int	int	int	int	int	int	int	int
108006	3001	1	0	1;3	301		108006	0.2	0;0	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/GP01	1
103008	5103	3	0	1;3	301		103008	0	0;0	Unity_Export_Grp/DeformationSystemScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/GP01	1
111008	5101	1	0	1;3	301		111008	-0.05	0;0	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/GP01	1
104003	5002	0.1,1	1,1	1;3	301		104003	-0.1	0;0	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/GP01	1
101008	5002	0.2,0.5	1,1	1;3	301		101006	-0.1	0;0	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/GP01	1
107008	5104	100	0	1;3	301		107008	-0.13	0;0	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/GP01	1
108008	5001	0.1,2	1,0	1;3	301		108008	0.2	0;0	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/GP01	1
138008	5101	1	0	1;3	301		138008	0	0;0	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/GP01	1
803008	5101	1	0	1;3	301		803008	0.22	0;0	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/GP01	1
803001	5101	1	0	1;3	301		803001	0.22	0;0	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/GP01	1
802008	5101	1	0	1;3	301		802008	0	0;0	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/GP01	1
805008	5101	1	0	1;3	301		805008	0.2	0;0	Unity_Export_Grp/DeformationScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/GP01	1
101006	5001	0.1,2	1,0	2;3	301		101006	0	0;0	Unity_Export_Grp/DeformationSystemScale_Grp/DeformationSystem/root_move_jnt/actor_move_jnt/Root_M/Spine1_M/Chest_M/Neck_M/Head_M/GP01	1
103021	5005	50,0.1,0.1	0,1,1	2;3	101;103;201	0;0;0	103021				1
102021	5006	1,0.1,1	0,1,0	2;3	101;103;201	0;0;0	102021				1
109002				3			109002				1
102001	5103	1	0	2;3	201;202;203	1;1;1	102001				1
104005	5103	1	0	2;3	201;202;203	1;1;1	104005				1
106008	5103	2	0	2;3	201;202;203	1;1;1	106008				1
112008	5001	0.1,1	1,0	2;3	201;202;203	1;1;1	112008				1
113008	5002	0.4,0.15	1,1	2;3	201;202;203	1;1;1	113008				1
114008	5001	0.1,1	1,0	2;3	201;202;203	1;1;1	114008				1
102008	5104	50	0	2;3	201;202;203	1;1;1	102008				1
103019	5104	30	0	2;3	201;202;203	1;1;1	103019				1
103002	5002	0.4,0.15	1,1	2;3	201;202;203	1;1;1	103002				1
106001	5104	50	0	2;3	201;202;203	1;1;1	106001				1
105006	5104	30	0	2;3	201;202;203	1;1;1	105006				1
135008	5001	0.1,1	1,0	2;3	201;202;203	1;1;1	135008				1
804008	5001	0.1,1	1,0	2;3	201;202;203	1;1;1	804008				1
101005				3			101005				1
101011				3			101011				1
102007				3			102007				1
102011				3			102011				1
103007				3			103007				1
104001				3			104001				1
