id	upperLimit	lowerLimit	type	reward	rewardNum	mailId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	1	1	4500101;3000003	20;300000	31001	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
102	2	2	1	4500101;3000003	15;200000	31002	1	第2名	第2名	No.2	2位	2위	อันดับที่ 2
103	3	3	1	4500101;3000003	12;150000	31003	1	第3名	第3名	No.3	3位	3위	อันดับที่ 3
104	4	100	1	4500101;3000003	10;100000	31004	1	4~100	4~100	4~100	4~100	4~100위	4-100
201	1	1	2	4500101;3000003	8;80000	30001	1	前1%	前1%	Top 1%	上位1%	상위 1%	TOP 1%
202	2	10	2	4500101;3000003	6;70000	30002	1	前10%	前10%	Top 10%	上位10%	상위 10%	TOP 10%
203	11	20	2	4500101;3000003	5;60000	30003	1	前20%	前20%	Top 20%	上位20%	상위 20%	TOP 20%
204	21	50	2	4500101;3000003	4;50000	30004	1	前50%	前50%	Top 50%	上位50%	상위 50%	TOP 50%
205	51	70	2	4500101;3000003	3;40000	30005	1	前70%	前70%	Top 70%	上位70%	상위 70%	TOP 70%
206	71	80	2	4500101;3000003	2;30000	30006	1	前80%	前80%	Top 80%	上位80%	상위 80%	TOP 80%
207	81	100	2	4500101;3000003	1;20000	30007	1	未进入80%	未進入80%	Not in the top 80% ranking	80%圏外	상위 80% 외	ไม่อยู่ใน TOP 80%
