food	area	unlockType	unlockId	unlockNum	priceId	price	priceIdLvMax	priceLvMax	saleId	saleNum	weight	group	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int
5710001	1	25	0	101102	5300002;4104041	5;3	3000003;4104041	100;3	3000002	10	100	1	1
5710002	1	27	0	2010502	5300002;4104042	6;3	3000003;4104042	120;3	3000002	10	100	1	1
5710003	1	27	0	2010503	5300002;4104043	8;3	3000003;4104043	160;3	3000002	10	100	1	1
5720001	1	25	0	101102	5300002;4104041	8;5	3000003;4104041	160;5	3000002	10	100	2	1
5720002	1	27	0	2010505	5300002;4104042	9;5	3000003;4104042	180;5	3000002	10	100	2	1
5720003	1	27	0	2010506	5300002;4104043	11;5	3000003;4104043	220;5	3000002	10	100	2	1
5740001	1	25	0	101102	5300002;4104041	6;4	3000003;4104041	120;4	3000002	10	100	4	1
5740002	1	27	0	2010508	5300002;4104042	7;4	3000003;4104042	140;4	3000002	10	100	4	1
5740003	1	27	0	2010509	5300002;4104043	9;4	3000003;4104043	180;4	3000002	10	100	4	1
5710004	2	25	0	102161	5300002;4104041	6;3	3000003;4104041	120;3	3000002	10	100	1	1
5710005	2	27	0	2020102	5300002;4104042	7;3	3000003;4104042	140;3	3000002	10	100	1	1
5710006	2	27	0	2020103	5300002;4104043	8;3	3000003;4104043	160;3	3000002	10	100	1	1
5720004	2	25	0	102161	5300002;4104041	8;5	3000003;4104041	160;5	3000002	10	100	2	1
5720005	2	27	0	2020105	5300002;4104042	10;5	3000003;4104042	200;5	3000002	10	100	2	1
5720006	2	27	0	2020106	5300002;4104043	13;5	3000003;4104043	260;5	3000002	10	100	2	1
5740004	2	25	0	102161	5300002;4104041	7;4	3000003;4104041	140;4	3000002	10	100	4	1
5740005	2	27	0	2020108	5300002;4104042	8;4	3000003;4104042	160;4	3000002	10	100	4	1
5740006	2	27	0	2020109	5300002;4104043	10;4	3000003;4104043	200;4	3000002	10	100	4	1
5710007	3	4	0	105010	5300002;4104041	6;3	3000003;4104041	120;3	3000002	10	100	1	1
5710008	3	27	0	2030502	5300002;4104042	7;3	3000003;4104042	140;3	3000002	10	100	1	1
5710009	3	27	0	2030503	5300002;4104043	9;3	3000003;4104043	180;3	3000002	10	100	1	1
5720007	3	4	0	105010	5300002;4104041	9;5	3000003;4104041	180;5	3000002	10	100	2	1
5720008	3	27	0	2030505	5300002;4104042	11;5	3000003;4104042	220;5	3000002	10	100	2	1
5720009	3	27	0	2030506	5300002;4104043	14;5	3000003;4104043	280;5	3000002	10	100	2	1
5740007	3	4	0	105010	5300002;4104041	7;4	3000003;4104041	140;4	3000002	10	100	4	1
5740008	3	27	0	2030508	5300002;4104042	9;4	3000003;4104042	180;4	3000002	10	100	4	1
5740009	3	27	0	2030509	5300002;4104043	11;4	3000003;4104043	220;4	3000002	10	100	4	1
5710010	4	4	0	107010	5300002;4104041	7;3	3000003;4104041	140;3	3000002	10	100	1	1
5710011	4	27	0	2040502	5300002;4104042	8;3	3000003;4104042	160;3	3000002	10	100	1	1
5710012	4	27	0	2040503	5300002;4104043	10;3	3000003;4104043	200;3	3000002	10	100	1	1
5720010	4	4	0	107010	5300002;4104041	10;5	3000003;4104041	200;5	3000002	10	100	2	1
5720011	4	27	0	2040505	5300002;4104042	12;5	3000003;4104042	240;5	3000002	10	100	2	1
5720012	4	27	0	2040506	5300002;4104043	15;5	3000003;4104043	300;5	3000002	10	100	2	1
5740010	4	4	0	107010	5300002;4104041	8;4	3000003;4104041	160;4	3000002	10	100	4	1
5740011	4	27	0	2040508	5300002;4104042	9;4	3000003;4104042	180;4	3000002	10	100	4	1
5740012	4	27	0	2040509	5300002;4104043	12;4	3000003;4104043	240;4	3000002	10	100	4	1
5710013	5	4	0	109010	5300002;4104041	7;3	3000003;4104041	140;3	3000002	10	100	1	1
5710014	5	27	0	2050502	5300002;4104042	8;3	3000003;4104042	160;3	3000002	10	100	1	1
5710015	5	27	0	2050503	5300002;4104043	11;3	3000003;4104043	220;3	3000002	10	100	1	1
5720013	5	4	0	109010	5300002;4104041	11;5	3000003;4104041	220;5	3000002	10	100	2	1
5720014	5	27	0	2050505	5300002;4104042	13;5	3000003;4104042	260;5	3000002	10	100	2	1
5720015	5	27	0	2050506	5300002;4104043	16;5	3000003;4104043	320;5	3000002	10	100	2	1
5740013	5	4	0	109010	5300002;4104041	8;4	3000003;4104041	160;4	3000002	10	100	4	1
5740014	5	27	0	2050508	5300002;4104042	10;4	3000003;4104042	200;4	3000002	10	100	4	1
5740015	5	27	0	2050509	5300002;4104043	13;4	3000003;4104043	260;4	3000002	10	100	4	1
5710016	6	25	0	110113	5300002;4104041	8;3	3000003;4104041	160;3	3000002	10	100	1	1
5710017	6	27	0	2060402	5300002;4104042	9;3	3000003;4104042	180;3	3000002	10	100	1	1
5710018	6	27	0	2060403	5300002;4104043	11;3	3000003;4104043	220;3	3000002	10	100	1	1
5720016	6	25	0	110113	5300002;4104041	11;5	3000003;4104041	220;5	3000002	10	100	2	1
5720017	6	27	0	2060405	5300002;4104042	14;5	3000003;4104042	280;5	3000002	10	100	2	1
5720018	6	27	0	2060406	5300002;4104043	17;5	3000003;4104043	340;5	3000002	10	100	2	1
5740016	6	25	0	110113	5300002;4104041	9;4	3000003;4104041	180;4	3000002	10	100	4	1
5740017	6	27	0	2060408	5300002;4104042	11;4	3000003;4104042	220;4	3000002	10	100	4	1
5740018	6	27	0	2060409	5300002;4104043	14;4	3000003;4104043	280;4	3000002	10	100	4	1
5730026	1	25	0	102100	5300002;3000018	9;4	3000003;3000018	180;4	3000002	10	100	3	1
5730027	1	25	0	102100	5300002;3000018	11;5	3000003;3000018	220;5	3000002	10	100	3	1
5730028	1	25	0	102100	5300002;3000018	12;6	3000003;3000018	240;6	3000002	10	100	3	1
5730001	1	25	0	102100	5300002;3000018	14;7	3000003;3000018	280;7	3000002	10	100	3	1
5730004	1	25	0	102100	5300002;3000018	15;8	3000003;3000018	300;8	3000002	10	100	3	1
5730029	2	25	0	102161	5300002;3000018	10;4	3000003;3000018	200;4	3000002	10	100	3	1
5730014	2	25	0	102161	5300002;3000018	12;5	3000003;3000018	240;5	3000002	10	100	3	1
5730015	2	25	0	102161	5300002;3000018	13;6	3000003;3000018	260;6	3000002	10	100	3	1
5730005	2	25	0	102161	5300002;3000018	15;7	3000003;3000018	300;7	3000002	10	100	3	1
5730006	2	25	0	102161	5300002;3000018	17;8	3000003;3000018	340;8	3000002	10	100	3	1
5730030	3	4	0	105010	5300002;3000018	11;4	3000003;3000018	220;4	3000002	10	100	3	1
5730017	3	4	0	105010	5300002;3000018	13;5	3000003;3000018	260;5	3000002	10	100	3	1
5730019	3	4	0	105010	5300002;3000018	14;6	3000003;3000018	280;6	3000002	10	100	3	1
5730008	3	4	0	105010	5300002;3000018	16;7	3000003;3000018	320;7	3000002	10	100	3	1
5730007	3	4	0	105010	5300002;3000018	18;8	3000003;3000018	360;8	3000002	10	100	3	1
5730002	4	4	0	107010	5300002;3000018	12;4	3000003;3000018	240;4	3000002	10	100	3	1
5730016	4	4	0	107010	5300002;3000018	14;5	3000003;3000018	280;5	3000002	10	100	3	1
5730018	4	4	0	107010	5300002;3000018	16;6	3000003;3000018	320;6	3000002	10	100	3	1
5730010	4	4	0	107010	5300002;3000018	18;7	3000003;3000018	360;7	3000002	10	100	3	1
5730009	4	4	0	107010	5300002;3000018	20;8	3000003;3000018	400;8	3000002	10	100	3	1
5730003	5	4	0	109010	5300002;3000018	13;4	3000003;3000018	260;4	3000002	10	100	3	1
5730022	5	4	0	109010	5300002;3000018	15;5	3000003;3000018	300;5	3000002	10	100	3	1
5730020	5	4	0	109010	5300002;3000018	17;6	3000003;3000018	340;6	3000002	10	100	3	1
5730013	5	4	0	109010	5300002;3000018	19;7	3000003;3000018	380;7	3000002	10	100	3	1
5730011	5	4	0	109010	5300002;3000018	21;8	3000003;3000018	420;8	3000002	10	100	3	1
5730021	6	25	0	110113	5300002;3000018	14;4	3000003;3000018	280;4	3000002	10	100	3	1
5730023	6	25	0	110113	5300002;3000018	16;5	3000003;3000018	320;5	3000002	10	100	3	1
5730024	6	25	0	110113	5300002;3000018	18;6	3000003;3000018	360;6	3000002	10	100	3	1
5730012	6	25	0	110113	5300002;3000018	20;7	3000003;3000018	400;7	3000002	10	100	3	1
5730025	6	25	0	110113	5300002;3000018	23;8	3000003;3000018	460;8	3000002	10	100	3	1
