rankId	maxNum	limitNum	time	refreshInterval	status
int	int	int	int	int	int
1	3	3	0500;0501;0502	3	1
2	3	3	0500;0501;0502	3	1
3	3	3	0500;0501;0502	10	1
4	3	3	0500;0501;0502	30	1
5	3	3	0500;0501;0502	30	1
6	4	4	0500;0501;0502;0503	30	1
7	4	4	0500;0501;0502;0503	30	1
8	4	4	0500;0501;0502;0503	30	1
9	4	4	0500;0501;0502;0503	30	1
10	4	4	0500;0501;0502;0503	30	1
11	5	5	0500;0501;0502;0503;0504	30	1
12	5	5	0500;0501;0502;0503;0504	30	1
13	5	5	0500;0501;0502;0503;0504	30	1
14	5	5	0500;0501;0502;0503;0504	30	1
15	5	5	0500;0501;0502;0503;0504	30	1
16	6	6	0500;0501;0502;0503;0504;0505	30	1
17	6	6	0500;0501;0502;0503;0504;0505	30	1
18	6	6	0500;0501;0502;0503;0504;0505	30	1
19	6	6	0500;0501;0502;0503;0504;0505	30	1
20	6	6	0500;0501;0502;0503;0504;0505	30	1
21	6	6	0500;0501;0502;0503;0504;0505	30	1
22	6	6	0500;0501;0502;0503;0504;0505	30	1
23	6	6	0500;0501;0502;0503;0504;0505	30	1
24	6	6	0500;0501;0502;0503;0504;0505	30	1
25	6	6	0500;0501;0502;0503;0504;0505	30	1
