key	id	status
string	string	int
5710001	5510001	1
5710002	5510002	1
5710003	5510003	1
5720001	5520001	1
5720002	5520002	1
5720003	5520003	1
5740001	5540001	1
5740002	5540002	1
5740003	5540003	1
5730026	5530026	1
5730027	5530027	1
5730028	5530028	1
5730001	5530001	1
5730004	5530004	1
5710004	5510004	1
5710005	5510005	1
5710006	5510006	1
5720004	5520004	1
5720005	5520005	1
5720006	5520006	1
5740004	5540004	1
5740005	5540005	1
5740006	5540006	1
5730029	5530029	1
5730014	5530014	1
5730015	5530015	1
5730005	5530005	1
5730006	5530006	1
5710007	5510007	1
5710008	5510008	1
5710009	5510009	1
5720007	5520007	1
5720008	5520008	1
5720009	5520009	1
5740007	5540007	1
5740008	5540008	1
5740009	5540009	1
5730030	5530030	1
5730017	5530017	1
5730019	5530019	1
5730008	5530008	1
5730007	5530007	1
5710010	5510010	1
5710011	5510011	1
5710012	5510012	1
5720010	5520010	1
5720011	5520011	1
5720012	5520012	1
5740010	5540010	1
5740011	5540011	1
5740012	5540012	1
5730002	5530002	1
5730016	5530016	1
5730018	5530018	1
5730010	5530010	1
5730009	5530009	1
5710013	5510013	1
5710014	5510014	1
5710015	5510015	1
5720013	5520013	1
5720014	5520014	1
5720015	5520015	1
5740013	5540013	1
5740014	5540014	1
5740015	5540015	1
5730003	5530003	1
5730022	5530022	1
5730020	5530020	1
5730013	5530013	1
5730011	5530011	1
5710016	5510016	1
5710017	5510017	1
5710018	5510018	1
5720016	5520016	1
5720017	5520017	1
5720018	5520018	1
5740016	5540016	1
5740017	5540017	1
5740018	5540018	1
5730021	5530021	1
5730023	5530023	1
5730024	5530024	1
5730012	5530012	1
5730025	5530025	1
