id	icon	rewardId	percentage	isTakeout	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	decr	decr_zh_TW	decr_en_UK	decr_ja_JP	decr_ko_KR	decr_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1001		3000003	1	0	1	推销高手	推銷高手	Master Salesman	セールスマスター	세일즈 고수	นักขายมือโปร	每售卖一份套餐，可额外获得_target_num_的套餐收益	每售賣一份套餐，可額外獲得_target_num_的套餐收益	Earn extra _target_num_ set menu income for each set sold.	セット販売時、_target_num_の追加収益がもらえる	한 세트 판매 시마다 _target_num_의 추가 세트 매출액 획득	ทุกครั้งที่ขายเซ็ตเมนู ​จะได้รับ​รายได้​จาก​เซ็ตเมนู​เพิ่มขึ้น​ _target_num_​
2001			1	0	1	亲切服务	親切服務	Friendly Service	最高のサービス	친절 서비스	บริการเป็นกันเอง	餐厅的好评数每分钟收益增加_target_num_	餐廳的好評數每分鐘收益增加_target_num_	Good ratings increase Cafe Income by _target_num_ per minute.	高評価をもらうと、1分あたりの収益＋_target_num_	카페테리아의 리뷰점수가 매 분 수익 _target_num_만큼 증가	จำนวน​รีวิว​ด้าน​ดี​ของ​คาเฟ่​จะ​ช่วย​เพิ่ม​รายได้​ต่อ​นาที​ขึ้น​ _target_num_​
2002			0	0	1	顾客至上	顧客至上	Customers Highest	顧客至上	고객이 최고	ลูกค้ามาก่อน	工作时，每分钟有_target_num_的几率可为餐厅收入_target_num_个好评点数	工作時，每分鐘有_target_num_的機率可為餐廳收入_target_num_個好評點數	_target_num_ chance to get _target_num_ Good Comment(s) per minute when the staff is working.	仕事中、1分ごとに_target_num_の確率で_target_num_個の高評価がもらえる	근무 시 매 1분마다 _target_num_의 확률로 카페테리아이 _target_num_개의 리뷰점수 획득	ขณะ​ทำงาน​ มีโอกาส​ _target_num_​ ต่อ​ทุก​นาที​ที่จะ​เพิ่ม​คะแนน​รีวิว​ด้าน​ดี​ให้​แก่​คาเฟ่​เป็น​จำนวน​ _target_num_​ คะแนน​
3001			0	0	1	人文关怀	人文關懷	Humanistic Care	合理的配慮	인간적인 관심과 배려	ความใส่ใจของมนุษย์	工作时，店员的每分钟心情值消耗减少_target_num_点	工作時，店員的每分鐘心情值消耗減少_target_num_點	When working, reduces staff's mood consumption per minute by _target_num_.	店員の1分ごとの気分値消費−_target_num_	근무 시 점원의 이모션 파워 소모가 매 분 _target_num_점 감소	ขณะ​ทำงาน​ ค่า​สภาพ​จิตใจ​ของ​พนักงาน​จะ​ลดน้อยลง​ _target_num_​ หน่วย​ต่อ​นาที​
4001			0	1	1	急速送达	急速送達	Speed Delivery	急速配達	퀵 서비스	จัดส่งเร่งด่วน	派送的外卖订单获得的_target_id_可额外获得_target_num_个	派送的外賣訂單獲得的_target_id_可額外獲得_target_num_個	Get extra _target_num_ _target_id_ item(s) from delivering orders.	出前で_target_id_を追加で_target_num_個獲得できる	배달 주문으로 획득한 _target_id_에서 추가로 _target_num_개 획득	การ​ส่ง​ออเดอร์​จะ​ได้รับ​ _target_id_​ เพิ่มเติม​อีก​ _target_num_​ หน่วย​
4002			1	1	1	巡风快递	巡風快遞	Wind Express	韋駄天配達	빠른 택배	ตระเวนส่งด่วน	派送的外卖订单获得的_target_id_额外增加_target_num_	派送的外賣訂單獲得的_target_id_額外增加_target_num_	Get extra _target_num_ _target_id_ item(s) from delivering orders.	出前で_target_id_を追加で_target_num_個獲得できる	배달 주문으로 획득한 _target_id_에서 추가로 _target_num_ 증가	การ​ส่ง​ออเดอร์​ได้รับ​ _target_id_​ เพิ่มขึ้น​อีก​ _target_num_​
5001		3000016		0	1	亲切服务	親切服務	Friendly Service	最高のサービス	친절 서비스	บริการเป็นกันเอง	每售卖一份套餐，有_target_num_的概率获得_target_num_个小费。	每售賣一份套餐，有_target_num_的機率獲得_target_num_個小費。	_target_num_ chance to earn _target_num_ tips for each set menu sold.	セット販売時、_target_num_の確率で_target_num_心付けがもらえる	한 세트 판매 시마다 _target_num_의 확률로 _target_num_개의 팁 획득	ทุกครั้งที่​ขาย​เซ็ต​เมนู​ จะ​มีโอกาส​ _target_num_​ ที่จะ​ได้รับ​ค่า​ทิป​ _target_num_​ หน่วย​
5101				0	1	优质服务	優質服務	Good Service	優秀なサービス	고품질 서비스	บริการดีเยี่ยม	每售卖一份套餐，可额外获得_target_num_个小费。	每售賣一份套餐，可額外獲得_target_num_個小費。	Earn extra _target_num_ tip(s) for each set menu sold.	セット販売時、追加で_target_num_心付けがもらえる	한 세트 판매 시마다 _target_num_개의 추가 팁 획득	ทุกครั้งที่​ขาย​เซ็ต​เมนู​ จะ​ได้รับ​ค่า​ทิป​เพิ่มเติม​ _target_num_​ หน่วย​
5002		3000003		0	1	顾客至上	顧客至上	Customers Highest	顧客至上	고객이 최고	ลูกค้ามาก่อน	每售卖一份套餐，有_target_num_的概率额外获得_target_num_的套餐收益	每售賣一份套餐，有_target_num_的機率額外獲得_target_num_的套餐收益	_target_num_ chance to earn extra _target_num_ set menu income for each set sold.	セット販売時、_target_num_の確率で_target_num_の追加収益がもらえる	한 세트 판매 시마다 _target_num_의 확률로 _target_num_의 추가 세트 매출액 획득	ทุกครั้งที่​ขาย​เซ็ต​เมนู​ จะ​มีโอกาส​ _target_num_​ ที่จะ​ได้รับ​รายได้​จาก​เซ็ต​เมนู​เพิ่มเติม​ _target_num_​
