id	icon	appearNum	group	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	decr	decr_zh_TW	decr_en_UK	decr_ja_JP	decr_ko_KR	decr_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1030701	18:npc_icon_307_1		10307	1	优宝妈妈	優寶媽媽	Yuu's Mother	優ちゃんの母親	유우의 어머니	แม่ของน้องยู	小优这孩子……就爱吃这些。	小優這孩子……就愛吃這些。	Yuu loves to eat these.	優ちゃんはこれが大好きなの。	유우는... 이런 걸 좋아해요.	ลูกยู...ชอบกินของพวกนี้
1030702	18:npc_icon_307_1	2	10307	1	优宝妈妈	優寶媽媽	Yuu's Mother	優ちゃんの母親	유우의 어머니	แม่ของน้องยู	好像是挺不错，孩子学习注意力都提高了。	好像是挺不錯，孩子學習注意力都提高了。	Seems pretty good, the child's concentration has improved.	効果はありそうだね。以前より勉強に集中できるようになったわ。	나쁘지 않네요, 우리 아이의 학습 집중력이 많이 올라왔어요.	เหมือน​จะ​ไม่​แย่​เลย​นะ​ ความสนใจ​ใน​การเรียนรู้​ของ​ลูก​ดีขึ้น​แล้ว​
1030703	18:npc_icon_307_1	4	10307	1	优宝妈妈	優寶媽媽	Yuu's Mother	優ちゃんの母親	유우의 어머니	แม่ของน้องยู	这回我也试试，多来点主食吧。	這回我也試試，多來點主食吧。	I'll give it a try as well. Please provide me with more main dishes.	私も試してみよう。今日は主食を多めに頼んじゃうかな。	이번엔 나도 좀 먹어봅시다. 메인요리 좀 많이 주세요.	คราวนี้​ฉัน​ลอง​บ้าง​ เอา​จาน​หลัก​มา​เยอะ​ๆ​ เลย​
1030704	18:npc_icon_307_1	6	10307	1	优宝妈妈	優寶媽媽	Yuu's Mother	優ちゃんの母親	유우의 어머니	แม่ของน้องยู	我看你们也不容易，都是不大的孩子，多注意身体啊。	我看你們也不容易，都是不大的孩子，多注意身體啊。	It's not easy for all of you. You're still young, so take care of your health.	大変そうだね。まだ若いのに、もっと健康に気を付けないと。	당신들도 쉽진 않을 거예요. 다들 어린 아이들이니, 건강에 더 신경 쓰세요.	ฉัน​ว่า​พวก​เธอ​ก็​ลำบาก​กัน​ไม่​น้อย​ ยัง​เด็ก​กัน​อยู่เลย​ ต้อง​ระมัดระวัง​สุขภาพ​ให้​มาก​ๆ​ นะ​
1030705	18:npc_icon_307_1	8	10307	1	优宝妈妈	優寶媽媽	Yuu's Mother	優ちゃんの母親	유우의 어머니	แม่ของน้องยู	要是这孩子以后像店长一样独当一面也就好了……最好手艺也像您！	要是這孩子以後像店長一樣獨當一面也就好了……最好手藝也像您！	I hope this child can grow up to be independent like you, Manager... It would be great if her skills were like yours too!	この子が将来店長さんのように一人前になれたらいいな…。	이 아이가 앞으로 점장님처럼 일인분만 할 수 있어도 좋을 텐데... 손맛도 당신을 닮았으면 좋겠어요!	ถ้า​เด็ก​คน​นี้​ในอนาคต​สามารถ​เก่ง​เหมือนกับ​ผู้จัดการ​ก็ดี​สิ​...​ขอให้​ฝีมือ​ทำอาหาร​เขา​เก่ง​เหมือน​คุณ​ที​เถอะ​!​
1030706	18:npc_icon_307_1	9	10307	1	优宝妈妈	優寶媽媽	Yuu's Mother	優ちゃんの母親	유우의 어머니	แม่ของน้องยู	为了多赚点钱，我已经很久没下厨了……我真的是个合格的妈妈吗？她会理解我吗？	為了多賺點錢，我已經很久沒下廚了……我真的是個合格的媽媽嗎？她會理解我嗎？	I haven't cooked in a long time just to earn some extra money... Am I really a qualified mother? Will she understand me?	仕事で忙しくて、前に料理したのはいつだったかしらね。私、本当に良いお母さんになれるかな？あの子は私を理解してくれるかな？	좀 더 많은 돈을 벌기 위해, 저는 오랫동안 주방에서 나오지 못했어요... 저는 정말 좋은 엄마일까요? 그 애가 저를 이해해 줄까요?	เพราะ​ต้อง​หาเงิน​ให้​มากขึ้น​ ฉัน​ก็​เลย​ไม่​ได้​เข้าครัว​มา​นาน​แล้ว​...​ ฉัน​เป็น​แม่​ที่​ดี​พอ​หรือเปล่า​นะ​?​ เธอ​จะ​เข้าใจ​ฉัน​ไหม​นะ​?​
1049901	18:npc_icon_499_1		10499	1	伊赫乌蒂	伊赫烏蒂	Yhoundeh	イホウンデー	이호운데	ยวนเดห์	好吃……店长，很厉害。	好吃……店長，很厲害。	Manager, I'm impressed. This tastes delicious.	美味しい…店長、すごい。	맛있다... 점장님, 정말 대단하시네요.	อร่อย​...​คุณ​ผู้จัดการ​ เก่ง​มาก​เลย​
1044601	18:npc_icon_446_1		10446	1	江威	江威	Lee	江威	강위	ลี	工作要紧，但也要注意身体。	工作要緊，但也要注意身體。	Work is important, but take care of your health too.	仕事は重要だが、体調管理も仕事のうちだぞ。	일은 열심히 하되, 건강 역시 조심해야 합니다.	งาน​นั้น​สำคัญ​ แต่​ก็​ต้อง​ดูแล​สุขภาพ​ด้วย​
1045401	18:npc_icon_454_1		10454	1	平安健康	平安健康	Stay Safe and Healthy	健康	건강 기원	ปลอดภัยแข็งแรง	最近的食品安全太成问题了，还是放心你们这边。	最近的食品安全太成問題了，還是放心你們這邊。	Food safety has been a major concern recently, so I feel relieved coming to your place.	最近の食品安全にめくる問題が多くて、やはりこの店の方が安心できる。	최근 먹거리 안전이 문제되고 있는데, 여기는 안전합니다.	ช่วงนี้​ความปลอดภัย​ของ​อาหาร​เป็นปัญหา​เหลือเกิน​ ฉัน​ยัง​ไว้ใจ​พวก​เธอ​นะ​
