id	type	area	areaLv	isMax	group	weight	foodNum	foodRandomAmount	foodGroup	rewardId	rewardNum	mood	time	npcGroup	npcGroupWeight	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	1	1	0	101	100	2;2	1;1	1,4;2	3000018;5300002;5010003	3;5;1	200	1	10307;10499;10446	50;100;100	1
10101	2	1	1	0	101	100	2;2	1;1	1,4;2	3000018;5300002;5010003	3;5;1	200	1	10307;10499;10446	50;100;100	1
1010101	3	1	1	0	101	100	2;2	1;1	1,4;2	3000018;5300002;5010003	3;5;1	200	1	10307;10499;10446	50;100;100	1
1010102	3	1	2	0	101	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	10307;10499;10446	50;100;100	1
1010103	3	1	3	0	101	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	10307;10499;10446	50;100;100	1
1010104	3	1	4	0	101	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	10307;10499;10446	50;100;100	1
1010105	3	1	5	0	101	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	10307;10499;10446	50;100;100	1
1010106	3	1	6	0	101	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	10307;10499;10446	50;100;100	1
1010204	3	1	4	0	102	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	10454;10590;10381	100;100;100	1
1010205	3	1	5	0	102	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	10454;10590;10381	100;100;100	1
1010206	3	1	6	0	102	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	10454;10590;10381	100;100;100	1
1110101	3	1	1	1	101	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	10307;10499;10446	50;100;100	1
1110102	3	1	2	1	101	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	10307;10499;10446	50;100;100	1
1110103	3	1	3	1	101	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	10307;10499;10446	50;100;100	1
1110104	3	1	4	1	101	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	10307;10499;10446	50;100;100	1
1110105	3	1	5	1	101	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	10307;10499;10446	50;100;100	1
1110106	3	1	6	1	101	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	10307;10499;10446	50;100;100	1
1110204	3	1	4	1	102	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	10454;10590;10381	100;100;100	1
1110205	3	1	5	1	102	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	10454;10590;10381	100;100;100	1
1110206	3	1	6	1	102	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	10454;10590;10381	100;100;100	1
