id	num	status
int	int	int
1	120	1
2	1	1
3	5	1
4	5	1
5	100	1
6	50	1
7	3000003	1
8	3	1
9	1	1
10	100	1
11	5	1
12	100	1
13	3000003	1
14	1000	1
15	60	1
16	2	1
17	1	1
18	2	1
19	4	1
20	1	1
21	4199006	1
22	30	1
23	320	1
24	3000002	1
25	5	1
26	10	1
27	4199008;4199009;4199010	1
28	0.3	1
29	3000016	1
30	99999999	1
31	3000015	1
32	100	1
33	0.45	1
34	0.1	1
35	0.45	1
36	0.2	1
37	0.3	1
38	5800101;5800102;5800103;5800104;5800105;5800106;5800107;5800108;5800109;5800110	1
39	1	1
40	600	1
41	3000002	1
42	10	1
43	4199001	1
44	300	1
45	5710001;5720001;5740004	1
47	101	1
48	5710001	1
49	5	1
50	10	1
51	10	1
52	5300019	1
53	1	1
54	3000016	1
55	50	1
56	5	1
57	1	1
58	3000003	1
59	1	1
60	68	1
61	61;100	1
62	31;60	1
63	0;30	1
64	100;199	1
65	200;239	1
66	240;270	1
67	100	1
68	3000002	1
69	5	1
