fishId	type	unlockType	unlockId	unlockNum	priceId	price	saleId	saleNum	status
int	int	int	int	int	int	int	int	int	int
8000111	1	25	0	102100			3000002	10	1
8000222	1	25	0	102100			3000002	10	1
8000422	1	25	0	102100			3000002	10	1
8000462	1	25	0	102100			3000002	10	1
8000161	1	25	0	102100			3000002	10	1
8000212	1	25	0	102161			3000002	10	1
8000221	1	25	0	102161			3000002	10	1
8000231	1	25	0	102161			3000002	10	1
8000242	1	25	0	102161			3000002	10	1
8000733	1	25	0	102161			3000002	10	1
8000312	1	4	0	105010			3000002	10	1
8000322	1	4	0	105010			3000002	10	1
8000331	1	4	0	105010			3000002	10	1
8000342	1	4	0	105010			3000002	10	1
8000663	1	4	0	105010			3000002	10	1
8000411	1	4	0	107010			3000002	10	1
8000412	1	4	0	107010			3000002	10	1
8000431	1	4	0	107010			3000002	10	1
8000442	1	4	0	107010			3000002	10	1
8000752	1	4	0	107010			3000002	10	1
8000512	1	4	0	109010			3000002	10	1
8000511	1	4	0	109010			3000002	10	1
8000522	1	4	0	109010			3000002	10	1
8000541	1	4	0	109010			3000002	10	1
8000551	1	4	0	109010			3000002	10	1
8000622	1	25	0	110113			3000002	10	1
8000621	1	25	0	110113			3000002	10	1
8000632	1	25	0	110113			3000002	10	1
8000641	1	25	0	110113			3000002	10	1
8000652	1	25	0	110113			3000002	10	1
