key	ids	status
string	string	int
480111	480111_411_2;480111_411_3;480111_411_4	1
480112	480112_411_2;480112_411_3;480112_411_4	1
480113	480113_411_2;480113_411_3;480113_411_4	1
480114	480114_411_2;480114_411_3;480114_411_4	1
480115	480115_411_2;480115_411_3;480115_411_4	1
480121	480121_412_2;480121_412_3;480121_412_4	1
480122	480122_412_2;480122_412_3;480122_412_4	1
480123	480123_412_2;480123_412_3;480123_412_4	1
480124	480124_412_2;480124_412_3;480124_412_4	1
480125	480125_412_2;480125_412_3;480125_412_4	1
480131	480131_413_2;480131_413_3;480131_413_4	1
480132	480132_413_2;480132_413_3;480132_413_4	1
480133	480133_413_2;480133_413_3;480133_413_4	1
480134	480134_413_2;480134_413_3;480134_413_4	1
480135	480135_413_2;480135_413_3;480135_413_4	1
480141	480141_414_2;480141_414_3;480141_414_4	1
480142	480142_414_2;480142_414_3;480142_414_4	1
480143	480143_414_2;480143_414_3;480143_414_4	1
480144	480144_414_2;480144_414_3;480144_414_4	1
480145	480145_414_2;480145_414_3;480145_414_4	1
480151	480151_415_2;480151_415_3;480151_415_4	1
480152	480152_415_2;480152_415_3;480152_415_4	1
480153	480153_415_2;480153_415_3;480153_415_4	1
480154	480154_415_2;480154_415_3;480154_415_4	1
480155	480155_415_2;480155_415_3;480155_415_4	1
480161	480161_416_2;480161_416_3;480161_416_4	1
480162	480162_416_2;480162_416_3;480162_416_4	1
480163	480163_416_2;480163_416_3;480163_416_4	1
480164	480164_416_2;480164_416_3;480164_416_4	1
480165	480165_416_2;480165_416_3;480165_416_4	1
480171	480171_417_2;480171_417_3;480171_417_4	1
480172	480172_417_2;480172_417_3;480172_417_4	1
480173	480173_417_2;480173_417_3;480173_417_4	1
480174	480174_417_2;480174_417_3;480174_417_4	1
480175	480175_417_2;480175_417_3;480175_417_4	1
480181	480181_418_2;480181_418_3;480181_418_4	1
480182	480182_418_2;480182_418_3;480182_418_4	1
480183	480183_418_2;480183_418_3;480183_418_4	1
480184	480184_418_2;480184_418_3;480184_418_4	1
480185	480185_418_2;480185_418_3;480185_418_4	1
480191	480191_419_2;480191_419_3;480191_419_4	1
480192	480192_419_2;480192_419_3;480192_419_4	1
480193	480193_419_2;480193_419_3;480193_419_4	1
480194	480194_419_2;480194_419_3;480194_419_4	1
480195	480195_419_2;480195_419_3;480195_419_4	1
480201	480201_420_2;480201_420_3;480201_420_4	1
480202	480202_420_2;480202_420_3;480202_420_4	1
480203	480203_420_2;480203_420_3;480203_420_4	1
480204	480204_420_2;480204_420_3;480204_420_4	1
480205	480205_420_2;480205_420_3;480205_420_4	1
480211	480211_421_2;480211_421_3;480211_421_4	1
480212	480212_421_2;480212_421_3;480212_421_4	1
480213	480213_421_2;480213_421_3;480213_421_4	1
480214	480214_421_2;480214_421_3;480214_421_4	1
480215	480215_421_2;480215_421_3;480215_421_4	1
480221	480221_422_2;480221_422_3;480221_422_4	1
480222	480222_422_2;480222_422_3;480222_422_4	1
480223	480223_422_2;480223_422_3;480223_422_4	1
480224	480224_422_2;480224_422_3;480224_422_4	1
480225	480225_422_2;480225_422_3;480225_422_4	1
480231	480231_423_2;480231_423_3;480231_423_4	1
480232	480232_423_2;480232_423_3;480232_423_4	1
480233	480233_423_2;480233_423_3;480233_423_4	1
480234	480234_423_2;480234_423_3;480234_423_4	1
480235	480235_423_2;480235_423_3;480235_423_4	1
480241	480241_424_2;480241_424_3;480241_424_4	1
480242	480242_424_2;480242_424_3;480242_424_4	1
480243	480243_424_2;480243_424_3;480243_424_4	1
480244	480244_424_2;480244_424_3;480244_424_4	1
480245	480245_424_2;480245_424_3;480245_424_4	1
480251	480251_425_2;480251_425_3;480251_425_4	1
480252	480252_425_2;480252_425_3;480252_425_4	1
480253	480253_425_2;480253_425_3;480253_425_4	1
480254	480254_425_2;480254_425_3;480254_425_4	1
480255	480255_425_2;480255_425_3;480255_425_4	1
480261	480261_426_2;480261_426_3;480261_426_4	1
480262	480262_426_2;480262_426_3;480262_426_4	1
480263	480263_426_2;480263_426_3;480263_426_4	1
480264	480264_426_2;480264_426_3;480264_426_4	1
480265	480265_426_2;480265_426_3;480265_426_4	1
480271	480271_427_2;480271_427_3;480271_427_4	1
480272	480272_427_2;480272_427_3;480272_427_4	1
480273	480273_427_2;480273_427_3;480273_427_4	1
480274	480274_427_2;480274_427_3;480274_427_4	1
480275	480275_427_2;480275_427_3;480275_427_4	1
480281	480281_428_2;480281_428_3;480281_428_4	1
480282	480282_428_2;480282_428_3;480282_428_4	1
480283	480283_428_2;480283_428_3;480283_428_4	1
480284	480284_428_2;480284_428_3;480284_428_4	1
480285	480285_428_2;480285_428_3;480285_428_4	1
480291	480291_429_2;480291_429_3;480291_429_4	1
480292	480292_429_2;480292_429_3;480292_429_4	1
480293	480293_429_2;480293_429_3;480293_429_4	1
480294	480294_429_2;480294_429_3;480294_429_4	1
480295	480295_429_2;480295_429_3;480295_429_4	1
480301	480301_430_2;480301_430_3;480301_430_4	1
480302	480302_430_2;480302_430_3;480302_430_4	1
480303	480303_430_2;480303_430_3;480303_430_4	1
480304	480304_430_2;480304_430_3;480304_430_4	1
480305	480305_430_2;480305_430_3;480305_430_4	1
