key	id	status
string	string	int
1_0_0	100	1
1_0_1	101	1
1_0_2	102	1
1_0_3	103	1
1_0_4	104	1
1_0_5	105	1
1_1_0	110	1
1_1_1	111	1
1_1_2	112	1
1_1_3	113	1
1_1_4	114	1
1_1_5	115	1
1_2_0	120	1
1_2_1	121	1
1_2_2	122	1
1_2_3	123	1
1_2_4	124	1
1_2_5	125	1
1_3_0	130	1
1_3_1	131	1
1_3_2	132	1
1_3_3	133	1
1_3_4	134	1
1_3_5	135	1
1_4_0	140	1
1_4_1	141	1
1_4_2	142	1
1_4_3	143	1
1_4_4	144	1
1_4_5	145	1
1_5_0	150	1
1_5_1	151	1
1_5_2	152	1
1_5_3	153	1
1_5_4	154	1
1_5_5	155	1
1_6_0	156	1
1_7_0	157	1
1_8_0	158	1
1_9_0	159	1
1_10_0	160	1
1_11_0	161	1
2_0_0	200	1
2_0_1	201	1
2_0_2	202	1
2_0_3	203	1
2_0_4	204	1
2_0_5	205	1
2_1_0	210	1
2_1_1	211	1
2_1_2	212	1
2_1_3	213	1
2_1_4	214	1
2_1_5	215	1
2_2_0	220	1
2_2_1	221	1
2_2_2	222	1
2_2_3	223	1
2_2_4	224	1
2_2_5	225	1
2_3_0	230	1
2_3_1	231	1
2_3_2	232	1
2_3_3	233	1
2_3_4	234	1
2_3_5	235	1
2_4_0	240	1
2_4_1	241	1
2_4_2	242	1
2_4_3	243	1
2_4_4	244	1
2_4_5	245	1
2_5_0	250	1
2_5_1	251	1
2_5_2	252	1
2_5_3	253	1
2_5_4	254	1
2_5_5	255	1
2_6_0	256	1
2_7_0	257	1
2_8_0	258	1
2_9_0	259	1
2_10_0	260	1
2_11_0	261	1
3_0_0	300	1
3_0_1	301	1
3_0_2	302	1
3_0_3	303	1
3_0_4	304	1
3_0_5	305	1
3_1_0	310	1
3_1_1	311	1
3_1_2	312	1
3_1_3	313	1
3_1_4	314	1
3_1_5	315	1
3_2_0	320	1
3_2_1	321	1
3_2_2	322	1
3_2_3	323	1
3_2_4	324	1
3_2_5	325	1
3_3_0	330	1
3_3_1	331	1
3_3_2	332	1
3_3_3	333	1
3_3_4	334	1
3_3_5	335	1
3_4_0	340	1
3_4_1	341	1
3_4_2	342	1
3_4_3	343	1
3_4_4	344	1
3_4_5	345	1
3_5_0	350	1
3_5_1	351	1
3_5_2	352	1
3_5_3	353	1
3_5_4	354	1
3_5_5	355	1
3_6_0	356	1
3_7_0	357	1
3_8_0	358	1
3_9_0	359	1
3_10_0	360	1
3_11_0	361	1
4_0_0	400	1
4_0_1	401	1
4_0_2	402	1
4_0_3	403	1
4_0_4	404	1
4_0_5	405	1
4_1_0	410	1
4_1_1	411	1
4_1_2	412	1
4_1_3	413	1
4_1_4	414	1
4_1_5	415	1
4_2_0	420	1
4_2_1	421	1
4_2_2	422	1
4_2_3	423	1
4_2_4	424	1
4_2_5	425	1
4_3_0	430	1
4_3_1	431	1
4_3_2	432	1
4_3_3	433	1
4_3_4	434	1
4_3_5	435	1
4_4_0	440	1
4_4_1	441	1
4_4_2	442	1
4_4_3	443	1
4_4_4	444	1
4_4_5	445	1
4_5_0	450	1
4_5_1	451	1
4_5_2	452	1
4_5_3	453	1
4_5_4	454	1
4_5_5	455	1
4_6_0	456	1
4_7_0	457	1
4_8_0	458	1
4_9_0	459	1
4_10_0	460	1
4_11_0	461	1
5_0_0	500	1
5_0_1	501	1
5_0_2	502	1
5_0_3	503	1
5_0_4	504	1
5_0_5	505	1
5_1_0	510	1
5_1_1	511	1
5_1_2	512	1
5_1_3	513	1
5_1_4	514	1
5_1_5	515	1
5_2_0	520	1
5_2_1	521	1
5_2_2	522	1
5_2_3	523	1
5_2_4	524	1
5_2_5	525	1
5_3_0	530	1
5_3_1	531	1
5_3_2	532	1
5_3_3	533	1
5_3_4	534	1
5_3_5	535	1
5_4_0	540	1
5_4_1	541	1
5_4_2	542	1
5_4_3	543	1
5_4_4	544	1
5_4_5	545	1
5_5_0	550	1
5_5_1	551	1
5_5_2	552	1
5_5_3	553	1
5_5_4	554	1
5_5_5	555	1
5_6_0	556	1
5_7_0	557	1
5_8_0	558	1
5_9_0	559	1
5_10_0	560	1
5_11_0	561	1
