id	purifyid	dec	attTypeId	quality	starterdown	starterup	weight	status
int	int	int	int	int	int	int	int	int
1010201	1001	攻击百分比	102	1	0.001	0.01	1500	1
1010202	1001	攻击百分比	102	2	0.011	0.02	3000	1
1020201	1001	防御百分比	202	1	0.0027	0.027	1500	1
1020202	1001	防御百分比	202	2	0.0297	0.054	3000	1
1030201	1001	生命百分比	302	1	0.0027	0.027	1500	1
1030202	1001	生命百分比	302	2	0.0297	0.054	3000	1
1040101	1001	幸运	401	1	0.0003	0.003	1500	1
1040102	1001	幸运	401	2	0.0033	0.006	3000	1
1060301	1001	暴击	603	1	0.0008	0.008	1500	1
1060302	1001	暴击	603	2	0.0088	0.016	3000	1
1070301	1001	暴伤	703	1	0.0012	0.012	1500	1
1070302	1001	暴伤	703	2	0.0132	0.024	3000	1
1080301	1001	暴击抵抗	803	1	0.0008	0.008	1500	1
1080302	1001	暴击抵抗	803	2	0.0088	0.016	3000	1
1090301	1001	暴伤抵抗	903	1	0.0012	0.012	1500	1
1090302	1001	暴伤抵抗	903	2	0.0132	0.024	3000	1
1120301	1001	穿透	1203	1	0.0006	0.006	1500	1
1120302	1001	穿透	1203	2	0.0066	0.012	3000	1
1130301	1001	忍耐	1303	1	0.00119	0.0119	1500	1
1130302	1001	忍耐	1303	2	0.01309	0.0238	3000	1
1160101	1001	造成治疗提升	1601	1	0.00108	0.0108	1500	1
1160102	1001	造成治疗提升	1601	2	0.01188	0.0216	3000	1
1210101	1001	造成护盾提升	2101	1	0.00108	0.0108	1500	1
1210102	1001	造成护盾提升	2101	2	0.01188	0.0216	3000	1
1160201	1001	受到治疗提升	1602	1	0.00108	0.0108	1500	1
1160202	1001	受到治疗提升	1602	2	0.01188	0.0216	3000	1
1210201	1001	受到护盾提升	2102	1	0.00108	0.0108	1500	1
1210202	1001	受到护盾提升	2102	2	0.01188	0.0216	3000	1
2010201	1002	攻击百分比	102	1	0.001	0.01	1500	1
2010202	1002	攻击百分比	102	2	0.011	0.02	3000	1
2010203	1002	攻击百分比	102	3	0.021	0.03	3000	1
2020201	1002	防御百分比	202	1	0.0027	0.027	1500	1
2020202	1002	防御百分比	202	2	0.0297	0.054	3000	1
2020203	1002	防御百分比	202	3	0.0567	0.081	3000	1
2030201	1002	生命百分比	302	1	0.0027	0.027	1500	1
2030202	1002	生命百分比	302	2	0.0297	0.054	3000	1
2030203	1002	生命百分比	302	3	0.0567	0.081	3000	1
2040101	1002	幸运	401	1	0.0003	0.003	1500	1
2040102	1002	幸运	401	2	0.0033	0.006	3000	1
2040103	1002	幸运	401	3	0.0063	0.009	3000	1
2060301	1002	暴击	603	1	0.0008	0.008	1500	1
2060302	1002	暴击	603	2	0.0088	0.016	3000	1
2060303	1002	暴击	603	3	0.0168	0.024	3000	1
2070301	1002	暴伤	703	1	0.0012	0.012	1500	1
2070302	1002	暴伤	703	2	0.0132	0.024	3000	1
2070303	1002	暴伤	703	3	0.0252	0.036	3000	1
2080301	1002	暴击抵抗	803	1	0.0008	0.008	1500	1
2080302	1002	暴击抵抗	803	2	0.0088	0.016	3000	1
2080303	1002	暴击抵抗	803	3	0.0168	0.024	3000	1
2090301	1002	暴伤抵抗	903	1	0.0012	0.012	1500	1
2090302	1002	暴伤抵抗	903	2	0.0132	0.024	3000	1
2090303	1002	暴伤抵抗	903	3	0.0252	0.036	3000	1
2120301	1002	穿透	1203	1	0.0006	0.006	1500	1
2120302	1002	穿透	1203	2	0.0066	0.012	3000	1
2120303	1002	穿透	1203	3	0.0126	0.018	3000	1
2130301	1002	忍耐	1303	1	0.00119	0.0119	1500	1
2130302	1002	忍耐	1303	2	0.01309	0.0238	3000	1
2130303	1002	忍耐	1303	3	0.02499	0.0357	3000	1
2160101	1002	造成治疗提升	1601	1	0.00108	0.0108	1500	1
2160102	1002	造成治疗提升	1601	2	0.01188	0.0216	3000	1
2160103	1002	造成治疗提升	1601	3	0.02268	0.0324	3000	1
2210101	1002	造成护盾提升	2101	1	0.00108	0.0108	1500	1
2210102	1002	造成护盾提升	2101	2	0.01188	0.0216	3000	1
2210103	1002	造成护盾提升	2101	3	0.02268	0.0324	3000	1
2160201	1002	受到治疗提升	1602	1	0.00108	0.0108	1500	1
2160202	1002	受到治疗提升	1602	2	0.01188	0.0216	3000	1
2160203	1002	受到治疗提升	1602	3	0.02268	0.0324	3000	1
2210201	1002	受到护盾提升	2102	1	0.00108	0.0108	1500	1
2210202	1002	受到护盾提升	2102	2	0.01188	0.0216	3000	1
2210203	1002	受到护盾提升	2102	3	0.02268	0.0324	3000	1
3010201	1003	攻击百分比	102	1	0.001	0.01	1500	1
3010202	1003	攻击百分比	102	2	0.011	0.02	3000	1
3010203	1003	攻击百分比	102	3	0.021	0.03	3000	1
3010204	1003	攻击百分比	102	4	0.031	0.05	2000	1
3020201	1003	防御百分比	202	1	0.0027	0.027	1500	1
