id	coreId	suitNum	attAddType	addNum	buffId	level	status
int	int	int	int	int	int	int	int
480111_411_2	480111	2	102	0.03			1
480111_411_3	480111	3	703	0.06			1
480111_411_4	480111	4			121102	1	1
480112_411_2	480112	2	102	0.04			1
480112_411_3	480112	3	703	0.08			1
480112_411_4	480112	4			121102	1	1
480113_411_2	480113	2	102	0.05			1
480113_411_3	480113	3	703	0.1			1
480113_411_4	480113	4			121102	2	1
480114_411_2	480114	2	102	0.07			1
480114_411_3	480114	3	703	0.14			1
480114_411_4	480114	4			121102	3	1
480115_411_2	480115	2	102	0.1			1
480115_411_3	480115	3	703	0.2			1
480115_411_4	480115	4			121102	4	1
480121_412_2	480121	2	102	0.03			1
480121_412_3	480121	3	603	0.03			1
480121_412_4	480121	4			121202;121203;121204	1;1;1	1
480122_412_2	480122	2	102	0.04			1
480122_412_3	480122	3	603	0.04			1
480122_412_4	480122	4			121202;121203;121204	1;1;1	1
480123_412_2	480123	2	102	0.05			1
480123_412_3	480123	3	603	0.05			1
480123_412_4	480123	4			121202;121203;121204	2;2;2	1
480124_412_2	480124	2	102	0.07			1
480124_412_3	480124	3	603	0.07			1
480124_412_4	480124	4			121202;121203;121204	3;3;3	1
480125_412_2	480125	2	102	0.1			1
480125_412_3	480125	3	603	0.1			1
480125_412_4	480125	4			121202;121203;121204	4;4;4	1
480131_413_2	480131	2	202	0.03			1
480131_413_3	480131	3	302	0.03			1
480131_413_4	480131	4			121302	1	1
480132_413_2	480132	2	202	0.04			1
480132_413_3	480132	3	302	0.04			1
480132_413_4	480132	4			121302	1	1
480133_413_2	480133	2	202	0.05			1
480133_413_3	480133	3	302	0.05			1
480133_413_4	480133	4			121302	2	1
480134_413_2	480134	2	202	0.07			1
480134_413_3	480134	3	302	0.07			1
480134_413_4	480134	4			121302	3	1
480135_413_2	480135	2	202	0.1			1
480135_413_3	480135	3	302	0.1			1
480135_413_4	480135	4			121302	4	1
480141_414_2	480141	2	102	0.03			1
480141_414_3	480141	3	603	0.03			1
480141_414_4	480141	4			121401	1	1
480142_414_2	480142	2	102	0.04			1
480142_414_3	480142	3	603	0.04			1
480142_414_4	480142	4			121401	1	1
480143_414_2	480143	2	102	0.05			1
480143_414_3	480143	3	603	0.05			1
480143_414_4	480143	4			121401	2	1
480144_414_2	480144	2	102	0.07			1
480144_414_3	480144	3	603	0.07			1
480144_414_4	480144	4			121401	3	1
480145_414_2	480145	2	102	0.1			1
480145_414_3	480145	3	603	0.1			1
480145_414_4	480145	4			121401	4	1
480151_415_2	480151	2	202	0.03			1
480151_415_3	480151	3	302	0.03			1
480151_415_4	480151	4			121502	1	1
480152_415_2	480152	2	202	0.04			1
480152_415_3	480152	3	302	0.04			1
480152_415_4	480152	4			121502	1	1
480153_415_2	480153	2	202	0.05			1
480153_415_3	480153	3	302	0.05			1
480153_415_4	480153	4			121502	2	1
480154_415_2	480154	2	202	0.07			1
480154_415_3	480154	3	302	0.07			1
480154_415_4	480154	4			121502	3	1
480155_415_2	480155	2	202	0.1			1
480155_415_3	480155	3	302	0.1			1
480155_415_4	480155	4			121502	4	1
480161_416_2	480161	2	102	0.03			1
480161_416_3	480161	3	603	0.03			1
480161_416_4	480161	4			121601;121603	1;1	1
480162_416_2	480162	2	102	0.04			1
480162_416_3	480162	3	603	0.04			1
480162_416_4	480162	4			121601;121603	1;1	1
480163_416_2	480163	2	102	0.05			1
480163_416_3	480163	3	603	0.05			1
480163_416_4	480163	4			121601;121603	2;2	1
480164_416_2	480164	2	102	0.07			1
480164_416_3	480164	3	603	0.07			1
480164_416_4	480164	4			121601;121603	3;3	1
480165_416_2	480165	2	102	0.1			1
480165_416_3	480165	3	603	0.1			1
480165_416_4	480165	4			121601;121603	4;4	1
480171_417_2	480171	2	102	0.03			1
480171_417_3	480171	3	603	0.03			1
480171_417_4	480171	4			121702;121703;121704;121705	1;1;1;1	1
480172_417_2	480172	2	102	0.04			1
480172_417_3	480172	3	603	0.04			1
480172_417_4	480172	4			121702;121703;121704;121705	1;1;1;1	1
480173_417_2	480173	2	102	0.05			1
480173_417_3	480173	3	603	0.05			1
480173_417_4	480173	4			121702;121703;121704;121705	2;2;2;2	1
480174_417_2	480174	2	102	0.07			1
480174_417_3	480174	3	603	0.07			1
480174_417_4	480174	4			121702;121703;121704;121705	3;3;3;3	1
480175_417_2	480175	2	102	0.1			1
480175_417_3	480175	3	603	0.1			1
480175_417_4	480175	4			121702;121703;121704;121705	4;4;4;4	1
480181_418_2	480181	2	202	0.03			1
480181_418_3	480181	3	2501	0.03			1
480181_418_4	480181	4			121802;121806	1;1	1
480182_418_2	480182	2	202	0.04			1
480182_418_3	480182	3	2501	0.04			1
480182_418_4	480182	4			121802;121806	1;1	1
480183_418_2	480183	2	202	0.05			1
480183_418_3	480183	3	2501	0.05			1
480183_418_4	480183	4			121802;121806	2;2	1
480184_418_2	480184	2	202	0.07			1
480184_418_3	480184	3	2501	0.07			1
480184_418_4	480184	4			121802;121806	3;3	1
480185_418_2	480185	2	202	0.1			1
480185_418_3	480185	3	2501	0.1			1
480185_418_4	480185	4			121802;121806	4;4	1
480191_419_2	480191	2	202	0.03			1
480191_419_3	480191	3	302	0.03			1
480191_419_4	480191	4			121901	1	1
480192_419_2	480192	2	202	0.04			1
480192_419_3	480192	3	302	0.04			1
480192_419_4	480192	4			121901	1	1
480193_419_2	480193	2	202	0.05			1
480193_419_3	480193	3	302	0.05			1
480193_419_4	480193	4			121901	2	1
480194_419_2	480194	2	202	0.07			1
480194_419_3	480194	3	302	0.07			1
480194_419_4	480194	4			121901	3	1
480195_419_2	480195	2	202	0.1			1
480195_419_3	480195	3	302	0.1			1
480195_419_4	480195	4			121901	4	1
480201_420_2	480201	2	102	0.03			1
480201_420_3	480201	3	703	0.06			1
480201_420_4	480201	4			122002	1	1
480202_420_2	480202	2	102	0.04			1
480202_420_3	480202	3	703	0.08			1
480202_420_4	480202	4			122002	1	1
480203_420_2	480203	2	102	0.05			1
480203_420_3	480203	3	703	0.1			1
480203_420_4	480203	4			122002	2	1
480204_420_2	480204	2	102	0.07			1
480204_420_3	480204	3	703	0.14			1
480204_420_4	480204	4			122002	3	1
480205_420_2	480205	2	102	0.1			1
480205_420_3	480205	3	703	0.2			1
480205_420_4	480205	4			122002	4	1
480211_421_2	480211	2	102	0.03			1
480211_421_3	480211	3	603	0.03			1
480211_421_4	480211	4			122106	1	1
480212_421_2	480212	2	102	0.04			1
480212_421_3	480212	3	603	0.04			1
480212_421_4	480212	4			122106	1	1
480213_421_2	480213	2	102	0.05			1
480213_421_3	480213	3	603	0.05			1
480213_421_4	480213	4			122106	2	1
480214_421_2	480214	2	102	0.07			1
480214_421_3	480214	3	603	0.07			1
480214_421_4	480214	4			122106	3	1
480215_421_2	480215	2	102	0.1			1
480215_421_3	480215	3	603	0.1			1
480215_421_4	480215	4			122106	4	1
480221_422_2	480221	2	202	0.03			1
480221_422_3	480221	3	2502	0.03			1
480221_422_4	480221	4			122203	1	1
480222_422_2	480222	2	202	0.04			1
480222_422_3	480222	3	2502	0.04			1
480222_422_4	480222	4			122203	1	1
480223_422_2	480223	2	202	0.05			1
480223_422_3	480223	3	2502	0.05			1
480223_422_4	480223	4			122203	2	1
480224_422_2	480224	2	202	0.07			1
480224_422_3	480224	3	2502	0.07			1
480224_422_4	480224	4			122203	3	1
480225_422_2	480225	2	202	0.1			1
480225_422_3	480225	3	2502	0.1			1
480225_422_4	480225	4			122203	4	1
480231_423_2	480231	2	102	0.03			1
480231_423_3	480231	3	401	24			1
480231_423_4	480231	4			122302	1	1
480232_423_2	480232	2	102	0.04			1
480232_423_3	480232	3	401	32			1
480232_423_4	480232	4			122302	1	1
480233_423_2	480233	2	102	0.05			1
480233_423_3	480233	3	401	40			1
480233_423_4	480233	4			122302	2	1
480234_423_2	480234	2	102	0.07			1
480234_423_3	480234	3	401	56			1
480234_423_4	480234	4			122302	3	1
480235_423_2	480235	2	102	0.1			1
480235_423_3	480235	3	401	80			1
480235_423_4	480235	4			122302	4	1
480241_424_2	480241	2	102	0.03			1
480241_424_3	480241	3	302	0.03			1
480241_424_4	480241	4			122402	1	1
480242_424_2	480242	2	102	0.04			1
480242_424_3	480242	3	302	0.04			1
480242_424_4	480242	4			122402	1	1
480243_424_2	480243	2	102	0.05			1
480243_424_3	480243	3	302	0.05			1
480243_424_4	480243	4			122402	2	1
480244_424_2	480244	2	102	0.07			1
480244_424_3	480244	3	302	0.07			1
480244_424_4	480244	4			122402	3	1
480245_424_2	480245	2	102	0.1			1
480245_424_3	480245	3	302	0.1			1
480245_424_4	480245	4			122402	4	1
480251_425_2	480251	2	102	0.03			1
480251_425_3	480251	3	603	0.03			1
480251_425_4	480251	4			122502;122503	1;1	1
480252_425_2	480252	2	102	0.04			1
480252_425_3	480252	3	603	0.04			1
480252_425_4	480252	4			122502;122503	1;1	1
480253_425_2	480253	2	102	0.05			1
480253_425_3	480253	3	603	0.05			1
480253_425_4	480253	4			122502;122503	2;2	1
480254_425_2	480254	2	102	0.07			1
480254_425_3	480254	3	603	0.07			1
480254_425_4	480254	4			122502;122503	3;3	1
480255_425_2	480255	2	102	0.1			1
480255_425_3	480255	3	603	0.1			1
