equipId	quality	equipPart	poolMain	poolsub	equipRefiningItem	equipRefiningNum	equipRefiningItemWay2	equipRefiningItemWay2Num	suitId	equipICon	equipIBigCon	isRandom	status	levelupType	type	equipName	equipName_zh_TW	equipName_en_UK	equipName_ja_JP	equipName_ko_KR	equipName_th_TH	equipDesc	equipDesc_zh_TW	equipDesc_en_UK	equipDesc_ja_JP	equipDesc_ko_KR	equipDesc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
4010411	1	1	1	1001	4100032;3000003	1;2000			104	7:goods_icon_4010411	7:goods_icon_4010411	1	1			暴击套-头饰	爆擊套-頭飾	Critical Set - Headpiece	会心装飾・頭部	크리티컬 세트 - 머리 장식	เซ็ตคริติคอล - ประดับหัว	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010412	1	2	2	1001	4100032;3000003	1;2000			104	7:goods_icon_4010412	7:goods_icon_4010412	1	1			暴击套-耳饰	爆擊套-耳飾	Critical Set - Earrings	会心装飾・耳	크리티컬 세트 - 귀 장식	เซ็ตคริติคอล - ต่างหู	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010413	1	3	3	1001	4100032;3000003	1;2000			104	7:goods_icon_4010413	7:goods_icon_4010413	1	1			暴击套-颈环	爆擊套-頸環	Critical Set - Necklace	会心装飾・首	크리티컬 세트 - 목걸이	เซ็ตคริติคอล - ปลอกคอ	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010414	1	4	4	1001	4100032;3000003	1;2000			104	7:goods_icon_4010414	7:goods_icon_4010414	1	1			暴击套-尾饰	爆擊套-尾飾	Critical Set - Tailpiece	会心装飾・尻尾	크리티컬 세트 - 꼬리 장식	เซ็ต​ค​ริ​ติ​คอ​ล​ -​ ประดับ​หาง​	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010415	1	5	5	1001	4100032;3000003	1;2000			104	7:goods_icon_4010415	7:goods_icon_4010415	1	1			暴击套-嘴套	爆擊套-嘴套	Critical Set - Mouthpiece	会心装飾・顔	크리티컬 세트 - 마스크	เซ็ตคริติคอล - ส่วนปาก	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010416	1	6	6	1001	4100032;3000003	1;2000			104	7:goods_icon_4010416	7:goods_icon_4010416	1	1			暴击套-爪饰	爆擊套-爪飾	Critical Set - Claws	会心装飾・爪	크리티컬 세트 - 장갑	เซ็ตคริติคอล - กรงเล็บ	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010421	2	1	1	1002	4100032;3000003	1;5000			104	7:goods_icon_4010421	7:goods_icon_4010421	1	1			暴击套-头饰	爆擊套-頭飾	Critical Set - Headpiece	会心装飾・頭部	크리티컬 세트 - 머리 장식	เซ็ตคริติคอล - ประดับหัว	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010422	2	2	2	1002	4100032;3000003	1;5000			104	7:goods_icon_4010422	7:goods_icon_4010422	1	1			暴击套-耳饰	爆擊套-耳飾	Critical Set - Earrings	会心装飾・耳	크리티컬 세트 - 귀 장식	เซ็ตคริติคอล - ต่างหู	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010423	2	3	3	1002	4100032;3000003	1;5000			104	7:goods_icon_4010423	7:goods_icon_4010423	1	1			暴击套-颈环	爆擊套-頸環	Critical Set - Necklace	会心装飾・首	크리티컬 세트 - 목걸이	เซ็ตคริติคอล - ปลอกคอ	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010424	2	4	4	1002	4100032;3000003	1;5000			104	7:goods_icon_4010424	7:goods_icon_4010424	1	1			暴击套-尾饰	爆擊套-尾飾	Critical Set - Tailpiece	会心装飾・尻尾	크리티컬 세트 - 꼬리 장식	เซ็ต​ค​ริ​ติ​คอ​ล​ -​ ประดับ​หาง​	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
