id	level	star	quality	upgradeItem	upgradeNum	upstarItem	upstarNum	successChance	recycleItem	recycleItemNum	SuperSuccessExtraItem	SuperSuccessExtraChance	SuperSuccessExtraNum	BigSuccessExtraItem	BigSuccessExtraChance	BigSuccessExtraNum	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
100	0	0	1					100;900;9000	4100011;4100011;4100011	3;2;1							1
101	1	0	1	4100011	1			100;900;9000	4100011;4100011;4100011	6;4;2							1
102	2	0	1	4100011	1			100;900;9000	4100011;4100011;4100011	9;6;3							1
103	3	0	1	4100011	1			100;900;9000	4100011;4100011;4100011	12;8;4							1
104	4	0	1	4100011	1			100;900;9000	4100011;4100011;4100011	15;10;5							1
105	5	0	1	4100011	1			100;900;9000	4100011;4100011;4100011	18;12;6							1
110	0	1	1			4100021;3000003	1;10000	100;900;9000	4100011;4100011;4100011	18;12;6							1
111	1	1	1	4100011	2			100;900;9000	4100011;4100011;4100011	24;16;8							1
112	2	1	1	4100011	2			100;900;9000	4100011;4100011;4100011	30;20;10							1
113	3	1	1	4100011	2			100;900;9000	4100011;4100011;4100011	36;24;12							1
114	4	1	1	4100011	2			100;900;9000	4100011;4100011;4100011	42;28;14							1
115	5	1	1	4100011	2			100;900;9000	4100011;4100011;4100011	48;32;16							1
120	0	2	1			4100021;3000003	1;10000	100;900;9000	4100011;4100011;4100011	48;32;16							1
121	1	2	1	4100011	3			100;900;9000	4100011;4100011;4100011	57;38;19							1
122	2	2	1	4100011	3			100;900;9000	4100011;4100011;4100011	66;44;22							1
123	3	2	1	4100011	3			100;900;9000	4100011;4100011;4100011	75;50;25							1
124	4	2	1	4100011	3			100;900;9000	4100011;4100011;4100011	84;56;28							1
125	5	2	1	4100011	3			100;900;9000	4100011;4100011;4100011	93;62;31							1
130	0	3	1			4100021;3000003	1;10000	100;900;9000	4100011;4100011;4100011	93;62;31							1
131	1	3	1	4100011	4			100;900;9000	4100011;4100011;4100011	105;70;35							1
132	2	3	1	4100011	4			100;900;9000	4100011;4100011;4100011	117;78;39							1
133	3	3	1	4100011	4			100;900;9000	4100011;4100011;4100011	129;86;43							1
134	4	3	1	4100011	4			100;900;9000	4100011;4100011;4100011	141;94;47							1
135	5	3	1	4100011	4			100;900;9000	4100011;4100011;4100011	153;102;51							1
140	0	4	1			4100021;3000003	1;10000	100;900;9000	4100011;4100011;4100011	153;102;51							1
141	1	4	1	4100011	5			100;900;9000	4100011;4100011;4100011	168;112;56							1
142	2	4	1	4100011	5			100;900;9000	4100011;4100011;4100011	183;122;61							1
143	3	4	1	4100011	5			100;900;9000	4100011;4100011;4100011	198;132;66							1
144	4	4	1	4100011	5			100;900;9000	4100011;4100011;4100011	213;142;71							1
145	5	4	1	4100011	5			100;900;9000	4100011;4100011;4100011	228;152;76							1
150	0	5	1			4100021;3000003	1;10000	100;900;9000	4100011;4100011;4100011	228;152;76							1
151	1	5	1	4100011	6			100;900;9000	4100011;4100011;4100011	246;164;82							1
152	2	5	1	4100011	6			100;900;9000	4100011;4100011;4100011	264;176;88							1
153	3	5	1	4100011	6			100;900;9000	4100011;4100011;4100011	282;188;94							1
154	4	5	1	4100011	6			100;900;9000	4100011;4100011;4100011	300;200;100							1
155	5	5	1	4100011	6			100;900;9000	4100011;4100011;4100011	318;212;106							1
156	0	6	1			4100021;3000003	1;10000	100;900;9000	4100011;4100011;4100011	318;212;106							1
157	0	7	1			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	318;212;106							1
158	0	8	1			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	318;212;106							1
159	0	9	1			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	318;212;106							1
160	0	10	1			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	318;212;106							1
161	0	11	1			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	318;212;106							1
200	0	0	2					100;900;9000	4100011;4100011;4100011	6;4;2							1
201	1	0	2	4100011	2			100;900;9000	4100011;4100011;4100011	12;8;4							1
202	2	0	2	4100011	2			100;900;9000	4100011;4100011;4100011	18;12;6							1
203	3	0	2	4100011	2			100;900;9000	4100011;4100011;4100011	24;16;8							1
204	4	0	2	4100011	2			100;900;9000	4100011;4100011;4100011	30;20;10							1
205	5	0	2	4100011	2			100;900;9000	4100011;4100011;4100011	36;24;12							1
210	0	1	2			4100022;3000003	1;20000	100;900;9000	4100011;4100011;4100011	36;24;12							1
211	1	1	2	4100011	4			100;900;9000	4100011;4100011;4100011	48;32;16							1
212	2	1	2	4100011	4			100;900;9000	4100011;4100011;4100011	60;40;20							1
213	3	1	2	4100011	4			100;900;9000	4100011;4100011;4100011	72;48;24							1
214	4	1	2	4100011	4			100;900;9000	4100011;4100011;4100011	84;56;28							1
215	5	1	2	4100011	4			100;900;9000	4100011;4100011;4100011	96;64;32							1
220	0	2	2			4100022;3000003	1;20000	100;900;9000	4100011;4100011;4100011	96;64;32							1
221	1	2	2	4100011	6			100;900;9000	4100011;4100011;4100011	114;76;38							1
222	2	2	2	4100011	6			100;900;9000	4100011;4100011;4100011	132;88;44							1
223	3	2	2	4100011	6			100;900;9000	4100011;4100011;4100011	150;100;50							1
224	4	2	2	4100011	6			100;900;9000	4100011;4100011;4100011	168;112;56							1
225	5	2	2	4100011	6			100;900;9000	4100011;4100011;4100011	186;124;62							1
230	0	3	2			4100022;3000003	1;20000	100;900;9000	4100011;4100011;4100011	186;124;62							1
231	1	3	2	4100011	8			100;900;9000	4100011;4100011;4100011	210;140;70							1
232	2	3	2	4100011	8			100;900;9000	4100011;4100011;4100011	234;156;78							1
233	3	3	2	4100011	8			100;900;9000	4100011;4100011;4100011	258;172;86							1
234	4	3	2	4100011	8			100;900;9000	4100011;4100011;4100011	282;188;94							1
235	5	3	2	4100011	8			100;900;9000	4100011;4100011;4100011	306;204;102							1
240	0	4	2			4100022;3000003	1;20000	100;900;9000	4100011;4100011;4100011	306;204;102							1
241	1	4	2	4100011	10			100;900;9000	4100011;4100011;4100011	336;224;112							1
242	2	4	2	4100011	10			100;900;9000	4100011;4100011;4100011	366;244;122							1
243	3	4	2	4100011	10			100;900;9000	4100011;4100011;4100011	396;264;132							1
244	4	4	2	4100011	10			100;900;9000	4100011;4100011;4100011	426;284;142							1
245	5	4	2	4100011	10			100;900;9000	4100011;4100011;4100011	456;304;152							1
250	0	5	2			4100022;3000003	1;20000	100;900;9000	4100011;4100011;4100011	456;304;152							1
251	1	5	2	4100011	12			100;900;9000	4100011;4100011;4100011	492;328;164							1
252	2	5	2	4100011	12			100;900;9000	4100011;4100011;4100011	528;352;176							1
253	3	5	2	4100011	12			100;900;9000	4100011;4100011;4100011	564;376;188							1
254	4	5	2	4100011	12			100;900;9000	4100011;4100011;4100011	600;400;200							1
255	5	5	2	4100011	12			100;900;9000	4100011;4100011;4100011	636;424;212							1
256	0	6	2			4100021;3000003	1;10000	100;900;9000	4100011;4100011;4100011	636;424;212							1
257	0	7	2			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	636;424;212							1
258	0	8	2			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	636;424;212							1
259	0	9	2			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	636;424;212							1
260	0	10	2			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	636;424;212							1
261	0	11	2			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	636;424;212							1
300	0	0	3					100;900;9000	4100011;4100011;4100011	9;6;3							1
301	1	0	3	4100011	3			100;900;9000	4100011;4100011;4100011	18;12;6							1
302	2	0	3	4100011	3			100;900;9000	4100011;4100011;4100011	27;18;9							1
303	3	0	3	4100011	3			100;900;9000	4100011;4100011;4100011	36;24;12							1
304	4	0	3	4100011	3			100;900;9000	4100011;4100011;4100011	45;30;15							1
305	5	0	3	4100011	3			100;900;9000	4100011;4100011;4100011	54;36;18							1
310	0	1	3			4100023;3000003	1;50000	100;900;9000	4100011;4100011;4100011	54;36;18							1
311	1	1	3	4100011	6			100;900;9000	4100011;4100011;4100011	72;48;24							1
312	2	1	3	4100011	6			100;900;9000	4100011;4100011;4100011	90;60;30							1
313	3	1	3	4100011	6			100;900;9000	4100011;4100011;4100011	108;72;36							1
314	4	1	3	4100011	6			100;900;9000	4100011;4100011;4100011	126;84;42							1
315	5	1	3	4100011	6			100;900;9000	4100011;4100011;4100011	144;96;48							1
320	0	2	3			4100023;3000003	1;50000	100;900;9000	4100011;4100011;4100011	144;96;48							1
321	1	2	3	4100011	9			100;900;9000	4100011;4100011;4100011	171;114;57							1
322	2	2	3	4100011	9			100;900;9000	4100011;4100011;4100011	198;132;66							1
323	3	2	3	4100011	9			100;900;9000	4100011;4100011;4100011	225;150;75							1
324	4	2	3	4100011	9			100;900;9000	4100011;4100011;4100011	252;168;84							1
325	5	2	3	4100011	9			100;900;9000	4100011;4100011;4100011	279;186;93							1
330	0	3	3			4100023;3000003	1;50000	100;900;9000	4100011;4100011;4100011	279;186;93							1
331	1	3	3	4100011	12			100;900;9000	4100011;4100011;4100011	315;210;105							1
332	2	3	3	4100011	12			100;900;9000	4100011;4100011;4100011	351;234;117							1
333	3	3	3	4100011	12			100;900;9000	4100011;4100011;4100011	387;258;129							1
334	4	3	3	4100011	12			100;900;9000	4100011;4100011;4100011	423;282;141							1
335	5	3	3	4100011	12			100;900;9000	4100011;4100011;4100011	459;306;153							1
340	0	4	3			4100023;3000003	1;50000	100;900;9000	4100011;4100011;4100011	459;306;153							1
341	1	4	3	4100011	15			100;900;9000	4100011;4100011;4100011	504;336;168							1
342	2	4	3	4100011	15			100;900;9000	4100011;4100011;4100011	549;366;183							1
343	3	4	3	4100011	15			100;900;9000	4100011;4100011;4100011	594;396;198							1
344	4	4	3	4100011	15			100;900;9000	4100011;4100011;4100011	639;426;213							1
345	5	4	3	4100011	15			100;900;9000	4100011;4100011;4100011	684;456;228							1
350	0	5	3			4100023;3000003	1;50000	100;900;9000	4100011;4100011;4100011	684;456;228							1
351	1	5	3	4100011	18			100;900;9000	4100011;4100011;4100011	738;492;246							1
352	2	5	3	4100011	18			100;900;9000	4100011;4100011;4100011	792;528;264							1
353	3	5	3	4100011	18			100;900;9000	4100011;4100011;4100011	846;564;282							1
354	4	5	3	4100011	18			100;900;9000	4100011;4100011;4100011	900;600;300							1
355	5	5	3	4100011	18			100;900;9000	4100011;4100011;4100011	954;636;318							1
356	0	6	3			4100021;3000003	1;10000	100;900;9000	4100011;4100011;4100011	954;636;318							1
357	0	7	3			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	954;636;318							1
358	0	8	3			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	954;636;318							1
359	0	9	3			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	954;636;318							1
360	0	10	3			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	954;636;318							1
361	0	11	3			4100011	7	100;900;9000	4100011|3000003;4100011|3000003;4100011|3000003	954;636;318							1
400	0	0	4					100;900;9000	4100011;4100011;4100011	12;8;4							1
401	1	0	4	4100011	4			100;900;9000	4100011;4100011;4100011	24;16;8							1
402	2	0	4	4100011	4			100;900;9000	4100011;4100011;4100011	36;24;12							1
403	3	0	4	4100011	4			100;900;9000	4100011;4100011;4100011	48;32;16							1
404	4	0	4	4100011	4			100;900;9000	4100011;4100011;4100011	60;40;20							1
405	5	0	4	4100011	4			100;900;9000	4100011;4100011;4100011	72;48;24							1
410	0	1	4			4100024;3000003	1;100000	100;900;9000	4100011;4100011;4100011	72;48;24							1
411	1	1	4	4100011	8			100;900;9000	4100011;4100011;4100011	96;64;32							1
412	2	1	4	4100011	8			100;900;9000	4100011;4100011;4100011	120;80;40							1
413	3	1	4	4100011	8			100;900;9000	4100011;4100011;4100011	144;96;48							1
414	4	1	4	4100011	8			100;900;9000	4100011;4100011;4100011	168;112;56							1
415	5	1	4	4100011	8			100;900;9000	4100011;4100011;4100011	192;128;64							1
420	0	2	4			4100024;3000003	1;100000	100;900;9000	4100011;4100011;4100011	192;128;64							1
421	1	2	4	4100011	12			100;900;9000	4100011;4100011;4100011	228;152;76							1
422	2	2	4	4100011	12			100;900;9000	4100011;4100011;4100011	264;176;88							1
423	3	2	4	4100011	12			100;900;9000	4100011;4100011;4100011	300;200;100							1
424	4	2	4	4100011	12			100;900;9000	4100011;4100011;4100011	336;224;112							1
425	5	2	4	4100011	12			100;900;9000	4100011;4100011;4100011	372;248;124							1
430	0	3	4			4100024;3000003	1;100000	100;900;9000	4100011;4100011;4100011	372;248;124							1
431	1	3	4	4100011	16			100;900;9000	4100011;4100011;4100011	420;280;140							1
432	2	3	4	4100011	16			100;900;9000	4100011;4100011;4100011	468;312;156							1
433	3	3	4	4100011	16			100;900;9000	4100011;4100011;4100011	516;344;172							1
434	4	3	4	4100011	16			100;900;9000	4100011;4100011;4100011	564;376;188							1
435	5	3	4	4100011	16			100;900;9000	4100011;4100011;4100011	612;408;204							1
440	0	4	4			4100024;3000003	1;100000	100;900;9000	4100011;4100011;4100011	612;408;204							1
441	1	4	4	4100011	20			100;900;9000	4100011;4100011;4100011	672;448;224							1
442	2	4	4	4100011	20			100;900;9000	4100011;4100011;4100011	732;488;244							1
443	3	4	4	4100011	20			100;900;9000	4100011;4100011;4100011	792;528;264							1
444	4	4	4	4100011	20			100;900;9000	4100011;4100011;4100011	852;568;284							1
445	5	4	4	4100011	20			100;900;9000	4100011;4100011;4100011	912;608;304							1
450	0	5	4			4100024;3000003	1;100000	100;900;9000	4100011;4100011;4100011	912;608;304							1
451	1	5	4	4100011	24			100;900;9000	4100011;4100011;4100011	984;656;328							1
452	2	5	4	4100011	24			100;900;9000	4100011;4100011;4100011	1056;704;352							1
453	3	5	4	4100011	24			100;900;9000	4100011;4100011;4100011	1128;752;376							1
454	4	5	4	4100011	24			100;900;9000	4100011;4100011;4100011	1200;800;400							1
455	5	5	4	4100011	24			100;900;9000	4100011;4100011;4100011	1272;848;424							1
456	0	6	4			4100021;3000003	1;10000	100;900;9000	4100011;4100011;4100011	1272;848;424							1
457	0	7	4			4100011	7	100;900;9000	4100011;4100011;4100011	1272;848;424							1
458	0	8	4			4100011	7	100;900;9000	4100011;4100011;4100011	1272;848;424							1
459	0	9	4			4100011	7	100;900;9000	4100011;4100011;4100011	1272;848;424							1
460	0	10	4			4100011	7	100;900;9000	4100011;4100011;4100011	1272;848;424							1
461	0	11	4			4100011	7	100;900;9000	4100011;4100011;4100011	1272;848;424							1
500	0	0	5					100;900;9000	4100011;4100011;4100011	15;10;5							1
501	1	0	5	4100011	5			100;900;9000	4100011;4100011;4100011	30;20;10							1
502	2	0	5	4100011	5			100;900;9000	4100011;4100011;4100011	45;30;15							1
503	3	0	5	4100011	5			100;900;9000	4100011;4100011;4100011	60;40;20							1
504	4	0	5	4100011	5			100;900;9000	4100011;4100011;4100011	75;50;25							1
505	5	0	5	4100011	5			100;900;9000	4100011;4100011;4100011	90;60;30							1
510	0	1	5			4100025;3000003	1;200000	100;900;9000	4100011;4100011;4100011	90;60;30							1
511	1	1	5	4100011	10			100;900;9000	4100011;4100011;4100011	120;80;40							1
512	2	1	5	4100011	10			100;900;9000	4100011;4100011;4100011	150;100;50							1
513	3	1	5	4100011	10			100;900;9000	4100011;4100011;4100011	180;120;60							1
514	4	1	5	4100011	10			100;900;9000	4100011;4100011;4100011	210;140;70							1
515	5	1	5	4100011	10			100;900;9000	4100011;4100011;4100011	240;160;80							1
520	0	2	5			4100025;3000003	1;200000	100;900;9000	4100011;4100011;4100011	240;160;80							1
521	1	2	5	4100011	15			100;900;9000	4100011;4100011;4100011	285;190;95							1
