id	StoryId	status	PlayerName	PlayerName_zh_TW	PlayerName_en_UK	PlayerName_ja_JP	PlayerName_ko_KR	PlayerName_th_TH	Content	Content_zh_TW	Content_en_UK	Content_ja_JP	Content_ko_KR	Content_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1001	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	朦胧感如潮水般褪去，身体终于挣脱虚无落回实处。	朦朧感如潮水般褪去，身體終於掙脫虛無落回實處。	The haze fades like a receding tide, and my body finally breaks free from the void, returning to reality.	頭の中にモヤは潮が引くように消えていき、身体はようやく虚無感から解き放たれ、現実に戻っていった。	몽롱함이 썰물처럼 밀려나가, 몸이 허무로부터 벗어나 현실로 돌아온다.	ความรู้สึก​มืดมัว​ค่อยๆ​ เลือนหาย​ไป​เหมือน​น้ำขึ้น​น้ำลง​ ในที่สุด​ร่างกาย​ก็​หลุดพ้น​จาก​ความว่างเปล่า​และ​กลับ​สู่​โลก​จริง​
102	1001	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	好像从一场深睡中醒来，眼前的一切不再是我所熟知的现实。	好像從一場深睡中醒來，眼前的一切不再是我所熟知的現實。	It's like waking up from a deep sleep, and everything around me isn't the world I know.	まるで深い眠りから覚めたかのように、目の前にあるのはもはや自分の知っている現実ではなかった。	마치 깊은 잠에서 깨어난 것처럼 눈앞에 펼쳐진 광경은 내가 아는 익숙한 현실이 아니었다.	เหมือน​ตื่น​จาก​การ​นอนหลับ​ลึก​ ทุกสิ่ง​ที่อยู่​เบื้องหน้า​กลับ​ไม่​ใช่​ความเป็นจริง​ที่​ฉัน​เคย​คุ้นเคย​
103	1001	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	我……发生了什么？	我……發生了什麼？	What... what happened?	何が……起きている？	나... 무슨 일이 있었던 거야?	นี่​มัน​...​ เกิด​อะไร​ขึ้นกับ​ฉัน​?​
104	1001	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	大脑仍处于混沌中，无法整理纷乱的思绪。	大腦仍處於混沌中，無法整理紛亂的思緒。	My brain's still muddled, unable to sort out my jumbled thoughts.	頭の中に霧がかかったように、思考を整理することさえできない。	머리는 혼돈에 휩싸여 도저히 어지러운 생각을 정리해 낼 수 없었다.	ใน​หัว​ยัง​คงอยู่​ใน​ความ​สับสน​ ไม่​สามารถ​จัดระเบียบ​ความคิด​ที่​ยุ่งเหยิง​ได้​
105	1001	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	……	……	...	……	...	...
106	1002	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	特莉丝？你怎么在这里？……你知道这是什么地方吗？	特莉絲？你怎麼在這裡？……你知道這是什麼地方嗎？	Triss? What are you doing here? Do you... Do you know where we are?	トリス？どうしてここに？……ここはどこかわかる？	트리스야? 네가 어떻게 여기에? ......넌 여기가 어딘지 알아?	ท​ริ​ส​?​ ทำไม​เธอ​ถึง​อยู่​ที่นี่​?​ ...​เธอ​รู้​ไหม​ว่า​นี่​มัน​ที่ไหน​?​
107	1002	1	？？	？？	??	？？	??	??	这里是你的梦境。	這裡是你的夢境。	This is your dreamscape.	ここはあなたの夢だ。	이 곳은 네 꿈속이야.	ที่นี่คือความฝันของเธอ
108	1002	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	这声音……很熟悉，但不是特莉丝……	這聲音……很熟悉，但不是特莉絲……	That voice... sounds familiar, but it's not Triss...	この声……聞き覚えがあるけど、トリスじゃない……	이 목소린... 많이 들어봤는데. 근데 트리스는 아니야.	เสียง​นี้​มัน​...​คุ้น​จัง​ แต่​ไม่​ใช่​ท​ริ​ส​...​
109	1002	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	是我，娜卡。	是我，娜卡。	It's me, Naka.	私、ナカだ。	나야, 나카.	ฉันคือ... นากะ
