id	activityId	questId	taskCon1	taskCon1Para	taskGroup1	taskCon2	taskCon2Para	taskGroup2	taskCon3	taskCon3Para	taskGroup3	limitRewardId	limitRewardNum	limitTime	rewardId	rewardNum	openType	openParameter	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1110101	1	12015010	3	80	1										9000047;3000002;3000003	500;50;20000			1	达到等级80级的【限制】参与怪谈并获得胜利	達到等級80級的【限制】參與怪談並獲得勝利	Conquer a Paranormal case with [Restriction] at Lv. 80.	怪異Lv.80に達した状態で、怪談調査に参加して勝利する	80레벨 [제한]에 도달하고, 괴담에 참여하여 전투에서 승리	บรรลุ​ [​เงื่อนไข​]​ ถึง​ Lv.80​ เข้าร่วม​เรื่อง​สยองขวัญ​และ​ได้รับ​ชัยชนะ​
1110102	1	12015010	3	150	1										9000047;3000002;3000003	600;50;25000			1	达到150级的【限制】参与怪谈并获得胜利	達到150級的【限制】參與怪談並獲得勝利	Conquer a Paranormal case with [Restriction] at Lv. 150.	怪異Lv.150に達した状態で、怪談調査に参加して勝利する	150레벨 [제한]에 도달하고, 괴담에 참여하여 전투에서 승리	บรรลุ​ [​เงื่อนไข​]​ ถึง​ Lv.150​ เข้าร่วม​เรื่อง​สยองขวัญ​และ​ได้รับ​ชัยชนะ​
1110103	1	12015010	3	220	1										9000047;3000002;3000003	700;50;30000			1	达到220级的【限制】参与怪谈并获得胜利	達到220級的【限制】參與怪談並獲得勝利	Conquer a Paranormal case with [Restriction] at Lv. 220.	怪異Lv.220に達した状態で、怪談調査に参加して勝利する	220레벨 [제한]에 도달하고, 괴담에 참여하여 전투에서 승리	บรรลุ​ [​เงื่อนไข​]​ ถึง​ Lv.220​ เข้าร่วม​เรื่อง​สยองขวัญ​และ​ได้รับ​ชัยชนะ​
1110104	1	12015010	1	2110101	1										9000047;3000002;3000003	800;50;35000			1	选择完整的限制集合【视线模糊】参与怪谈并获得战斗胜利	選擇完整的限制集合【視線模糊】參與怪談並獲得戰鬥勝利	Conquer a Paranormal case battle with the full [Obscured Vision] restriction combination selected.	「虚ろな目付き」のノードを一括選択した状態で、怪談調査に参加して勝利する	완전한 제한 모음인 [희미한 시야]를 선택하고, 괴담에 참여하여 전투에서 승리	เลือก​ชุด​เงื่อนไข​ [สายตาพร่ามัว]​ ให้​สมบูรณ์​ เข้าร่วม​เรื่อง​สยองขวัญ​และ​ชนะ​การต่อสู้​
1110105	1	12015010	1	2110101	1	3	250	1							9000047;3000002;3000003	900;50;40000			1	选择完整的限制集合【视线模糊】且达到250级的【限制】参与怪谈并获得胜利	選擇完整的限制集合【視線模糊】且達到250級的【限制】參與怪談並獲得勝利	Conquer a Paranormal case with the full [Obscured Vision] restriction combination selected, ensuring [Restriction] reaches Lv. 250.	「虚ろな目付き」のノードを一括選択し、怪異Lv.250に達した状態で、怪談調査に参加して勝利する	완전한 제한 모음인 [희미한 시야]를 선택하고, 250레벨 [제한]에 도달한 후, 괴담에 참여하여 전투에서 승리	เลือก​ชุด​เงื่อนไข​ [สายตาพร่ามัว]​ ให้​สมบูรณ์​ และ​บรรลุ​ [​เงื่อนไข​]​ ถึง​ Lv.250​ เข้าร่วม​เรื่อง​สยองขวัญ​และ​ได้รับ​ชัยชนะ​
1110106	1	12015010	1	2110101	1	3	300	1							9000047;3000002;3000003	1000;50;45000			1	选择完整的限制集合【视线模糊】且达到300级的【限制】参与怪谈并获得胜利	選擇完整的限制集合【視線模糊】且達到300級的【限制】參與怪談並獲得勝利	Conquer a Paranormal case with the full [Obscured Vision] restriction combination selected, ensuring [Restriction] reaches Lv. 300.	「虚ろな目付き」のノードを一括選択し、怪異Lv.300に達した状態で、怪談調査に参加して勝利する	완전한 제한 모음인 [희미한 시야]를 선택하고, 300레벨 [제한]에 도달한 후, 괴담에 참여하여 전투에서 승리	เลือก​ชุด​เงื่อนไข​ [สายตาพร่ามัว]​ ให้​สมบูรณ์​ และ​บรรลุ​ [​เงื่อนไข​]​ ถึง​ Lv.300​ เข้าร่วม​เรื่อง​สยองขวัญ​และ​ได้รับ​ชัยชนะ​
1110107	1	12015010	1	2110101	1	3	350	1							9000047;3000002;3000003	1100;50;50000			1	选择完整的限制集合【视线模糊】且达到350级的【限制】参与怪谈并获得胜利	選擇完整的限制集合【視線模糊】且達到350級的【限制】參與怪談並獲得勝利	Conquer a Paranormal case with the full [Obscured Vision] restriction combination selected, ensuring [Restriction] reaches Lv. 350.	「虚ろな目付き」のノードを一括選択し、怪異Lv.350に達した状態で、怪談調査に参加して勝利する	완전한 제한 모음인 [희미한 시야]를 선택하고, 350레벨 [제한]에 도달한 후, 괴담에 참여하여 전투에서 승리	เลือก​ชุด​เงื่อนไข​ [สายตาพร่ามัว]​ ให้​สมบูรณ์​ และ​บรรลุ​ [​เงื่อนไข​]​ ถึง​ Lv.350​ เข้าร่วม​เรื่อง​สยองขวัญ​และ​ได้รับ​ชัยชนะ​
1110108	1	12015010	1	2110101	1	3	400	1							9000047;3000002;3000003	1200;50;55000			1	选择完整的限制集合【视线模糊】且达到400级的【限制】参与怪谈并获得胜利	選擇完整的限制集合【視線模糊】且達到400級的【限制】參與怪談並獲得勝利	Conquer a Paranormal case with the full [Obscured Vision] restriction combination selected, ensuring [Restriction] reaches Lv. 400.	「虚ろな目付き」のノードを一括選択し、怪異Lv.400に達した状態で、怪談調査に参加して勝利する	완전한 제한 모음인 [희미한 시야]를 선택하고, 400레벨 [제한]에 도달한 후, 괴담에 참여하여 전투에서 승리	เลือก​ชุด​เงื่อนไข​ [สายตาพร่ามัว]​ ให้​สมบูรณ์​ และ​บรรลุ​ [​เงื่อนไข​]​ ถึง​ Lv.400​ เข้าร่วม​เรื่อง​สยองขวัญ​และ​ได้รับ​ชัยชนะ​
1110109	1	12015010	1	2110101	1	3	450	1							9000047;3000002;3000003	1300;50;60000			1	选择完整的限制集合【视线模糊】且达到450级的【限制】参与怪谈并获得胜利	選擇完整的限制集合【視線模糊】且達到450級的【限制】參與怪談並獲得勝利	Conquer a Paranormal case with the full [Obscured Vision] restriction combination selected, ensuring [Restriction] reaches Lv. 450.	「虚ろな目付き」のノードを一括選択し、怪異Lv.450に達した状態で、怪談調査に参加して勝利する	완전한 제한 모음인 [희미한 시야]를 선택하고, 450레벨 [제한]에 도달한 후, 괴담에 참여하여 전투에서 승리	เลือก​ชุด​เงื่อนไข​ [สายตาพร่ามัว]​ ให้​สมบูรณ์​ และ​บรรลุ​ [​เงื่อนไข​]​ ถึง​ Lv.450​ เข้าร่วม​เรื่อง​สยองขวัญ​และ​ได้รับ​ชัยชนะ​
