id	activityId	questId	unlockTask	extraScore	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int
2110101	1	12015010	0	10	1	视线模糊	視線模糊	Obscured Vision	 虚ろな目付き	희미한 시야	สายตาพร่ามัว
2110102	1	12015010	0	10	1	拥挤人潮	擁擠人潮	Teeming Throng	蟻集	붐비는 인파	ผู้คนแออัด
2110103	1	12015010	0	10	1	交通事故	交通事故	Traffic Accident	交通事故	교통사고	อุบัติเหตุจราจร
2110104	1	12015010	0	10	1	信号明灭	信號明滅	Flickering Light	点滅信号	깜빡이는 신호	สัญญาณกระพริบ
2110105	1	12015010	0	10	1	逆行路线	逆行路線	Reverse Route	逆走路	역주행 노선	เส้นทางย้อนกลับ
2110201	1	12015011	0	10	1	诡异的声响	詭異的聲響	Chilling Echoes	怪音	기괴한 소리	เสียงแปลกประหลาด
2110202	1	12015011	0	10	1	暗处的目光	暗處的目光	Shadow's Gaze	暗がりの視線	어두운 눈빛	สายตาจากมุมมืด
2110203	1	12015011	0	10	1	身后的人影	身後的人影	Shadow Behind	背後の人影	등 뒤의 사람	เงาคนด้านหลัง
2110301	1	12015012	0	10	1	裂痕	裂痕	Rift	亀裂	벌어진 상처	รอยร้าว
2110302	1	12015012	0	10	1	血印	血印	Blood Seal	血痕	혈흔	รอยเลือด
2110303	1	12015012	0	10	1	眼球	眼球	Oculus	目玉	안구	ดวงตา
2110401	1	12015013	0	10	1	欢愉	歡愉	Elation	快楽	환호	ความรื่นเริง
2110402	1	12015013	0	10	1	无眠	無眠	Insomnia	不寝	불면	ขอบตาดำ
2110403	1	12015013	0	10	1	游行	遊行	Procession	パレード	데모	ขบวนพาเหรด
2110501	1	12015014	0	10	1	歌者的呜咽	歌者的嗚咽	Singer's Wail	歌手の嗚咽	가수의 오열	เสียงสะอื้นของผู้ขับร้อง
2110502	1	12015014	0	10	1	管风琴的梦	管風琴的夢	Organ's Dream	パイプオルガンの夢	파이프 오르간의 꿈	ความฝันของออร์แกน
2110503	1	12015014	0	10	1	未完的剧目	未完的劇碼	Unfinished Play	未完成の演目	끝나지 않은 극	บทละครที่ยังไม่จบ
2110601	1	12015015	0	10	1	海市蜃楼	海市蜃樓	Mirage	蜃気楼	신기루	เมืองมายาแห่งทะเล
2110602	1	12015015	0	10	1	海浪折射	海浪折射	Refraction Tide	波の屈折	파도의 굴절	คลื่นทะเลสะท้อนแสง
2110603	1	12015015	0	10	1	潮汐引力	潮汐引力	Tidal Force	潮汐力	조수 간만의 인력	แรงดึงดูดแห่งกระแสน้ำ
2110701	1	12015016	0	10	1	昼夜颠倒	晝夜顛倒	Temporal Inversion	昼夜逆転	낮밤 바뀜	วัฏจักรวันคืนพลิกผัน
2110702	1	12015016	0	10	1	多层坠落	多層墜落	Endless Plunge	フォーリング・ディープ	고층 추락	ร่วงหล่นหลายชั้น
2110703	1	12015016	0	10	1	管中残肢	管中殘肢	Piped Remains	くだの中の四肢	잘라진 파이프	ชิ้นส่วนที่เหลืออยู่ในท่อ
2110801	1	12015017	0	10	1	滞空的木马	滯空的木馬	Levitating Trojan	空を飛ぶ木馬	하늘 위로 뜬 목마	ม้าหมุนไร้แรงโน้มถ่วง
2110802	1	12015017	0	10	1	水底的过山车	水底的過山車	Underwater Rollercoaster	水中ジェットコースター	물속의 롤러코스터	รถไฟเหาะทะเลลึก
2110803	1	12015017	0	10	1	永续的摩天轮	永續的摩天輪	Perpetual Ferris Wheel	回り続ける観覧車	영원히 도는 관람차	ชิงช้าสวรรค์นิรันดร์
2120101	2	12015020	0	10	1	视线模糊	視線模糊	Obscured Vision	 虚ろな目付き	희미한 시야	สายตาพร่ามัว
2120102	2	12015020	0	10	1	拥挤人潮	擁擠人潮	Teeming Throng	蟻集	붐비는 인파	ผู้คนแออัด
2120103	2	12015020	0	10	1	交通事故	交通事故	Traffic Accident	交通事故	교통사고	อุบัติเหตุจราจร
2120104	2	12015020	0	10	1	信号明灭	信號明滅	Flickering Light	点滅信号	깜빡이는 신호	สัญญาณกระพริบ
2120105	2	12015020	0	10	1	逆行路线	逆行路線	Reverse Route	逆走路	역주행 노선	เส้นทางย้อนกลับ
2120201	2	12015021	0	10	1	诡异的声响	詭異的聲響	Chilling Echoes	怪音	기괴한 소리	เสียงแปลกประหลาด
2120202	2	12015021	0	10	1	暗处的目光	暗處的目光	Shadow's Gaze	暗がりの視線	어두운 눈빛	สายตาจากมุมมืด
2120203	2	12015021	0	10	1	身后的人影	身後的人影	Shadow Behind	背後の人影	등 뒤의 사람	เงาคนด้านหลัง
2120301	2	12015022	0	10	1	裂痕	裂痕	Rift	亀裂	벌어진 상처	รอยร้าว
2120302	2	12015022	0	10	1	血印	血印	Blood Seal	血痕	혈흔	รอยเลือด
2120303	2	12015022	0	10	1	眼球	眼球	Oculus	目玉	안구	ดวงตา
2120401	2	12015023	0	10	1	欢愉	歡愉	Elation	快楽	환호	ความรื่นเริง
2120402	2	12015023	0	10	1	无眠	無眠	Insomnia	不寝	불면	ขอบตาดำ
2120403	2	12015023	0	10	1	游行	遊行	Procession	パレード	데모	ขบวนพาเหรด
2120501	2	12015024	0	10	1	歌者的呜咽	歌者的嗚咽	Singer's Wail	歌手の嗚咽	가수의 오열	เสียงสะอื้นของผู้ขับร้อง
2120502	2	12015024	0	10	1	管风琴的梦	管風琴的夢	Organ's Dream	パイプオルガンの夢	파이프 오르간의 꿈	ความฝันของออร์แกน
2120503	2	12015024	0	10	1	未完的剧目	未完的劇碼	Unfinished Play	未完成の演目	끝나지 않은 극	บทละครที่ยังไม่จบ
2120701	2	12015026	0	10	1	昼夜颠倒	晝夜顛倒	Temporal Inversion	昼夜逆転	낮밤 바뀜	วัฏจักรวันคืนพลิกผัน
2120702	2	12015026	0	10	1	多层坠落	多層墜落	Endless Plunge	フォーリング・ディープ	고층 추락	ร่วงหล่นหลายชั้น
2120703	2	12015026	0	10	1	管中残肢	管中殘肢	Piped Remains	くだの中の四肢	잘라진 파이프	ชิ้นส่วนที่เหลืออยู่ในท่อ
2130101	3	12015030	0	10	1	迷雾	迷霧	Mist	迷霧	안개 경계	หมอกลวง
2130102	3	12015030	0	10	1	缝隙	縫隙	Crack	割れ目	틈새	รอยแยก
2130103	3	12015030	0	10	1	巢穴	巢穴	Lair	巣窟	둥지	รังกบดาน
2130104	3	12015030	0	10	1	颓圮	頹圮	Desolation	頽廃	무너진 터	ล่มสลาย
2130105	3	12015030	0	10	1	污浊	污濁	Filth	汚濁	혼탁	เน่าเสีย
2130201	3	12015031	0	10	1	极速繁殖	極速繁殖	Rapid Reproduction	大量増殖	광속 번식	แพร่ขยายรวดเร็ว
2130202	3	12015031	0	10	1	无限藤蔓	無限藤蔓	Vines Unbound	無限蔓	무한 덩굴	เถาวัลย์ไร้ขอบเขต
2130203	3	12015031	0	10	1	生命根源	生命根源	Life Source	命の源	생명의 근원	ต้นกำเนิดชีวิต
2130301	3	12015032	0	10	1	神秘刻印	神秘刻印	Arcane Sigil	謎の刻印	신비한 각인	อักขระลึกลับ
