id	activityId	groupId	tagOr	tagClash	unlockTask	unlockTag	nextTag	tagScore	iconId	status	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
31101101	1	2110101			0	-1	31101105;31101106	10	183:astrict_prop_atk_11	1	敌方攻击力提升15%	敵方攻擊力提升15%	Increases enemies' ATK by 15%.	敵の攻撃力＋15%	적 공격력 +15%	ATK​ ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 15%​
31101102	1	2110101			0	-1	31101105;31101106	10	183:astrict_prop_criRate_11	1	敌方暴击率提升20%	敵方爆擊率提升20%	Increases enemies' CRIT Rate by 20%.	敵の会心率＋20%	적 크리티컬율 +20%	อัต​ราค​ริ​ติ​คอ​ล​ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 20%​
31101103	1	2110101			0	-1	31101107;31101108	10	183:astrict_prop_def_11	1	敌方防御力提升30%	敵方防禦力提升30%	Increases enemies' DEF by 30%.	敵の防御力＋30%	적 방어력 +30%	DEF​ ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 30%​
31101104	1	2110101			0	-1	31101107;31101108	10	183:astrict_prop_dur_11	1	敌方忍耐率提升20%	敵方忍耐率提升20%	Increases enemies' Endurance by 20%.	敵の忍耐率＋20%	적 인내율 +20%	อัตรา​อดทน​ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 20%​
31101105	1	2110101	110101		0	0	31101109;31101110	10	183:astrict_prop_criRateRes_11	1	敌方暴击抵抗提升20%	敵方爆擊抵抗提升20%	Increases enemies' CRIT RES by 20%.	敵の会心ダメージ回避率＋20%	적 크리티컬 저항 +20%	ศัตรู​ต้าน​ทา​นค​ริ​ติ​คอ​ล​เพิ่มขึ้น​ 20%​
31101106	1	2110101	110101		0	0	31101109;31101110	10	183:astrict_prop_crirDmgRes_11	1	敌方暴击伤害抵抗提升30%	敵方爆擊傷害抵抗提升30%	Increases enemies' CRIT DMG RES by 30%.	敵の会心ダメージ抵抗率＋30%	적 크리티컬 대미지 저항 +30%	ความต้านทาน​ดา​เม​จค​ริ​ติ​คอ​ล​ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 30%​
31101107	1	2110101	110102		0	0	31101111;31101112	10	183:astrict_prop_pen_11	1	敌方穿透率提升20%	敵方穿透率提升20%	Increases enemies' Armor PEN by 20%.	敵の貫通率＋20%	적 관통률 +20%	อัตรา​เจาะ​เกราะ​ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 20%​
31101108	1	2110101	110102		0	0	31101111;31101112	10	183:astrict_prop_crirDmg_11	1	敌方暴击伤害提升30%	敵方爆擊傷害提升30%	Increases enemies' CRIT DMG by 30%.	敵の会心ダメージ＋30%	적 크리티컬 대미지 +30%	ดา​เม​จค​ริ​ติ​คอ​ล​ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 30%​
31101109	1	2110101	110103		0	0	31101113	10	183:astrict_prop_reShi_11	1	敌方受到护盾提升30%	敵方受到護盾提升30%	Increases enemies' Shield Gained by 30%.	敵の被シールド耐久＋30%	적에게 적용되는 실드 +30%	โล่​ป้อง​กันที่​ฝ่าย​ศัตรู​ได้รับ​เพิ่มขึ้น​ 30%​
31101110	1	2110101	110103		0	0	31101113	10	183:astrict_prop_heal_11	1	敌方受到治疗提升30%	敵方受到治療提升30%	Increases enemies' Healing Received by 30%.	敵の被回復効果＋30%	적에게 적용되는 치유 +30%	เอฟเฟกต์​ฟื้นฟู​ที่​ฝ่าย​ศัตรู​ได้รับ​เพิ่มขึ้น​ 30%​
31101111	1	2110101	110104		0	0	31101113	10	183:astrict_prop_shi_12	1	我方战斗员造成护盾降低20%	我方戰鬥員造成護盾降低20%	Reduces allied Combatants' Shield Effect by 20%.	味方の与シールド耐久－20%	아군에게 적용되는 실드 -20%	โล่​ป้อง​กันที่​ตัวละคร​ฝ่าย​เรา​สร้าง​ขึ้น​ลดลง​ 20%​
