id	activityId	type	unlockTime	battleRules	proposalLevel	sceneId	rounds	petLineup	roleNun	roleRestrictions	repeatButton	powerRatioTeamID	normalFit	bossFit	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12015010	1	1	0	17	100000	10801	12	0	4	0	0	0			1	迷失的十字路口	迷失的十字路口	Lost Crossroads	彷徨の十字路	잃어버린 사거리	ทางแยกที่หายไป						
12015011	1	2	0	17	100000	13201	10	0	4	0	0	0	4;5;6	1;2;3	1	小巷残响	小巷殘響	Alley Echoes	残響のアリウェイ	골목의 잔상	เสียงสะท้อนในตรอกมืด						
12015012	1	2	172800	17	100000	12902	10	0	4	0	0	0	4;5;6	1;2;3	1	颠倒石像	顛倒石像	Inverted Statues	逆さまな石像	뒤집어진 석상	อาถรรพ์รูปปั้นกลับหัว						
12015013	1	2	345600	17	100000	11201	10	0	4	0	0	0	4;5;6	1;2;3	1	电玩狂欢	電玩狂歡	Arcade Carnival	ゲームカーニバル	게임기 카니발	มหกรรมเกมอาถรรพ์						
12015014	1	2	518400	17	100000	17401	10	0	4	0	0	0	4;5;6	1;2;3	1	剧院诡声	劇院詭聲	Haunted Theater	オペラ座の怪音	오페라 하우스의 괴성	เสียงหลอนในโรงละคร						
12015015	1	2	691200	17	100000	14602	10	0	4	0	0	0	4;5;6	1;2;3	1	海边幻影	海邊幻影	Seaside Illusion	海辺のファントム	해변의 그림자	เงาปริศนาริมทะเล						
12015016	1	2	864000	17	100000	15702	10	0	4	0	0	0	4;5;6	1;2;3	1	美术馆失窃	美術館失竊	Art Theft	盗まれた美術品	미술관 절도	การโจรกรรมในหอศิลป์						
12015017	1	2	1036800	17	100000	13002	10	0	4	0	0	0	4;5;6	1;2;3	1	无声游乐园	無聲遊樂園	Silent Wonderland	サイレントレジャーランド	소리 없는 놀이공원	สวนสนุกที่ไร้เสียง						
12015020	2	1	0	17	100000	10801	12	0	4	0	0	0			1	迷失的十字路口	迷失的十字路口	Lost Crossroads	彷徨の十字路	잃어버린 사거리	ทางแยกที่หายไป						
12015021	2	2	0	17	100000	13201	10	0	4	0	0	0	4;5;6	1;2;3	1	小巷残响	小巷殘響	Alley Echoes	残響のアリウェイ	골목의 잔상	เสียงสะท้อนในตรอกมืด						
12015022	2	2	172800	17	100000	12902	10	0	4	0	0	0	4;5;6	1;2;3	1	颠倒石像	顛倒石像	Inverted Statues	逆さまな石像	뒤집어진 석상	อาถรรพ์รูปปั้นกลับหัว						
12015023	2	2	345600	17	100000	11201	10	0	4	0	0	0	4;5;6	1;2;3	1	电玩狂欢	電玩狂歡	Arcade Carnival	ゲームカーニバル	게임기 카니발	มหกรรมเกมอาถรรพ์						
12015024	2	2	518400	17	100000	17401	10	0	4	0	0	0	4;5;6	1;2;3	1	剧院诡声	劇院詭聲	Haunted Theater	オペラ座の怪音	오페라 하우스의 괴성	เสียงหลอนในโรงละคร						
12015026	2	2	864000	17	100000	15702	10	0	4	0	0	0	4;5;6	1;2;3	1	美术馆失窃	美術館失竊	Art Theft	盗まれた美術品	미술관 절도	การโจรกรรมในหอศิลป์						
12015030	3	1	0	17	100000	18001	12	0	4	0	0	0			1	深渊之眼	深淵之眼	Abyssal Eye	深淵ノ眼	심연의 눈	เนตรห้วงลึก						
12015031	3	2	0	17	100000	16101	10	0	4	0	0	0	4;5;6	1;2;3	1	不死之物	不死之物	The Undead	不死物	불사의 존재	สิ่งอมตะ						
12015032	3	2	172800	17	100000	16502	10	0	4	0	0	0	4;5;6	1;2;3	1	林间废墟	林間廢墟	Ruins in the Woods	林間廃墟	숲속 폐허	ซากเมืองกลางป่า						
12015033	3	2	345600	17	100000	17801	10	0	4	0	0	0	4;5;6	1;2;3	1	消失之人	消失之人	The Vanished	消えた者	사라진 사람	คนที่หายไป						
12015034	3	2	518400	17	100000	17811	10	0	4	0	0	0	4;5;6	1;2;3	1	古墓深处	古墓深處	Tombheart	古墳の奥	고분 깊은 곳	ใจกลางสุสานโบราณ						
12015035	3	2	691200	17	100000	10901	10	0	4	0	0	0	4;5;6	1;2;3	1	竹林古楼	竹林古樓	Bamboo Manor	竹林楼閣	대숲 고루	หอโบราณในป่าไผ่						
12015036	3	2	864000	17	100000	18301	10	0	4	0	0	0	4;5;6	1;2;3	1	无风领域	無風領域	Calmwind Domain	風のない地	바람 없는 영역	แดนไร้ลม						
12015037	3	2	1036800	17	100000	11003	10	0	4	0	0	0	4;5;6	1;2;3	1	血色密林	血色密林	Crimson Grove	ブラディーフォーリスト	핏빛 밀림	ป่าทึบสีเลือด						
