id	activityId	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	100	1	6240002;3000003;3000002	1;400000;1000	90031	1	1-100名	1-100名	1-100	1〜100位	1~100위	อันดับ 1-100
2	1	1	10	2	3000003;3000002	300000;700	90032	1	前10%	前10%	Top 10%	上位10%	상위 10%	TOP 10%
3	1	11	50	2	3000003;3000002	200000;600	90033	1	前50%	前50%	Top 50%	上位50%	상위 50%	TOP 50%
4	1	51	100	2	3000003;3000002	100000;500	90034	1	未进前50%	未進前50%	Not in the top 50%	上位50%圏外	50%에 진입하지 못함	ยังไม่ติด TOP 50% 
5	3	1	100	1	6240005;3000003;3000002	1;400000;1000	90031	1	1-100名	1-100名	1-100	1〜100位	1~100위	อันดับ 1-100
6	3	1	10	2	3000003;3000002	300000;700	90032	1	前10%	前10%	Top 10%	上位10%	상위 10%	TOP 10%
7	3	11	50	2	3000003;3000002	200000;600	90033	1	前50%	前50%	Top 50%	上位50%	상위 50%	TOP 50%
8	3	51	100	2	3000003;3000002	100000;500	90034	1	未进前50%	未進前50%	Not in the top 50%	上位50%圏外	50%에 진입하지 못함	ยังไม่ติด TOP 50% 
9	2	1	100	1	6240002;3000003;3000002	1;400000;1000	90031	1	1-100名	1-100名	1-100	1〜100位	1~100위	อันดับ 1-100
10	2	1	10	2	3000003;3000002	300000;700	90032	1	前10%	前10%	Top 10%	上位10%	상위 10%	TOP 10%
11	2	11	50	2	3000003;3000002	200000;600	90033	1	前50%	前50%	Top 50%	上位50%	상위 50%	TOP 50%
12	2	51	100	2	3000003;3000002	100000;500	90034	1	未进前50%	未進前50%	Not in the top 50%	上位50%圏外	50%에 진입하지 못함	ยังไม่ติด TOP 50% 
