Id	Value
int	int
1afcbd0c9a6f146a	Kamu memiliki mata uang event yang cukup.
fea906f6afdd283c	Arah berubah.
4692484061368efb	Item habis terjual.
00d9c1574ca5a1cd	Klaim semua hadiah terbatas dari kotak misteri untuk membuka
c4496bf4dc6d09ac	Banner ini belum terbuka.
c5bdbf338bfc4c26	Tidak cukup _name_
cc97b08c5829e89e	Hadiah tersisa di kotak misteri tidak mencukupi.
5a4f10c2b30de818	Sisa: _num_
db66ef711f72f234	Stok tak terbatas
5ba75d3855a174e0	Event selesai.
5e232a858bbef113	Berakhir
6bfd314a3cb8ebff	Hadiah diklaim.
7d9a0c399fd34ba5	Hadiah belum tersedia.
94f0299e1ec1d332	Aktivitas tidak cukup.
4bf36b1237dad17b	Lakukan top-up apa saja untuk meningkatkan Hadiah Kotak Standar menjadi <color=#e71f55>_name_</color>. Lanjutkan sekarang?
54fff1ddf58c40d4	Deluxe Giftbox
b1aed6448739f0b6	Telah diklaim
e00e5870fae66ac2	Klaim
ff6a1bc1a261b7a6	Klaim setelah _time_.
236780ce7a19f207	Klaim pada _time_.
c8780cdc5d2be223	Misi Onboarding
d68067ad40041133	Tantangan Onboarding
00103633030cdd78	Onboard Bundle
a83aec9dcef392dc	Beginner's Perks
c276dcbe634741dd	Lebih Banyak Benefit
869b62aa702aecca	Pencapaian Pemula
64bcee142cdbf677	Tidak ada misi yang tersedia saat ini.
563c8caab4b26b50	Peringkat Perunggu
dc0bec84f5ecb159	Peringkat Perak
0dd34aeb2f2ee65a	Peringkat Emas
c7c65e2ecdc0b5fb	Tidak Tersedia Sekarang.
c0c977afa457972a	Hadiah diklaim
1531bbdb028b4cbe	Syarat untuk klaim belum terpenuhi.
04bb7b7f2892ea6f	Selesaikan misi di sebelah kanan untuk membuka Foto Pribadi
939e8a3cd460bfc7	Reset pada jam 5 pagi.
65fc3b899ea8747f	Item terkunci.
2aa3299c08a2765e	Saat ini tidak dapat diklaim.
a1f5acc2fac74a13	Pergi
037794e0bb6bac3c	Stok Hari ini:
890c6c6e27b68c25	Stok:
f7d3881924a99546	Selesai
819d7f58c5d0e19b	Tantangan belum dimulai.
4f56d23fe4ac28e6	Sisa waktu: _num_
d608bcabf2416833	Tidak cukup poin.
c2d7b6a7dd23d1d4	Tidak cukup percobaan tantangan.
8117e0e3786b414b	Capai _num_ poin
a4b39e42943ceba9	_name_ dibuka.
b9540d6b2252a177	Event tidak ada.
5db4a8381af27ac5	Apakah kamu yakin ingin mendukung _card_name_? Kamu tidak bisa mengubah pilihan selama event berlangsung.
1aa50aa0246839f8	Hadiah untuk Peringkat %s
b7e69ac635034754	Hadiah Final
3769be899f3e7ad1	Kamu sudah memilih karakter favorit
49a5899e4a25a532	Belum ada item
0fe9b96a9b62a84b	Tidak ada hadiah yang bisa diklaim.
00a873cf1db70744	Tidak dapat diklaim
6996d9b5e46d3d3f	Kondisi konflik dalam koleksi.
726757eee1701026	Setidaknya satu kondisi harus dipilih.
8ed4ac0470d5e567	Tidak dapat memilih semua, karena koleksi mencakup kondisi yang terkunci.
c85be1d1798f1c7c	Rekor Tertinggi: _num_
e974b255da47d1f9	Tahapan Permanent
ff80ae864034f722	Tahapan Bergilir
f5771d1e19ebfae8	Event belum dimulai.
7f9fe599c5bc993b	Selesaikan <color=#ff1baf>_desc_</color> Arsip Paranormal di event <color=#ff1baf>[_levelName_]</color>.
d6c9ef4a6cf0c0e4	Event belum dimulai.
48aa74e47138285c	Pilih kondisi sebelumnya terlebih dahulu.
071a29620787c43c	Event belum dimulai.
eeb6c2b1235d298c	Tersedia di _num_.
e7170fb195908932	Selesaikan cerita event _name_ untuk membuka.
90b081f46864637d	<size=30><color=#545454>_num1_</color></size>/_num2_
8acc381fcdcd79b2	This event is currently closed.
bd05df11974f1dbf	Event begins in: _time_
9bd2512938646449	Not yet challenged _name_.
