Id	Value
int	int
1afcbd0c9a6f146a	No need to exchange Event Currency.
fea906f6afdd283c	Direction changed.
4692484061368efb	Item sold out
00d9c1574ca5a1cd	Claim all limited rewards in current blind box to unlock
c5bdbf338bfc4c26	Insufficient _name_
cc97b08c5829e89e	Insufficient rewards in current blind box
5a4f10c2b30de818	Remaining: _num_
db66ef711f72f234	Unlimited
5ba75d3855a174e0	This event is end
5e232a858bbef113	Ended
6bfd314a3cb8ebff	Rewards claimed
7d9a0c399fd34ba5	Not available to claim
94f0299e1ec1d332	Insufficient Activity
4bf36b1237dad17b	Sure to purchase any amount and upgrade the common giftbox to <color=#e71f55>_name_</color>?
54fff1ddf58c40d4	Deluxe Giftbox
b1aed6448739f0b6	Claimed
e00e5870fae66ac2	Claim
ff6a1bc1a261b7a6	Available after _time_
236780ce7a19f207	Claim at _time_
f7d3881924a99546	Complete
819d7f58c5d0e19b	Challenge locked
4f56d23fe4ac28e6	Countdown _num_
d608bcabf2416833	Insufficient points
c2d7b6a7dd23d1d4	Insufficient challenges
8117e0e3786b414b	Points reach _num_
a4b39e42943ceba9	_name Unlock
b9540d6b2252a177	Event does not exist
5db4a8381af27ac5	Sure to support _card_name_? You're not able to change your choice during the event.
1aa50aa0246839f8	Ranking %s rewards
b7e69ac635034754	Final Victory Rewards
3769be899f3e7ad1	Select favorite character already
49a5899e4a25a532	No items
0fe9b96a9b62a84b	No rewards to claim
00a873cf1db70744	Cannot claim
6996d9b5e46d3d3f	Conflicting conditions in collection.
726757eee1701026	At least one condition must be selected.
8ed4ac0470d5e567	Can't select all, as your collection includes locked conditions.
c85be1d1798f1c7c	Record High  _num_
65fc3b899ea8747f	Item locked
e974b255da47d1f9	Featured Myths
ff80ae864034f722	Hot Myths
f5771d1e19ebfae8	Event not open
7f9fe599c5bc993b	Complete Myths Archive: <color=#ff1baf>_desc_</color> in Myths - <color=#ff1baf>_levelName_</color>
d6c9ef4a6cf0c0e4	The target event is not open yet
48aa74e47138285c	Select the previous Restriction first
071a29620787c43c	This event is not open yet
eeb6c2b1235d298c	Starts in _num_
e7170fb195908932	Complete _name_ to unlock
90b081f46864637d	<size=30><color=#545454>_num1_</color></size>/_num2_
a1f5acc2fac74a13	Go
3eaddf6b1d1f249d	Own:
c5ca98b711e44ecd	Clear the prerequisite stage "_name_" first.
