Id	Value
int	int
1afcbd0c9a6f146a	You have sufficient event currency.
fea906f6afdd283c	Direction changed.
4692484061368efb	Item sold out.
00d9c1574ca5a1cd	Claim all limited rewards from the mystery box to unlock
c4496bf4dc6d09ac	This banner is not yet unlocked.
c5bdbf338bfc4c26	Not enough _name_
cc97b08c5829e89e	Insufficient remaining rewards in the mystery box
5a4f10c2b30de818	Remaining: _num_
db66ef711f72f234	Infinite stock
5ba75d3855a174e0	Event concluded.
5e232a858bbef113	Ended
6bfd314a3cb8ebff	Rewards claimed.
7d9a0c399fd34ba5	Rewards not yet available.
94f0299e1ec1d332	Insufficient Activeness.
4bf36b1237dad17b	Make any top-up to upgrade the Standard Giftbox to the <color=#e71f55>_name_</color>. Proceed now?
54fff1ddf58c40d4	Deluxe Giftbox
b1aed6448739f0b6	Claimed
e00e5870fae66ac2	Claim
ff6a1bc1a261b7a6	Claim after _time_.
236780ce7a19f207	Claim at _time_.
c8780cdc5d2be223	Onboarding Mission
d68067ad40041133	Onboarding Challenge
00103633030cdd78	Onboard Bundle
a83aec9dcef392dc	Beginner's Perks
c276dcbe634741dd	More Perks
869b62aa702aecca	Onboarding Achv.
64bcee142cdbf677	No available missions for now.
563c8caab4b26b50	Copper Rankings
dc0bec84f5ecb159	Silver Rankings
0dd34aeb2f2ee65a	Gold Rankings
c7c65e2ecdc0b5fb	Unavailable now.
c0c977afa457972a	Rewards claimed
1531bbdb028b4cbe	Requirements for claiming not yet met.
04bb7b7f2892ea6f	Complete missions on the right to unlock Private Photos
939e8a3cd460bfc7	Resets at 5 AM.
65fc3b899ea8747f	Item locked.
2aa3299c08a2765e	Currently not claimable.
a1f5acc2fac74a13	Go
037794e0bb6bac3c	Stock Today:
890c6c6e27b68c25	Stock:
f7d3881924a99546	Complete
819d7f58c5d0e19b	Challenge not started.
4f56d23fe4ac28e6	Time left: _num_
d608bcabf2416833	Not enough points.
c2d7b6a7dd23d1d4	Not enough challenge attempts.
8117e0e3786b414b	Reach _num_ points
a4b39e42943ceba9	_name_ unlocked.
b9540d6b2252a177	Event does not exist.
5db4a8381af27ac5	Are you sure you want to support _card_name_? You won't be able to change your choice during the event.
