id	type	regionLevel	unlockNum	proposalLevel	SceneId	monsterShow	condition	conditionValue	rounds	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
201101	1	1	0	21000	12004				20	1	难度E	難度E	Difficulty E	難易度E	난이도 E	ความยาก E	定向作战-红	定向作戰-紅	Targeted Battle - Red	定向作戦・赤	고정 전투_레드	การต่อสู้​เฉพาะทาง​-​แดง​	定向作战-红	定向作戰-紅	Targeted Battle - Red	定向作戦・赤	고정 전투_레드	การต่อสู้​เฉพาะทาง​-​แดง​
201102	4	2	201101	20000	12004				20	1	难度D	難度D	Difficulty D	難易度D	난이도 D	ความยาก D	定向作战-红	定向作戰-紅	Targeted Battle - Red	定向作戦・赤	고정 전투_레드	การต่อสู้​เฉพาะทาง​-​แดง​	定向作战-红	定向作戰-紅	Targeted Battle - Red	定向作戦・赤	고정 전투_레드	การต่อสู้​เฉพาะทาง​-​แดง​
201103	4	3	201102	32000	12004				20	1	难度C	難度C	Difficulty C	難易度C	난이도 C	ความยาก C	定向作战-红	定向作戰-紅	Targeted Battle - Red	定向作戦・赤	고정 전투_레드	การต่อสู้​เฉพาะทาง​-​แดง​	定向作战-红	定向作戰-紅	Targeted Battle - Red	定向作戦・赤	고정 전투_레드	การต่อสู้​เฉพาะทาง​-​แดง​
201104	4	4	201103	60000	12004				20	1	难度B	難度B	Difficulty B	難易度B	난이도 B	ความยาก B	定向作战-红	定向作戰-紅	Targeted Battle - Red	定向作戦・赤	고정 전투_레드	การต่อสู้​เฉพาะทาง​-​แดง​	定向作战-红	定向作戰-紅	Targeted Battle - Red	定向作戦・赤	고정 전투_레드	การต่อสู้​เฉพาะทาง​-​แดง​
201105	4	5	201104	112000	12004				20	1	难度A	難度A	Difficulty A	難易度A	난이도 A	ความยาก A	定向作战-红	定向作戰-紅	Targeted Battle - Red	定向作戦・赤	고정 전투_레드	การต่อสู้​เฉพาะทาง​-​แดง​	定向作战-红	定向作戰-紅	Targeted Battle - Red	定向作戦・赤	고정 전투_레드	การต่อสู้​เฉพาะทาง​-​แดง​
201106	4	6	201105	176000	12004				20	1	难度S	難度S	Difficulty S	難易度S	난이도 S	ความยาก S	定向作战-红	定向作戰-紅	Targeted Battle - Red	定向作戦・赤	고정 전투_레드	การต่อสู้​เฉพาะทาง​-​แดง​	定向作战-红	定向作戰-紅	Targeted Battle - Red	定向作戦・赤	고정 전투_레드	การต่อสู้​เฉพาะทาง​-​แดง​
201201	2	1	0	21000	12002				20	1	难度E	難度E	Difficulty E	難易度E	난이도 E	ความยาก E	定向作战-绿	定向作戰-綠	Targeted Battle - Green	定向作戦・緑	고정 전투_그린	การต่อสู้​เฉพาะทาง​-​เขียว​	定向作战-绿	定向作戰-綠	Targeted Battle - Green	定向作戦・緑	고정 전투_그린	การต่อสู้​เฉพาะทาง​-​เขียว​
201202	4	2	201201	20000	12002				20	1	难度D	難度D	Difficulty D	難易度D	난이도 D	ความยาก D	定向作战-绿	定向作戰-綠	Targeted Battle - Green	定向作戦・緑	고정 전투_그린	การต่อสู้​เฉพาะทาง​-​เขียว​	定向作战-绿	定向作戰-綠	Targeted Battle - Green	定向作戦・緑	고정 전투_그린	การต่อสู้​เฉพาะทาง​-​เขียว​
201203	4	3	201202	32000	12002				20	1	难度C	難度C	Difficulty C	難易度C	난이도 C	ความยาก C	定向作战-绿	定向作戰-綠	Targeted Battle - Green	定向作戦・緑	고정 전투_그린	การต่อสู้​เฉพาะทาง​-​เขียว​	定向作战-绿	定向作戰-綠	Targeted Battle - Green	定向作戦・緑	고정 전투_그린	การต่อสู้​เฉพาะทาง​-​เขียว​
201204	4	4	201203	60000	12002				20	1	难度B	難度B	Difficulty B	難易度B	난이도 B	ความยาก B	定向作战-绿	定向作戰-綠	Targeted Battle - Green	定向作戦・緑	고정 전투_그린	การต่อสู้​เฉพาะทาง​-​เขียว​	定向作战-绿	定向作戰-綠	Targeted Battle - Green	定向作戦・緑	고정 전투_그린	การต่อสู้​เฉพาะทาง​-​เขียว​
201205	4	5	201204	112000	12002				20	1	难度A	難度A	Difficulty A	難易度A	난이도 A	ความยาก A	定向作战-绿	定向作戰-綠	Targeted Battle - Green	定向作戦・緑	고정 전투_그린	การต่อสู้​เฉพาะทาง​-​เขียว​	定向作战-绿	定向作戰-綠	Targeted Battle - Green	定向作戦・緑	고정 전투_그린	การต่อสู้​เฉพาะทาง​-​เขียว​
201206	4	6	201205	176000	12002				20	1	难度S	難度S	Difficulty S	難易度S	난이도 S	ความยาก S	定向作战-绿	定向作戰-綠	Targeted Battle - Green	定向作戦・緑	고정 전투_그린	การต่อสู้​เฉพาะทาง​-​เขียว​	定向作战-绿	定向作戰-綠	Targeted Battle - Green	定向作戦・緑	고정 전투_그린	การต่อสู้​เฉพาะทาง​-​เขียว​
201301	3	1	0	21000	12001				20	1	难度E	難度E	Difficulty E	難易度E	난이도 E	ความยาก E	定向作战-蓝	定向作戰-藍	Targeted Battle - Blue	定向作戦・青	고정 전투_블루	การต่อสู้​เฉพาะทาง​-​น้ำเงิน​	定向作战-蓝	定向作戰-藍	Targeted Battle - Blue	定向作戦・青	고정 전투_블루	การต่อสู้​เฉพาะทาง​-​น้ำเงิน​
201302	4	2	201301	20000	12001				20	1	难度D	難度D	Difficulty D	難易度D	난이도 D	ความยาก D	定向作战-蓝	定向作戰-藍	Targeted Battle - Blue	定向作戦・青	고정 전투_블루	การต่อสู้​เฉพาะทาง​-​น้ำเงิน​	定向作战-蓝	定向作戰-藍	Targeted Battle - Blue	定向作戦・青	고정 전투_블루	การต่อสู้​เฉพาะทาง​-​น้ำเงิน​
201303	4	3	201302	32000	12001				20	1	难度C	難度C	Difficulty C	難易度C	난이도 C	ความยาก C	定向作战-蓝	定向作戰-藍	Targeted Battle - Blue	定向作戦・青	고정 전투_블루	การต่อสู้​เฉพาะทาง​-​น้ำเงิน​	定向作战-蓝	定向作戰-藍	Targeted Battle - Blue	定向作戦・青	고정 전투_블루	การต่อสู้​เฉพาะทาง​-​น้ำเงิน​
201304	4	4	201303	60000	12001				20	1	难度B	難度B	Difficulty B	難易度B	난이도 B	ความยาก B	定向作战-蓝	定向作戰-藍	Targeted Battle - Blue	定向作戦・青	고정 전투_블루	การต่อสู้​เฉพาะทาง​-​น้ำเงิน​	定向作战-蓝	定向作戰-藍	Targeted Battle - Blue	定向作戦・青	고정 전투_블루	การต่อสู้​เฉพาะทาง​-​น้ำเงิน​
201305	4	5	201304	112000	12001				20	1	难度A	難度A	Difficulty A	難易度A	난이도 A	ความยาก A	定向作战-蓝	定向作戰-藍	Targeted Battle - Blue	定向作戦・青	고정 전투_블루	การต่อสู้​เฉพาะทาง​-​น้ำเงิน​	定向作战-蓝	定向作戰-藍	Targeted Battle - Blue	定向作戦・青	고정 전투_블루	การต่อสู้​เฉพาะทาง​-​น้ำเงิน​
201306	4	6	201305	176000	12001				20	1	难度S	難度S	Difficulty S	難易度S	난이도 S	ความยาก S	定向作战-蓝	定向作戰-藍	Targeted Battle - Blue	定向作戦・青	고정 전투_블루	การต่อสู้​เฉพาะทาง​-​น้ำเงิน​	定向作战-蓝	定向作戰-藍	Targeted Battle - Blue	定向作戦・青	고정 전투_블루	การต่อสู้​เฉพาะทาง​-​น้ำเงิน​
201401	4	1	0	12000	12005				20	1	难度E	難度E	Difficulty E	難易度E	난이도 E	ความยาก E	定向作战-光	定向作戰-光	Targeted Battle - Light	定向作戦・白	고정 전투_라이트	การต่อสู้​เฉพาะทาง​-​แสง​	定向作战-光	定向作戰-光	Targeted Battle - Light	定向作戦・白	고정 전투_라이트	การต่อสู้​เฉพาะทาง​-​แสง​
201402	4	2	201401	20000	12005				20	1	难度D	難度D	Difficulty D	難易度D	난이도 D	ความยาก D	定向作战-光	定向作戰-光	Targeted Battle - Light	定向作戦・白	고정 전투_라이트	การต่อสู้​เฉพาะทาง​-​แสง​	定向作战-光	定向作戰-光	Targeted Battle - Light	定向作戦・白	고정 전투_라이트	การต่อสู้​เฉพาะทาง​-​แสง​
201403	4	3	201402	32000	12005				20	1	难度C	難度C	Difficulty C	難易度C	난이도 C	ความยาก C	定向作战-光	定向作戰-光	Targeted Battle - Light	定向作戦・白	고정 전투_라이트	การต่อสู้​เฉพาะทาง​-​แสง​	定向作战-光	定向作戰-光	Targeted Battle - Light	定向作戦・白	고정 전투_라이트	การต่อสู้​เฉพาะทาง​-​แสง​
201404	4	4	201403	60000	12005				20	1	难度B	難度B	Difficulty B	難易度B	난이도 B	ความยาก B	定向作战-光	定向作戰-光	Targeted Battle - Light	定向作戦・白	고정 전투_라이트	การต่อสู้​เฉพาะทาง​-​แสง​	定向作战-光	定向作戰-光	Targeted Battle - Light	定向作戦・白	고정 전투_라이트	การต่อสู้​เฉพาะทาง​-​แสง​
201405	4	5	201404	112000	12005				20	1	难度A	難度A	Difficulty A	難易度A	난이도 A	ความยาก A	定向作战-光	定向作戰-光	Targeted Battle - Light	定向作戦・白	고정 전투_라이트	การต่อสู้​เฉพาะทาง​-​แสง​	定向作战-光	定向作戰-光	Targeted Battle - Light	定向作戦・白	고정 전투_라이트	การต่อสู้​เฉพาะทาง​-​แสง​
201406	4	6	201405	176000	12005				20	1	难度S	難度S	Difficulty S	難易度S	난이도 S	ความยาก S	定向作战-光	定向作戰-光	Targeted Battle - Light	定向作戦・白	고정 전투_라이트	การต่อสู้​เฉพาะทาง​-​แสง​	定向作战-光	定向作戰-光	Targeted Battle - Light	定向作戦・白	고정 전투_라이트	การต่อสู้​เฉพาะทาง​-​แสง​
201501	5	1	0	12000	12003				20	1	难度E	難度E	Difficulty E	難易度E	난이도 E	ความยาก E	定向作战-暗	定向作戰-暗	Targeted Battle - Dark	定向作戦・黒	고정 전투_다크	การต่อสู้เฉพาะทาง-มืด	定向作战-暗	定向作戰-暗	Targeted Battle - Dark	定向作戦・黒	고정 전투_다크	การต่อสู้เฉพาะทาง-มืด
201502	5	2	201501	20000	12003				20	1	难度D	難度D	Difficulty D	難易度D	난이도 D	ความยาก D	定向作战-暗	定向作戰-暗	Targeted Battle - Dark	定向作戦・黒	고정 전투_다크	การต่อสู้เฉพาะทาง-มืด	定向作战-暗	定向作戰-暗	Targeted Battle - Dark	定向作戦・黒	고정 전투_다크	การต่อสู้เฉพาะทาง-มืด
201503	5	3	201502	32000	12003				20	1	难度C	難度C	Difficulty C	難易度C	난이도 C	ความยาก C	定向作战-暗	定向作戰-暗	Targeted Battle - Dark	定向作戦・黒	고정 전투_다크	การต่อสู้เฉพาะทาง-มืด	定向作战-暗	定向作戰-暗	Targeted Battle - Dark	定向作戦・黒	고정 전투_다크	การต่อสู้เฉพาะทาง-มืด
201504	5	4	201503	60000	12003				20	1	难度B	難度B	Difficulty B	難易度B	난이도 B	ความยาก B	定向作战-暗	定向作戰-暗	Targeted Battle - Dark	定向作戦・黒	고정 전투_다크	การต่อสู้เฉพาะทาง-มืด	定向作战-暗	定向作戰-暗	Targeted Battle - Dark	定向作戦・黒	고정 전투_다크	การต่อสู้เฉพาะทาง-มืด
201505	5	5	201504	112000	12003				20	1	难度A	難度A	Difficulty A	難易度A	난이도 A	ความยาก A	定向作战-暗	定向作戰-暗	Targeted Battle - Dark	定向作戦・黒	고정 전투_다크	การต่อสู้เฉพาะทาง-มืด	定向作战-暗	定向作戰-暗	Targeted Battle - Dark	定向作戦・黒	고정 전투_다크	การต่อสู้เฉพาะทาง-มืด
201506	5	6	201505	176000	12003				20	1	难度S	難度S	Difficulty S	難易度S	난이도 S	ความยาก S	定向作战-暗	定向作戰-暗	Targeted Battle - Dark	定向作戦・黒	고정 전투_다크	การต่อสู้เฉพาะทาง-มืด	定向作战-暗	定向作戰-暗	Targeted Battle - Dark	定向作戦・黒	고정 전투_다크	การต่อสู้เฉพาะทาง-มืด
