id	type	pools	rewardType	reward	rewardNum	stock	weight	weight2	status
int	int	int	int	int	int	int	int	int	int
1	1	1001	1	6200181	1	1	100	0	1
2	1	1001	1	3000018	30	5	100	0	1
3	1	1001	1	4190001	100	5	100	0	1
4	1	1001	2	3000003	100000	10	100	0	1
5	1	1001	2	4105011	50	10	100	0	1
6	1	1001	2	4105012	50	10	100	0	1
7	1	1001	2	4105013	50	10	100	0	1
8	1	1001	2	4105023	30	10	100	0	1
9	1	1001	2	4102101	5	4	100	0	1
10	1	1001	2	4102201	5	4	100	0	1
11	1	1001	2	4102301	5	4	100	0	1
12	1	1001	2	4102031	1	5	100	0	1
13	1	1001	2	4199001	10	10	100	0	1
14	1	1001	2	4199002	1	5	100	0	1
15	1	1002	1	6200182	1	1	100	0	1
16	1	1002	1	4198002	10	5	100	0	1
17	1	1002	1	4190001	100	5	100	0	1
18	1	1002	2	3000003	150000	10	100	0	1
19	1	1002	2	4105011	50	10	100	0	1
20	1	1002	2	4105012	50	10	100	0	1
21	1	1002	2	4105013	50	10	100	0	1
22	1	1002	2	4105023	30	10	100	0	1
23	1	1002	2	4102101	5	4	100	0	1
24	1	1002	2	4102201	5	4	100	0	1
25	1	1002	2	4102301	5	4	100	0	1
26	1	1002	2	4102031	1	5	100	0	1
27	1	1002	2	4199001	10	10	100	0	1
28	1	1002	2	4199002	1	5	100	0	1
29	1	1003	1	6200183	1	1	100	0	1
30	1	1003	1	4190004	100	3	100	0	1
31	1	1003	1	4190001	100	5	100	0	1
32	1	1003	2	3000003	200000	10	100	0	1
33	1	1003	2	4105011	50	10	100	0	1
34	1	1003	2	4105012	50	10	100	0	1
35	1	1003	2	4105013	50	10	100	0	1
36	1	1003	2	4105023	30	10	100	0	1
37	1	1003	2	4102101	5	4	100	0	1
38	1	1003	2	4102201	5	4	100	0	1
39	1	1003	2	4102301	5	4	100	0	1
40	1	1003	2	4102031	1	5	100	0	1
41	1	1003	2	4199001	10	10	100	0	1
42	1	1003	2	4199002	1	5	100	0	1
43	1	1004	1	104013	1	1	100	0	1
44	1	1004	1	4190004	100	5	100	0	1
45	1	1004	1	4190001	100	5	100	0	1
46	1	1004	2	3000003	250000	10	100	0	1
47	1	1004	2	4105011	50	10	100	0	1
48	1	1004	2	4105012	50	10	100	0	1
49	1	1004	2	4105013	50	10	100	0	1
50	1	1004	2	4105023	30	10	100	0	1
51	1	1004	2	4102101	5	4	100	0	1
52	1	1004	2	4102201	5	4	100	0	1
53	1	1004	2	4102302	5	4	100	0	1
54	1	1004	2	4102031	1	5	100	0	1
55	1	1004	2	4199001	10	10	100	0	1
56	1	1004	2	4199002	1	5	100	0	1
57	1	1005	1	10401302	1	1	100	0	1
58	1	1005	1	4190004	100	12	100	0	1
59	1	1005	1	4100031	1	20	100	0	1
60	1	1005	1	4190001	100	15	100	0	1
61	1	1005	2	3000003	300000	-1	1000	0	1
62	1	1005	2	4105011	50	10	100	0	1
63	1	1005	2	4105012	50	10	100	0	1
64	1	1005	2	4105013	50	10	100	0	1
65	1	1005	2	4105023	30	10	100	0	1
66	1	1005	2	4102101	5	-1	400	0	1
67	1	1005	2	4102201	5	-1	400	0	1
68	1	1005	2	4102301	5	-1	400	0	1
69	1	1005	2	4102031	1	-1	500	0	1
70	1	1005	2	4199001	10	-1	1000	0	1
71	1	1005	2	4199002	1	-1	500	0	1
