id	type	attAddTypeId	attAddNum	descOther	icon	addSkillId	star	exSkillId	exStar	effLogic	effScene	effShow	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
61101008	2				11:gift_icon_63101008	110100801;110100803	1;1					1;3	1	加速轮滑	加速輪滑	Hyper Skates	加速度	스케이팅 가속	เสริมความเร็วสเก็ต	如果自身本回合没有受到攻击，下回合暴击率提升_#passive_passiveper_2_1_1_1_	如果自身本回合沒有受到攻擊，下回合爆擊率提升_#passive_passiveper_2_1_1_1_	If this Combatant has not been attacked this turn, increases CRIT Rate by _#passive_passiveper_2_1_1_1_ for the next turn.	そのターンで自身が攻撃を受けていない場合、次のターンの会心率＋_#passive_passiveper_2_1_1_1_	이번 턴에 미 피격 시, 다음 턴 공격 시 크리티컬율 +_#passive_passiveper_2_1_1_1_	หาก​ใน​เทิร์น​นี้​ไม่​ถูก​โจมตี​ อัต​ราค​ริ​ติ​คอ​ล​ใน​เทิร์น​ถัดไป​จะ​เพิ่มขึ้น​ _#passive_passiveper_2_1_1_1_​
62101008	2				11:gift_icon_63101008	110100801;110100803	2;2	110100801;110100803	1;1			1;3	1	加速轮滑	加速輪滑	Hyper Skates	加速度	스케이팅 가속	เสริมความเร็วสเก็ต	暴击率提升效果提升至_#passive_passiveper_2_1_1_1_	爆擊率提升效果提升至_#passive_passiveper_2_1_1_1_	Increases the CRIT Rate Boost effect to _#passive_passiveper_2_1_1_1_.	会心率アップ効果が_#passive_passiveper_2_1_1_1_に上昇する。	크리티컬율 +_#passive_passiveper_2_1_1_1_	เอฟเฟกต์​การ​เพิ่ม​อัต​ราค​ริ​ติ​คอ​ล​ จะ​เพิ่มขึ้น​เป็น​ _#passive_passiveper_2_1_1_1_​
63101008	2				11:gift_icon_63101008	110100801;110100803	3;3	110100801;110100803	2;2			1;3	1	加速轮滑	加速輪滑	Hyper Skates	加速度	스케이팅 가속	เสริมความเร็วสเก็ต	暴击率提升效果提升至_#passive_passiveper_2_1_1_1_	爆擊率提升效果提升至_#passive_passiveper_2_1_1_1_	Increases the CRIT Rate Boost effect to _#passive_passiveper_2_1_1_1_.	会心率アップ効果が_#passive_passiveper_2_1_1_1_に上昇する。	크리티컬율 +_#passive_passiveper_2_1_1_1_	เอฟเฟกต์​การ​เพิ่ม​อัต​ราค​ริ​ติ​คอ​ล​ จะ​เพิ่มขึ้น​เป็น​ _#passive_passiveper_2_1_1_1_​
64101008	2				11:gift_icon_63101008	110100801;110100803	4;4	110100801;110100803	3;3			1;3	1	加速轮滑	加速輪滑	Hyper Skates	加速度	스케이팅 가속	เสริมความเร็วสเก็ต	暴击率提升效果提升至_#passive_passiveper_2_1_1_1_	爆擊率提升效果提升至_#passive_passiveper_2_1_1_1_	Increases the CRIT Rate Boost effect to _#passive_passiveper_2_1_1_1_.	会心率アップ効果が_#passive_passiveper_2_1_1_1_に上昇する。	크리티컬율 +_#passive_passiveper_2_1_1_1_	เอฟเฟกต์​การ​เพิ่ม​อัต​ราค​ริ​ติ​คอ​ล​ จะ​เพิ่มขึ้น​เป็น​ _#passive_passiveper_2_1_1_1_​
65101008	2				11:gift_icon_63101008	110100801;110100803	5;5	110100801;110100803	4;4			1;3	1	加速轮滑	加速輪滑	Hyper Skates	加速度	스케이팅 가속	เสริมความเร็วสเก็ต	暴击率提升效果提升至_#passive_passiveper_2_1_1_1_	爆擊率提升效果提升至_#passive_passiveper_2_1_1_1_	Increases the CRIT Rate Boost effect to _#passive_passiveper_2_1_1_1_.	会心率アップ効果が_#passive_passiveper_2_1_1_1_に上昇する。	크리티컬율 +_#passive_passiveper_2_1_1_1_	เอฟเฟกต์​การ​เพิ่ม​อัต​ราค​ริ​ติ​คอ​ล​ จะ​เพิ่มขึ้น​เป็น​ _#passive_passiveper_2_1_1_1_​
66101008	2				11:gift_icon_63101008	110100801;110100803	6;6	110100801;110100803	5;5			1;3	1	加速轮滑	加速輪滑	Hyper Skates	加速度	스케이팅 가속	เสริมความเร็วสเก็ต	暴击率提升效果提升至_#passive_passiveper_2_1_1_1_	爆擊率提升效果提升至_#passive_passiveper_2_1_1_1_	Increases the CRIT Rate Boost effect to _#passive_passiveper_2_1_1_1_.	会心率アップ効果が_#passive_passiveper_2_1_1_1_に上昇する。	크리티컬율 +_#passive_passiveper_2_1_1_1_	เอฟเฟกต์​การ​เพิ่ม​อัต​ราค​ริ​ติ​คอ​ล​ จะ​เพิ่มขึ้น​เป็น​ _#passive_passiveper_2_1_1_1_​
67101008	2				11:gift_icon_63101008	110100801;110100803	7;7	110100801;110100803	6;6			1;3	1	加速轮滑	加速輪滑	Hyper Skates	加速度	스케이팅 가속	เสริมความเร็วสเก็ต	暴击率提升效果提升至_#passive_passiveper_2_1_1_1_	爆擊率提升效果提升至_#passive_passiveper_2_1_1_1_	Increases the CRIT Rate Boost effect to _#passive_passiveper_2_1_1_1_.	会心率アップ効果が_#passive_passiveper_2_1_1_1_に上昇する。	크리티컬율 +_#passive_passiveper_2_1_1_1_	เอฟเฟกต์​การ​เพิ่ม​อัต​ราค​ริ​ติ​คอ​ล​ จะ​เพิ่มขึ้น​เป็น​ _#passive_passiveper_2_1_1_1_​
61101011	2				11:gift_icon_63101011	110101101	1					1;3	1	进垒	進壘	Base Running	フォース	진루	เข้าฐาน	每有1点奥义能量，自身暴击率提升_#passive_passiveper_1_0_1_1_	每有1點奧義能量，自身爆擊率提升_#passive_passiveper_1_0_1_1_	Increases this Combatant's CRIT Rate by _#passive_passiveper_1_0_1_1_ for each SP they possess.	1点のSPごとに、自身の会心率＋_#passive_passiveper_1_0_1_1_	필살기 게이지 1pt 추가 시마다, 자체 크리티컬율 +_#passive_passiveper_1_0_1_1_	พลังงาน​อัล​ติ​เมท​ที่​มี​ทุก​ 1​ แต้ม​ อัต​ราค​ริ​ติ​คอ​ล​ของ​ตนเอง​จะ​เพิ่มขึ้น​ _#passive_passiveper_1_0_1_1_​
62101011	2				11:gift_icon_63101011	110101101	2	110101101	1			1;3	1	进垒	進壘	Base Running	フォース	진루	เข้าฐาน	暴击率提升效果提升至_#passive_passiveper_1_0_1_1_	爆擊率提升效果提升至_#passive_passiveper_1_0_1_1_	Increases the CRIT Rate Boost effect to _#passive_passiveper_1_0_1_1_.	会心率アップ効果が_#passive_passiveper_1_0_1_1_に上昇する。	크리티컬율 +_#passive_passiveper_1_0_1_1_	เอฟเฟกต์​การ​เพิ่ม​อัต​ราค​ริ​ติ​คอ​ล​เพิ่มขึ้น​เป็น​ _#passive_passiveper_1_0_1_1_​
