id	startDay	endDay	NextID	upType	upParam	upBuff	type	status
int	int	int	int	int	int	int	int	int
1	2022/01/24 05:00:00	2022/01/31 04:59:59	2	3	1	922001	1	1
2	2022/01/31 05:00:00	2022/02/07 04:59:59	3	2	3	922006	2	1
3	2022/02/07 05:00:00	2022/02/14 04:59:59	4	3	2	922002	3	1
4	2022/02/14 05:00:00	2022/02/21 04:59:59	5	2	2	922007	4	1
5	2022/02/21 05:00:00	2022/02/28 04:59:59	6	3	3	922003	5	1
6	2022/02/28 05:00:00	2022/03/07 04:59:59	7	2	4	922008	6	1
7	2022/03/07 05:00:00	2022/03/14 04:59:59	8	3	4	922005	1	1
8	2022/03/14 05:00:00	2022/03/21 04:59:59	9	2	1	922009	2	1
9	2022/03/21 05:00:00	2022/03/28 04:59:59	10	3	5	922004	3	1
10	2022/03/28 05:00:00	2022/04/04 04:59:59	11	3	1	922001	4	1
11	2022/04/04 05:00:00	2022/04/11 04:59:59	12	2	3	922006	5	1
12	2022/04/11 05:00:00	2022/04/18 04:59:59	13	3	2	922002	6	1
13	2022/04/18 05:00:00	2022/04/25 04:59:59	14	2	2	922007	1	1
14	2022/04/25 05:00:00	2022/05/02 04:59:59	15	3	3	922003	2	1
15	2022/05/02 05:00:00	2022/05/09 04:59:59	16	2	4	922008	3	1
16	2022/05/09 05:00:00	2022/05/16 04:59:59	17	3	4	922005	4	1
17	2022/05/16 05:00:00	2022/05/23 04:59:59	18	2	1	922009	5	1
18	2022/05/23 05:00:00	2022/05/30 04:59:59	19	3	5	922004	6	1
19	2022/05/30 05:00:00	2022/06/06 04:59:59	20	3	1	922001	1	1
20	2022/06/06 05:00:00	2022/06/13 04:59:59	21	2	3	922006	2	1
21	2022/06/13 05:00:00	2022/06/20 04:59:59	22	3	2	922002	3	1
22	2022/06/20 05:00:00	2022/06/27 04:59:59	23	3	1	922001	1	1
23	2022/06/27 05:00:00	2022/07/04 04:59:59	24	2	3	922006	2	1
24	2022/07/04 05:00:00	2022/07/11 04:59:59	25	3	2	922002	3	1
25	2022/07/11 05:00:00	2022/07/18 04:59:59	26	2	2	922007	4	1
26	2022/07/18 05:00:00	2022/07/25 04:59:59	27	3	1	922001	1	1
27	2022/07/25 05:00:00	2022/08/01 04:59:59	28	2	3	922006	2	1
28	2022/08/01 05:00:00	2022/08/08 04:59:59	29	3	2	922002	3	1
29	2022/08/08 05:00:00	2022/08/15 04:59:59	30	2	2	922007	4	1
30	2022/08/15 05:00:00	2022/08/22 04:59:59	31	3	3	922003	5	1
31	2022/08/22 05:00:00	2022/08/29 04:59:59	32	2	4	922008	6	1
32	2022/08/29 05:00:00	2022/09/05 04:59:59	33	3	4	922005	1	1
33	2022/09/05 05:00:00	2022/09/12 04:59:59	34	2	1	922009	2	1
34	2022/09/12 05:00:00	2022/09/19 04:59:59	35	3	5	922004	3	1
35	2022/09/19 05:00:00	2022/09/26 04:59:59	36	3	1	922001	4	1
36	2022/09/26 05:00:00	2022/10/03 04:59:59	37	2	3	922006	5	1
37	2022/10/03 05:00:00	2022/10/10 04:59:59	38	3	2	922002	6	1
38	2022/10/10 05:00:00	2022/10/17 04:59:59	39	2	2	922007	1	1
