Id	quality	buffId	rewardRatio	status
int	int	int	int	int
22001	2	22001	1.2	1
22002	3	22002	1.5	1
22003	4	22003	2	1
22011	2	22011	1.2	1
22012	3	22012	1.5	1
22013	4	22013	2	1
22021	2	22021	1.2	1
22022	3	22022	1.4	1
22023	4	22023	1.8	1
22031	2	22031	1.2	1
22032	3	22032	1.4	1
22033	4	22033	1.8	1
22041	2	22041	1.2	1
22042	3	22042	1.5	1
22043	4	22043	2	1
22051	2	22051	1.2	1
22052	3	22052	1.5	1
22053	4	22053	2	1
22061	2	22061	1.2	1
22062	3	22062	1.5	1
22063	4	22063	2	1
22071	2	22071	1.2	1
22072	3	22072	1.4	1
22073	4	22073	1.8	1
22081	2	22081	1.2	1
22082	3	22082	1.5	1
22083	4	22083	2	1
22091	2	22091	1.2	1
22092	3	22092	1.4	1
22093	4	22093	1.8	1
22101	2	22101	1.2	1
22102	3	22102	1.4	1
22103	4	22103	1.8	1
22111	2	22111	1.2	1
22112	3	22112	1.4	1
22113	4	22113	1.7	1
22121	2	22121	1.2	1
22122	3	22122	1.4	1
22123	4	22123	1.8	1
22131	2	22131	1.2	1
22132	3	22132	1.4	1
22133	4	22133	1.8	1
22141	2	22141	1.2	1
22142	3	22142	1.4	1
22143	4	22143	1.8	1
22151	2	22151	1.2	1
22152	3	22152	1.4	1
22153	4	22153	1.7	1
22161	2	22161	1.2	1
22162	3	22162	1.4	1
22163	4	22163	1.7	1
22171	2	22171	1.2	1
22172	3	22172	1.4	1
22173	4	22173	1.7	1
22181	2	22181	1.2	1
22182	3	22182	1.4	1
22183	4	22183	1.8	1
22191	2	22191	1.2	1
22192	3	22192	1.5	1
22193	4	22193	2	1
22201	2	22201	1.2	1
22202	3	22202	1.4	1
22203	4	22203	1.8	1
22211	2	22211	1.2	1
22212	3	22212	1.4	1
22213	4	22213	1.7	1
22221	2	22221	1.2	1
22222	3	22222	1.3	1
22223	4	22223		1
22231	2	22231	1.2	1
22232	3	22232	1.4	1
22233	4	22233	1.8	1
22241	2	22241		1
22242	3	22242	1.4	1
22243	4	22243	1.8	1
22251	2	22251	1.2	1
22252	3	22252	1.4	1
22253	4	22253	1.8	1
22261	2	22261	1.2	1
22262	3	22262	1.4	1
22263	4	22263	1.8	1
22271	2	22271	1.2	1
22272	3	22272	1.5	1
22273	4	22273	2	1
22281	2	22281	1.2	1
22282	3	22282	1.4	1
22283	4	22283	1.8	1
22291	2	22291	1	1
22292	3	22292	1.5	1
22293	4	22293	1	1
22301	2	22301	1.2	1
22302	3	22302	1.4	1
22303	4	22303	1.7	1
22311	2	22311	1.2	1
22312	3	22312	1.4	1
22313	4	22313	1.7	1
22321	2	22321	1.2	1
22322	3	22322	1.4	1
22323	4	22323	1.8	1
22331	2	22331	1.2	1
22332	3	22332	1.4	1
22333	4	22333	1.7	1
22341	2	22341	1.2	1
22342	3	22342	1.4	1
22343	4	22343	1.7	1
22351	2	22351	1.2	1
22352	3	22352	1.4	1
22353	4	22353	1.8	1
22354	4	22354	1.8	1
22355	3	22355	1.4	1
