type	id	status
string	string	int
101	221111,221112,221113,221114,221115	1
102	221121,221122,221123,221124,221125	1
103	221131,221132,221133,221134,221135	1
104	221141,221142,221143,221144,221145	1
105	221151,221152,221153,221154,221155	1
106	221161,221162,221163,221164,221165	1
201	221211,221212,221213,221214,221215	1
202	221221,221222,221223,221224,221225	1
203	221231,221232,221233,221234,221235	1
204	221241,221242,221243,221244,221245	1
205	221251,221252,221253,221254,221255	1
206	221261,221262,221263,221264,221265	1
301	221311,221312,221313,221314,221315	1
302	221321,221322,221323,221324,221325	1
303	221331,221332,221333,221334,221335	1
304	221341,221342,221343,221344,221345	1
305	221351,221352,221353,221354,221355	1
306	221361,221362,221363,221364,221365	1
401	221411,221412,221413,221414,221415	1
402	221421,221422,221423,221424,221425	1
403	221431,221432,221433,221434,221435	1
404	221441,221442,221443,221444,221445	1
405	221451,221452,221453,221454,221455	1
406	221461,221462,221463,221464,221465	1
501	221511,221512,221513,221514,221515	1
502	221521,221522,221523,221524,221525	1
503	221531,221532,221533,221534,221535	1
504	221541,221542,221543,221544,221545	1
505	221551,221552,221553,221554,221555	1
506	221561,221562,221563,221564,221565	1
601	221611,221612,221613,221614,221615	1
602	221621,221622,221623,221624,221625	1
603	221631,221632,221633,221634,221635	1
604	221641,221642,221643,221644,221645	1
605	221651,221652,221653,221654,221655	1
606	221661,221662,221663,221664,221665	1
