Id	quality	cehua	Icon	times	points	type	parameter	limit	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1		189:buff_icon_101	1	0	1	3		1	加点·Ⅰ	加點·Ⅰ	Bonus Points I	加点・Ⅰ	가점·Ⅰ	เพิ่มแต้ม · Ⅰ	后续1次投掷，上升层数为投掷点数+3	後續1次投擲，上升層數為投擲點數+3	Boosts the next roll by adding 3 to the dice result.	次にサイコロを振る時、「点数+3」マス前進する	다음 1회 던지기에서 올라가는 층수가 던진 점수 +3	การ​ทอย​ครั้ง​ถัดไป​ จะ​เพิ่มจำนวน​ชั้น​ขึ้น​ตาม​แต้ม​ที่​ทอย​ได้​ +3​
102	1		189:buff_icon_102	1	0	2	2		1	倍乘·Ⅰ	倍乘·Ⅰ	Multiplier I	倍増・Ⅰ	곱셈·Ⅰ	คูณแต้ม · Ⅰ	后续1次投掷，上升层数为投掷点数*2	後續1次投擲，上升層數為投擲點數*2	Doubles the dice result on the next roll.	次にサイコロを振る時、「点数×2」マス前進する	다음 1회 던지기에서 올라가는 층수가 던진 점수 *2	การ​ทอย​ครั้ง​ถัดไป​ จะ​เพิ่มจำนวน​ชั้น​ขึ้น​ตาม​แต้ม​ที่​ทอย​ได้​ x2​
103	1		189:buff_icon_103	1	2;4;6	1	6		1	偶数至上·Ⅰ	偶數至上·Ⅰ	Even Number Supremacy I	偶数至上・Ⅰ	짝수 지향·Ⅰ	พลังแห่งเลขคู่ · Ⅰ	后续1次投掷，如果点数为2,4,6，则上升层数为投掷点数+6	後續1次投擲，如果點數為2,4,6，則上升層數為投擲點數+6	If you roll an even number (2, 4, or 6) on the next roll, add 6 to the dice result.	次にサイコロを振る時、点数が2/4/6の場合、「点数+6」マス前進する	다음 1회 던지기에서 만약 점수가 2, 4, 6일 경우, 올라가는 층수가 던진 점수 +6	การ​ทอย​ครั้ง​ถัดไป​ หาก​ได้แต้ม​ 2,​ 4,​ 6​ จะ​เพิ่มจำนวน​ชั้น​ขึ้น​ตาม​แต้ม​ที่​ทอย​ได้​ +6​
104	1		189:buff_icon_104	1	1;3;5	2	3		1	奇数至上·Ⅰ	奇數至上·Ⅰ	Odd Number Supremacy I	奇数至上・Ⅰ	홀수 지향·Ⅰ	พลังแห่งเลขคี่ · Ⅰ	后续1次投掷，如果点数为1,3,5，则上升层数为投掷点数*3	後續1次投擲，如果點數為1,3,5，則上升層數為投擲點數*3	If you roll an odd number (1, 3, or 5) on the next roll, triple the dice result.	次にサイコロを振る時、点数が1/3/5の場合、「点数×3」マス前進する	다음 1회 던지기에서 만약 점수가 1, 3, 5일 경우, 올라가는 층수가 던진 점수 *3	การ​ทอย​ครั้ง​ถัดไป​ หาก​ได้แต้ม​ 1,​ 3,​ 5​ จะ​เพิ่มจำนวน​ชั้น​ขึ้น​ตาม​แต้ม​ที่​ทอย​ได้​ x3​
105	1		189:buff_icon_105	1	1;2;3	2	5		1	押小·Ⅰ	押小·Ⅰ	Bet on Small I	小を当てる・Ⅰ	스몰 베팅·Ⅰ	เดิมพันเลขต่ำ · Ⅰ	后续1次投掷，如果点数<=3，则上升层数为投掷点数*5	後續1次投擲，如果點數<=3，則上升層數為投擲點數*5	If your roll number is 3 or lower on the next roll, multiply the dice result by 5.	次にサイコロを振る時、点数≦3の場合、「点数×5」マス前進する	다음 1회 던지기에서 만약 점수가 3이하일 경우, 올라가는 층수가 던진 점수 *5	การ​ทอย​ครั้ง​ถัดไป​ หาก​ได้แต้ม​น้อยกว่า​หรือ​เท่ากับ​ 3​ จะ​เพิ่มจำนวน​ชั้น​ขึ้น​ตาม​แต้ม​ที่​ทอย​ได้​ x5​
106	1		189:buff_icon_106	1	4;5;6	1	8		1	押大·Ⅰ	押大·Ⅰ	Bet on Big I	大を当てる・Ⅰ	빅 베팅·Ⅰ	เดิมพันเลขสูง · Ⅰ	后续1次投掷，如果点数>3，则上升层数为投掷点数+8	後續1次投擲，如果點數>3，則上升層數為投擲點數+8	If your roll number is greater than 3 on the next roll, add +8 to the dice result.	次にサイコロを振る時、点数>3の場合、「点数＋8」マス前進する	다음 1회 던지기에서 만약 점수가 3보다 높을 경우, 올라가는 층수가 던진 점수 +8	การ​ทอย​ครั้ง​ถัดไป​ หาก​ได้แต้ม​มากกว่า​ 3​ จะ​เพิ่มจำนวน​ชั้น​ขึ้น​ตาม​แต้ม​ที่​ทอย​ได้​ +8​
107	1		189:buff_icon_107	2	0	3	6;60		1	幸运6·Ⅰ	幸運6·Ⅰ	Lucky 6 I	ラッキー6・Ⅰ	행운6·Ⅰ	โชคดี 6 · Ⅰ	后续2次投掷，点数为6的概率提升为60%。	後續2次投擲，點數為6的機率提升為60%。	Increases the chance of rolling a 6 to 60% for the next 2 rolls.	次の2回の投げで、毎回60％の確率で点数が6になる	다음 2회 던지기에서 점수가 6일 확률이 60%로 증가	การ​ทอย​ครั้ง​ถัดไป​ 2​ ครั้ง​ โอกาส​ที่จะ​ทอย​ได้แต้ม​ 6​ จะ​เพิ่มขึ้น​เป็น​ 60%​
108	1		189:buff_icon_108	2	1;2;3	6	4		1	稳健收益·Ⅰ	穩健收益·Ⅰ	Stable Gains I	安定収益・Ⅰ	안정적 이익·Ⅰ	ผลประโยชน์​ที่​มั่นคง​ ·​ Ⅰ​	后续2次投掷，点数必定>3。	後續2次投擲，點數必定>3。	Guarantees dice results bigger than 3 for the next 2 rolls.	次の2回の投げで、毎回必ず3を超える点数が出る	다음 2회 던지기에서 점수가 반드시 3보다 높음	การ​ทอย​ครั้ง​ถัดไป​ 2​ ครั้ง​ จะ​ทอย​ได้แต้ม​มากกว่า​ 3​ อย่าง​แน่นอน​
109	1		189:buff_icon_101	2	1	1	15	1	1	风险投资①·Ⅰ	風險投資①·Ⅰ	Risk Investment① I	ベンチャー投資①・Ⅰ	리스크 투자①·Ⅰ	การลงทุน​มี​ความเสี่ยง​①​ ·​ Ⅰ​	后续2次投掷，如点数为1，上升层数额外增加15层（仅生效1次）	後續2次投擲，如點數為1，上升層數額外增加15層（僅生效1次）	If you roll a 1 on the next 2 rolls, gain an additional 15 steps (effective only once).	次の2回の投げで、1が出た場合、「点数＋15」マス前進する(1回のみ発動)	다음 2회 던지기에서 만약 점수가 1이면, 올라가는 층수가 추가로 15층 증가(1회만 적용)	การ​ทอย​ครั้ง​ถัดไป​ 2​ ครั้ง​ หาก​แต้ม​ออก​เป็น​ 1​ จำนวน​ชั้น​จะ​เพิ่มขึ้น​อีก​ 15​ ชั้น​ (​ส่งผล​เพียง​ 1​ ครั้ง​)​
