id	type	storey	monsteType	nextLevel	unlockNum	exp	cardExp	costItem	costNum	costNumLose	proposalLevel	SceneId	rounds	roleNun	battleRules	unlockItem	unlockItemNum	powerTeamMin	repeatButton	powerRatioTeamID	rewardGroupId	replayButton	restartBattleBtn	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	effect	effect_zh_TW	effect_en_UK	effect_ja_JP	effect_ko_KR	effect_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
610001	1	1	1	610002	0	0	0	0	0	0	8800	13209	8	4	1	0	0	11300	2	14	101	1	1	1	中枢1层	中樞1層	Hub Floor 1	中枢1層	훈련 허브 1층	ศูนย์กลางชั้น 1						
610002	1	2	1	610003	610001	0	0	0	0	0	9800	13209	8	4	1	0	0	11800	2	14	101	1	1	1	中枢2层	中樞2層	Hub Floor 2	中枢2層	훈련 허브 2층	ศูนย์กลางชั้น 2						
610003	1	3	1	610004	610002	0	0	0	0	0	10800	13209	8	4	1	0	0	12700	2	14	101	1	1	1	中枢3层	中樞3層	Hub Floor 3	中枢3層	훈련 허브 3층	ศูนย์กลางชั้น 3						
610004	1	4	1	610005	610003	0	0	0	0	0	12800	13209	8	4	1	0	0	14300	2	14	101	1	1	1	中枢4层	中樞4層	Hub Floor 4	中枢4層	훈련 허브 4층	ศูนย์กลางชั้น 4						
610005	1	5	2	610006	610004	0	0	0	0	0	14800	13209	8	4	1	0	0	18100	2	14	101	1	1	1	中枢5层	中樞5層	Hub Floor 5	中枢5層	훈련 허브 5층	ศูนย์กลางชั้น 5						
610006	1	6	1	610007	610005	0	0	0	0	0	15300	11009	8	4	1	0	0	20100	2	14	101	1	1	1	中枢6层	中樞6層	Hub Floor 6	中枢6層	훈련 허브 6층	ศูนย์กลางชั้น 6						
610007	1	7	1	610008	610006	0	0	0	0	0	16300	11009	8	4	1	0	0	22400	2	14	101	1	1	1	中枢7层	中樞7層	Hub Floor 7	中枢7層	훈련 허브 7층	ศูนย์กลางชั้น 7						
610008	1	8	1	610009	610007	0	0	0	0	0	17800	11009	8	4	1	0	0	24700	2	14	101	1	1	1	中枢8层	中樞8層	Hub Floor 8	中枢8層	훈련 허브 8층	ศูนย์กลางชั้น 8						
610009	1	9	1	610010	610008	0	0	0	0	0	19300	11009	8	4	1	0	0	25300	2	14	101	1	1	1	中枢9层	中樞9層	Hub Floor 9	中枢9層	훈련 허브 9층	ศูนย์กลางชั้น 9						
610010	1	10	2	610011	610009	0	0	0	0	0	21300	11009	8	4	1	0	0	27200	2	14	101	1	1	1	中枢10层	中樞10層	Hub Floor 10	中枢10層	훈련 허브 10층	ศูนย์กลางชั้น 10						
610011	1	11	1	610012	610010	0	0	0	0	0	22300	15309	8	4	1	0	0	28900	2	14	101	1	1	1	中枢11层	中樞11層	Hub Floor 11	中枢11層	훈련 허브 11층	ศูนย์กลางชั้น 11						
610012	1	12	1	610013	610011	0	0	0	0	0	23300	15309	8	4	1	0	0	29700	2	14	101	1	1	1	中枢12层	中樞12層	Hub Floor 12	中枢12層	훈련 허브 12층	ศูนย์กลางชั้น 12						
610013	1	13	1	610014	610012	0	0	0	0	0	24800	15309	8	4	1	0	0	31600	2	14	101	1	1	1	中枢13层	中樞13層	Hub Floor 13	中枢13層	훈련 허브 13층	ศูนย์กลางชั้น 13						
610014	1	14	1	610015	610013	0	0	0	0	0	26800	15309	8	4	1	0	0	33000	2	14	101	1	1	1	中枢14层	中樞14層	Hub Floor 14	中枢14層	훈련 허브 14층	ศูนย์กลางชั้น 14						
610015	1	15	2	610016	610014	0	0	0	0	0	29800	15309	8	4	1	0	0	35800	2	14	101	1	1	1	中枢15层	中樞15層	Hub Floor 15	中枢15層	훈련 허브 15층	ศูนย์กลางชั้น 15						
610016	1	16	1	610017	610015	0	0	0	0	0	30800	10809	8	4	1	0	0	41300	2	14	101	1	1	1	中枢16层	中樞16層	Hub Floor 16	中枢16層	훈련 허브 16층	ศูนย์กลางชั้น 16						
610017	1	17	1	610018	610016	0	0	0	0	0	32300	10809	8	4	1	0	0	42300	2	14	101	1	1	1	中枢17层	中樞17層	Hub Floor 17	中枢17層	훈련 허브 17층	ศูนย์กลางชั้น 17						
610018	1	18	1	610019	610017	0	0	0	0	0	33800	10809	8	4	1	0	0	43000	2	14	101	1	1	1	中枢18层	中樞18層	Hub Floor 18	中枢18層	훈련 허브 18층	ศูนย์กลางชั้น 18						
610019	1	19	1	610020	610018	0	0	0	0	0	35800	10809	8	4	1	0	0	43900	2	14	101	1	1	1	中枢19层	中樞19層	Hub Floor 19	中枢19層	훈련 허브 19층	ศูนย์กลางชั้น 19						
610020	1	20	2	610021	610019	0	0	0	0	0	38800	10809	8	4	1	0	0	46500	2	14	101	1	1	1	中枢20层	中樞20層	Hub Floor 20	中枢20層	훈련 허브 20층	ศูนย์กลางชั้น 20						
610021	1	21	1	610022	610020	0	0	0	0	0	39800	11109	8	4	1	0	0	49700	2	14	101	1	1	1	中枢21层	中樞21層	Hub Floor 21	中枢21層	훈련 허브 21층	ศูนย์กลางชั้น 21						
610022	1	22	1	610023	610021	0	0	0	0	0	41300	11109	8	4	1	0	0	52600	2	14	101	1	1	1	中枢22层	中樞22層	Hub Floor 22	中枢22層	훈련 허브 22층	ศูนย์กลางชั้น 22						
610023	1	23	1	610024	610022	0	0	0	0	0	42800	11109	8	4	1	0	0	58900	2	14	101	1	1	1	中枢23层	中樞23層	Hub Floor 23	中枢23層	훈련 허브 23층	ศูนย์กลางชั้น 23						
610024	1	24	1	610025	610023	0	0	0	0	0	44800	11109	8	4	1	0	0	59700	2	14	101	1	1	1	中枢24层	中樞24層	Hub Floor 24	中枢24層	훈련 허브 24층	ศูนย์กลางชั้น 24						
610025	1	25	2	610026	610024	0	0	0	0	0	47800	11109	8	4	1	0	0	62300	2	14	101	1	1	1	中枢25层	中樞25層	Hub Floor 25	中枢25層	훈련 허브 25층	ศูนย์กลางชั้น 25						
610026	1	26	1	610027	610025	0	0	0	0	0	48800	10909	8	4	1	0	0	69600	2	14	101	1	1	1	中枢26层	中樞26層	Hub Floor 26	中枢26層	훈련 허브 26층	ศูนย์กลางชั้น 26						
610027	1	27	1	610028	610026	0	0	0	0	0	50300	10909	8	4	1	0	0	73200	2	14	101	1	1	1	中枢27层	中樞27層	Hub Floor 27	中枢27層	훈련 허브 27층	ศูนย์กลางชั้น 27						
610028	1	28	1	610029	610027	0	0	0	0	0	51800	10909	8	4	1	0	0	75500	2	14	101	1	1	1	中枢28层	中樞28層	Hub Floor 28	中枢28層	훈련 허브 28층	ศูนย์กลางชั้น 28						
610029	1	29	1	610030	610028	0	0	0	0	0	53800	10909	8	4	1	0	0	79000	2	14	101	1	1	1	中枢29层	中樞29層	Hub Floor 29	中枢29層	훈련 허브 29층	ศูนย์กลางชั้น 29						
610030	1	30	2	610031	610029	0	0	0	0	0	56800	10909	8	4	1	0	0	78800	2	14	101	1	1	1	中枢30层	中樞30層	Hub Floor 30	中枢30層	훈련 허브 30층	ศูนย์กลางชั้น 30						
610031	1	31	1	610032	610030	0	0	0	0	0	56800	13209	8	4	1	0	0	92700	2	14	101	1	1	1	中枢31层	中樞31層	Hub Floor 31	中枢31層	훈련 허브 31층	ศูนย์กลางชั้น 31						
610032	1	32	1	610033	610031	0	0	0	0	0	57800	13209	8	4	1	0	0	93700	2	14	101	1	1	1	中枢32层	中樞32層	Hub Floor 32	中枢32層	훈련 허브 32층	ศูนย์กลางชั้น 32						
610033	1	33	1	610034	610032	0	0	0	0	0	59300	13209	8	4	1	0	0	99400	2	14	101	1	1	1	中枢33层	中樞33層	Hub Floor 33	中枢33層	훈련 허브 33층	ศูนย์กลางชั้น 33						
610034	1	34	1	610035	610033	0	0	0	0	0	60800	13209	8	4	1	0	0	100900	2	14	101	1	1	1	中枢34层	中樞34層	Hub Floor 34	中枢34層	훈련 허브 34층	ศูนย์กลางชั้น 34						
610035	1	35	2	610036	610034	0	0	0	0	0	62800	13209	8	4	1	0	0	99600	2	14	101	1	1	1	中枢35层	中樞35層	Hub Floor 35	中枢35層	훈련 허브 35층	ศูนย์กลางชั้น 35	<color=#66b032>关卡说明：</color>BOSS会对我方施加【诅咒】	<color=#66b032>關卡說明：</color>BOSS會對我方施加【詛咒】	<color=#66b032>Stage Details:</color> The Boss will Curse all allies.	<color=#66b032>ステージ説明：</color>BOSSは味方に【呪詛】を与える。	<color=#66b032>스테이지 안내</color>: 보스가 아군에게 [저주]를 합니다.	<color=#66b032>คำอธิบายด่าน:</color>​ บอส​จะ​ติด​เอฟเฟกต์​ [​คำสาป​]​ ใส่​ฝ่าย​เรา​
610036	1	36	1	610037	610035	0	0	0	0	0	62800	10809	6	4	1	0	0	110600	2	14	101	1	1	1	中枢36层	中樞36層	Hub Floor 36	中枢36層	훈련 허브 36층	ศูนย์กลางชั้น 36						
