id	UseColorAdjustments	postExposure	contrast	colorFilter	hueShift	saturation	postExposureRole	contrastRole	colorFilterRole	hueShiftRole	saturationRole	EffectBrightness	RainSpeed	WordChangeSpeed	WordColor	RainMaxColor	RainEffectScale	RainLengthScale	RainInvertDistance	WordSpace	useEmotionalParticle	direction	colorRed	colorGreen	colorBlue	range	maxEmotionalParticleNum	emotionalParticleSize	cameraDistance	fadeInDistance	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1.13	0	0.45,0.45,0.45,0	0	0	1	25	0.6,0.6,0.6,0	0	0	0.22	0.4	0.281	9BA1FF	0.24	2.2	3.01	29.5	24	1	LEFT	0.015,0.1,0.75,1,0	0.015,0.3,0.75,1,0	0.015,0.75,0.75,1,0	12	400	0.05	3	0.2	1
2	1	0	0	0.283,0.283,0.283,0	0	0	1.2	7.5	0.6,0.6,0.6,0	0	0	0.41	0.4	0.281	FF3200	0.24	2.2	3.01	29.5	24	1	LEFT	1,0.03,0,1,0	0.75,0.125,0,09,1,0	1,0.03,0,1,0	12	400	0.05	3	0.2	1
3	1	-1.11	0	0.368,0.368,0.368,0	0	0	0.7	30	0.6,0.6,0.6,0	0	0	0.22	0.4	0.281	9BA1FF	0.24	2.2	3.01	29.5	24	1	LEFT	0.015,0.1,0.75,1,0	0.015,0.3,0.75,1,0	0.015,0.75,0.75,1,0	12	400	0.05	3	0.2	1
4	1	-0.4	0	0.264,0.264,0.264,0	0	0	0.7	35	0.6,0.6,0.6,0	0	0	0.41	0.4	0.281	4CE9A0	0.24	2.2	3.01	29.5	24	1	LEFT	0.015,0.75,0,2,1,0	0.015,0.75,0.015,1,0	0.25,0.75,0.015,1,0	12	400	0.05	3	0.2	1
5	1	3	0	0.2,0.2,0.2,0	0	0	1.1	30	0.6,0.6,0.6,0	0	0	0.22	0.4	0.281	9BA1FF	0.24	2.2	3.01	29.5	24	1	LEFT	0.015,0.1,0.75,1,0	0.015,0.3,0.75,1,0	0.015,0.75,0.75,1,0	12	400	0.05	3	0.2	1
6	1	-2.3	0	0.386,0.386,0.386,0	0	0	1.1	35	0.6,0.6,0.6,0	0	0	0.41	0.4	0.281	4CE9A0	0.24	2.2	3.01	29.5	24	1	LEFT	0.015,0.75,0,2,1,0	0.015,0.75,0.015,1,0	0.25,0.75,0.015,1,0	12	400	0.05	3	0.2	1
7	1	2.5	0	0.75,0.325,0.325,0	0	0	0.7	32	0.7,0.7,0.7,0	0	0	0.41	0.4	0.281	FF3200	0.24	2.2	3.01	29.5	24	1	UP	1,0.03,0,1,0	0.75,0.125,0,09,1,0	1,0.03,0,1,0	12	400	0.05	3	0.2	1
8	1	0.7	45	1,0.467,0.467,0	52	0	1.2	7.5	0.6,0.6,0.6,0	0	0	0.41	0.4	0.281	FF3200	0.24	2.2	3.01	29.5	24	1	UP	1,0.03,0,1,0	0.75,0.125,0,09,1,0	1,0.03,0,1,0	12	400	0.05	3	0.2	1
9	1	2.5	0	0.75,0.325,0.325,0	0	0	0.7	32	0.7,0.7,0.7,0	0	0	0.41	0.4	0.281	FF3200	0.24	2.2	3.01	29.5	24	1	UP	1,0.03,0,1,0	0.75,0.125,0,09,1,0	1,0.03,0,1,0	12	400	0.05	3	0.2	1
10	1	0	0	0.325,0.75,0.4,0	0	0	0.7	32	0.7,0.7,0.7,0	0	0	0.41	0.4	0.281	4CE9A0	0.24	2.2	3.01	29.5	24	1	UP	0.015,0.75,0,2,1,0	0.015,0.75,0.015,1,0	0.25,0.75,0.015,1,0	12	400	0.05	3	0.2	1
11	1	2.5	0	0.325,0.75,0.4,0	0	0	0.7	32	0.7,0.7,0.7,0	0	0	0.41	0.4	0.281	4CE9A0	0.24	2.2	3.01	29.5	24	1	UP	0.015,0.75,0,2,1,0	0.015,0.75,0.015,1,0	0.25,0.75,0.015,1,0	12	400	0.05	3	0.2	1
12	1	1	0	0.325,0.75,0.4,0	0	0	0.7	32	0.7,0.7,0.7,0	0	0	0.41	0.4	0.281	4CE9A0	0.24	2.2	3.01	29.5	24	1	UP	0.015,0.75,0,2,1,0	0.015,0.75,0.015,1,0	0.25,0.75,0.015,1,0	12	400	0.05	3	0.2	1
13	1	2	0	0.31,0.48,0.87,0	0	0	0.7	32	0.7,0.7,0.7,0	0	0	0.22	0.4	0.281	9BA1FF	0.24	2.2	3.01	29.5	24	1	UP	0.015,0.1,0.75,1,0	0.015,0.3,0.75,1,0	0.015,0.75,0.75,1,0	12	400	0.05	3	0.2	1
14	1	1.2	0	0.31,0.48,0.87,0	0	0	0.7	32	0.7,0.7,0.7,0	0	0	0.22	0.4	0.281	9BA1FF	0.24	2.2	3.01	29.5	24	1	UP	0.015,0.1,0.75,1,0	0.015,0.3,0.75,1,0	0.015,0.75,0.75,1,0	12	400	0.05	3	0.2	1
15	1	2.5	0	0.31,0.48,0.87,0	0	0	0.7	32	0.7,0.7,0.7,0	0	0	0.22	0.4	0.281	9BA1FF	0.24	2.2	3.01	29.5	24	1	UP	0.015,0.1,0.75,1,0	0.015,0.3,0.75,1,0	0.015,0.75,0.75,1,0	12	400	0.05	3	0.2	1
