id	type	levelType	label	regionLevel	Exp	cardExp	energy	unlockNum	level	unlockRegion	proposalLevel	frequency	costItem	costNum	costNumLose	starCondition	starConditionNum	starConditionRound	SceneId	monsterShow	location	rounds	appointment	teamLimit	time	repeatButton	guarantee	powerRatioTeamID	showContinueBtn	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	describe	describe_zh_TW	describe_en_UK	describe_ja_JP	describe_ko_KR	describe_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
30301	301	4	1	1	10	200	0	0	1	0	7300		3000004	9	1	0;0;0	0;0;0	0;0;0	11101	100604	279;431	12	2	7100	50	1	1;1	12	1	1	红色芯片副本	紅色晶片副本	Red Chip Stage	ステージ「チップ：赤」	레드 칩 던전	ดันเจี้ยนชิปสีแดง	某组织在无回者联盟发布的特定目标惩戒委托，完成委托后可从联盟处获得市面上较难获得的芯片。	某組織在無回者聯盟發佈的特定目標懲戒委託，完成委託後可從聯盟處獲得市面上較難獲得的晶片。	A commission issued by a certain organization at the League of Outcasts to punish a specific target. Upon completion, it grants rare chips from the league.	ある組織がパンデモニウム連盟で発行する特定対象懲戒依頼。依頼を完成すると、入手困難なチップを獲得できる。	어떤 조직이 네버백 연맹으로 의뢰한 특정 목표 제거 의뢰 임무를 완료하면 네버백 연맹으로부터 희귀한 칩을 획득할 수 있습니다.	องค์กร​แห่ง​หนึ่ง​ได้​มอบหมาย​ภารกิจ​เฉพาะ​ทางผ่าน​สหพันธ์​ไม่​หวนคืน​ หลังจาก​เสร็จสิ้น​ภารกิจ​ จะ​ได้รับ​ชิป​ที่​หา​ได้​ยาก​ใน​ท้องตลาด​
30302	301	4	2	2	12	240	0	30301	1	0	17700		3000004	11	1	0;0;0	0;0;0	0;0;0	11101	100614;100714	595;643	12	2	17300	100	1	1;2	12	1	1	红色芯片副本	紅色晶片副本	Red Chip Stage	ステージ「チップ：赤」	레드 칩 던전	ดันเจี้ยนชิปสีแดง	某组织在无回者联盟发布的特定目标惩戒委托，完成委托后可从联盟处获得市面上较难获得的芯片。	某組織在無回者聯盟發佈的特定目標懲戒委託，完成委託後可從聯盟處獲得市面上較難獲得的晶片。	A commission issued by a certain organization at the League of Outcasts to punish a specific target. Upon completion, it grants rare chips from the league.	ある組織がパンデモニウム連盟で発行する特定対象懲戒依頼。依頼を完成すると、入手困難なチップを獲得できる。	어떤 조직이 네버백 연맹으로 의뢰한 특정 목표 제거 의뢰 임무를 완료하면 네버백 연맹으로부터 희귀한 칩을 획득할 수 있습니다.	องค์กร​แห่ง​หนึ่ง​ได้​มอบหมาย​ภารกิจ​เฉพาะ​ทางผ่าน​สหพันธ์​ไม่​หวนคืน​ หลังจาก​เสร็จสิ้น​ภารกิจ​ จะ​ได้รับ​ชิป​ที่​หา​ได้​ยาก​ใน​ท้องตลาด​
30303	301	4	3	3	14	280	0	30302	1	0	37800		3000004	13	1	0;0;0	0;0;0	0;0;0	11101	400334;100914	907;432	12	2	35800	150	1	1;3	12	1	1	红色芯片副本	紅色晶片副本	Red Chip Stage	ステージ「チップ：赤」	레드 칩 던전	ดันเจี้ยนชิปสีแดง	某组织在无回者联盟发布的特定目标惩戒委托，完成委托后可从联盟处获得市面上较难获得的芯片。	某組織在無回者聯盟發佈的特定目標懲戒委託，完成委託後可從聯盟處獲得市面上較難獲得的晶片。	A commission issued by a certain organization at the League of Outcasts to punish a specific target. Upon completion, it grants rare chips from the league.	ある組織がパンデモニウム連盟で発行する特定対象懲戒依頼。依頼を完成すると、入手困難なチップを獲得できる。	어떤 조직이 네버백 연맹으로 의뢰한 특정 목표 제거 의뢰 임무를 완료하면 네버백 연맹으로부터 희귀한 칩을 획득할 수 있습니다.	องค์กร​แห่ง​หนึ่ง​ได้​มอบหมาย​ภารกิจ​เฉพาะ​ทางผ่าน​สหพันธ์​ไม่​หวนคืน​ หลังจาก​เสร็จสิ้น​ภารกิจ​ จะ​ได้รับ​ชิป​ที่​หา​ได้​ยาก​ใน​ท้องตลาด​
30304	301	4	4	4	16	320	0	30303	1	0	63000		3000004	15	1	0;0;0	0;0;0	0;0;0	11101	400334;100414	1153;642	12	2	77800	200	1	2;3	12	1	1	红色芯片副本	紅色晶片副本	Red Chip Stage	ステージ「チップ：赤」	레드 칩 던전	ดันเจี้ยนชิปสีแดง	某组织在无回者联盟发布的特定目标惩戒委托，完成委托后可从联盟处获得市面上较难获得的芯片。	某組織在無回者聯盟發佈的特定目標懲戒委託，完成委託後可從聯盟處獲得市面上較難獲得的晶片。	A commission issued by a certain organization at the League of Outcasts to punish a specific target. Upon completion, it grants rare chips from the league.	ある組織がパンデモニウム連盟で発行する特定対象懲戒依頼。依頼を完成すると、入手困難なチップを獲得できる。	어떤 조직이 네버백 연맹으로 의뢰한 특정 목표 제거 의뢰 임무를 완료하면 네버백 연맹으로부터 희귀한 칩을 획득할 수 있습니다.	องค์กร​แห่ง​หนึ่ง​ได้​มอบหมาย​ภารกิจ​เฉพาะ​ทางผ่าน​สหพันธ์​ไม่​หวนคืน​ หลังจาก​เสร็จสิ้น​ภารกิจ​ จะ​ได้รับ​ชิป​ที่​หา​ได้​ยาก​ใน​ท้องตลาด​
30305	301	4	5	5	18	360	0	30304	1	0	91500		3000004	17	1	0;0;0	0;0;0	0;0;0	11101	800114;100914	1432;431	12	2	91400	250	1	2;4	12	1	1	红色芯片副本	紅色晶片副本	Red Chip Stage	ステージ「チップ：赤」	레드 칩 던전	ดันเจี้ยนชิปสีแดง	某组织在无回者联盟发布的特定目标惩戒委托，完成委托后可从联盟处获得市面上较难获得的芯片。	某組織在無回者聯盟發佈的特定目標懲戒委託，完成委託後可從聯盟處獲得市面上較難獲得的晶片。	A commission issued by a certain organization at the League of Outcasts to punish a specific target. Upon completion, it grants rare chips from the league.	ある組織がパンデモニウム連盟で発行する特定対象懲戒依頼。依頼を完成すると、入手困難なチップを獲得できる。	어떤 조직이 네버백 연맹으로 의뢰한 특정 목표 제거 의뢰 임무를 완료하면 네버백 연맹으로부터 희귀한 칩을 획득할 수 있습니다.	องค์กร​แห่ง​หนึ่ง​ได้​มอบหมาย​ภารกิจ​เฉพาะ​ทางผ่าน​สหพันธ์​ไม่​หวนคืน​ หลังจาก​เสร็จสิ้น​ภารกิจ​ จะ​ได้รับ​ชิป​ที่​หา​ได้​ยาก​ใน​ท้องตลาด​
30306	301	4	6	6	20	400	0	30305	1	0	114600		3000004	19	1	0;0;0	0;0;0	0;0;0	11101	800114;400334	1696;641	12	2	113100	300	1	2;5	12	1	1	红色芯片副本	紅色晶片副本	Red Chip Stage	ステージ「チップ：赤」	레드 칩 던전	ดันเจี้ยนชิปสีแดง	某组织在无回者联盟发布的特定目标惩戒委托，完成委托后可从联盟处获得市面上较难获得的芯片。	某組織在無回者聯盟發佈的特定目標懲戒委託，完成委託後可從聯盟處獲得市面上較難獲得的晶片。	A commission issued by a certain organization at the League of Outcasts to punish a specific target. Upon completion, it grants rare chips from the league.	ある組織がパンデモニウム連盟で発行する特定対象懲戒依頼。依頼を完成すると、入手困難なチップを獲得できる。	어떤 조직이 네버백 연맹으로 의뢰한 특정 목표 제거 의뢰 임무를 완료하면 네버백 연맹으로부터 희귀한 칩을 획득할 수 있습니다.	องค์กร​แห่ง​หนึ่ง​ได้​มอบหมาย​ภารกิจ​เฉพาะ​ทางผ่าน​สหพันธ์​ไม่​หวนคืน​ หลังจาก​เสร็จสิ้น​ภารกิจ​ จะ​ได้รับ​ชิป​ที่​หา​ได้​ยาก​ใน​ท้องตลาด​
30401	401	4	1	1	10	200	0	0	1	0	7300		3000004	9	1	0;0;0	0;0;0	0;0;0	11101	100604	279;431	12	2	7100	50	1	1;1	12	1	1	绿色芯片副本	綠色晶片副本	Green Chip Stage	ステージ「チップ：緑」	그린 칩 던전	ดันเจี้ยนชิปสีเขียว	匿名人士在无回者联盟发布的特殊物品搜寻委托，完成委托后可从联盟处获得市面上较难获得的芯片。	匿名人士在無回者聯盟發佈的特殊物品搜尋委託，完成委託後可從聯盟處獲得市面上較難獲得的晶片。	A commission issued by an anonymous individual at the League of Outcasts to search for a special item. Upon completion, it grants rare chips from the league.	ある者がパンデモニウム連盟で発行する特殊アイテム捜索依頼。依頼を完成すると、入手困難なチップを獲得できる。	익명의 인물이 네버백 연맹으로 의뢰한 특수물품 수색 의뢰 임무를 완료하면 네버백 연맹으로부터 희귀한 칩을 획득할 수 있습니다.	บุคคล​นิรนาม​ได้​มอบหมาย​ภารกิจ​ค้นหา​ไอเทม​ผ่าน​สหพันธ์​ไม่​หวนคืน​ หลังจาก​เสร็จสิ้น​ภารกิจ​ จะ​ได้รับ​ชิป​ที่​หา​ได้​ยาก​ใน​ท้องตลาด​
30402	401	4	2	2	12	240	0	30401	1	0	17700		3000004	11	1	0;0;0	0;0;0	0;0;0	11101	100614;100714	595;643	12	2	17300	100	1	1;2	12	1	1	绿色芯片副本	綠色晶片副本	Green Chip Stage	ステージ「チップ：緑」	그린 칩 던전	ดันเจี้ยนชิปสีเขียว	匿名人士在无回者联盟发布的特殊物品搜寻委托，完成委托后可从联盟处获得市面上较难获得的芯片。	匿名人士在無回者聯盟發佈的特殊物品搜尋委託，完成委託後可從聯盟處獲得市面上較難獲得的晶片。	A commission issued by an anonymous individual at the League of Outcasts to search for a special item. Upon completion, it grants rare chips from the league.	ある者がパンデモニウム連盟で発行する特殊アイテム捜索依頼。依頼を完成すると、入手困難なチップを獲得できる。	익명의 인물이 네버백 연맹으로 의뢰한 특수물품 수색 의뢰 임무를 완료하면 네버백 연맹으로부터 희귀한 칩을 획득할 수 있습니다.	บุคคล​นิรนาม​ได้​มอบหมาย​ภารกิจ​ค้นหา​ไอเทม​ผ่าน​สหพันธ์​ไม่​หวนคืน​ หลังจาก​เสร็จสิ้น​ภารกิจ​ จะ​ได้รับ​ชิป​ที่​หา​ได้​ยาก​ใน​ท้องตลาด​
30403	401	4	3	3	14	280	0	30402	1	0	37800		3000004	13	1	0;0;0	0;0;0	0;0;0	11101	400334;100914	907;432	12	2	35800	150	1	1;3	12	1	1	绿色芯片副本	綠色晶片副本	Green Chip Stage	ステージ「チップ：緑」	그린 칩 던전	ดันเจี้ยนชิปสีเขียว	匿名人士在无回者联盟发布的特殊物品搜寻委托，完成委托后可从联盟处获得市面上较难获得的芯片。	匿名人士在無回者聯盟發佈的特殊物品搜尋委託，完成委託後可從聯盟處獲得市面上較難獲得的晶片。	A commission issued by an anonymous individual at the League of Outcasts to search for a special item. Upon completion, it grants rare chips from the league.	ある者がパンデモニウム連盟で発行する特殊アイテム捜索依頼。依頼を完成すると、入手困難なチップを獲得できる。	익명의 인물이 네버백 연맹으로 의뢰한 특수물품 수색 의뢰 임무를 완료하면 네버백 연맹으로부터 희귀한 칩을 획득할 수 있습니다.	บุคคล​นิรนาม​ได้​มอบหมาย​ภารกิจ​ค้นหา​ไอเทม​ผ่าน​สหพันธ์​ไม่​หวนคืน​ หลังจาก​เสร็จสิ้น​ภารกิจ​ จะ​ได้รับ​ชิป​ที่​หา​ได้​ยาก​ใน​ท้องตลาด​
