id	proposalLevel	tag	roleRestrictions	sceneId	battleRules	roleNun	powerRatioTeamID	rounds	damageTotal	exp	cardExp	restartBattleBtn	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	buffDec	buffDec_zh_TW	buffDec_en_UK	buffDec_ja_JP	buffDec_ko_KR	buffDec_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
90101	54000	302;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·一	灰暗之域·一	Void Domain I	闇ノ領域Ⅰ	그레이 존Ⅰ	แดนมืดมัว·1	<color=#800080>梦魇涌动</color>：敌方受到破碎伤害提升30%	<color=#800080>夢魘湧動</color>：敵方受到破碎傷害提升30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% more Sunder DMG.	<color=#800080>ステージ効果</color>：敵が受ける超会心ダメージ＋30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 파쇄 대미지 +30%	<color=#800080>กระแสฝันร้าย</color>:​ ดา​เม​จบ​ด​ขยี้​ที่​ฝ่าย​ศัตรู​ได้รับ​เพิ่มขึ้น​ 30%​
90102	65400	301;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·二	灰暗之域·二	Void Domain II	闇ノ領域Ⅱ	그레이 존Ⅱ	แดนมืดมัว·2	<color=#800080>梦魇涌动</color>：敌方受到破裂伤害提升30%	<color=#800080>夢魘湧動</color>：敵方受到破裂傷害提升30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% more Overload DMG.	<color=#800080>ステージ効果</color>：敵が受けるバフ特攻ダメージ＋30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 파열 대미지 +30%	<color=#800080>กระแสฝันร้าย</color>:​ ดา​เม​จ​ฉีก​กระชาก​ที่​ฝ่าย​ศัตรู​ได้รับ​เพิ่มขึ้น​ 30%​
90103	76800	302;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·三	灰暗之域·三	Void Domain III	闇ノ領域Ⅲ	그레이 존Ⅲ	แดนมืดมัว·3	<color=#800080>梦魇涌动</color>：敌方受到穿刺伤害提升30%	<color=#800080>夢魘湧動</color>：敵方受到穿刺傷害提升30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% more Jab DMG.	<color=#800080>ステージ効果</color>：敵が受ける穿刺ダメージ＋30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 크리티컬 관통 대미지 +30%	<color=#800080>กระแสฝันร้าย</color>:​ ดา​เม​จ​ทะลวง​ที่​ฝ่าย​ศัตรู​ได้รับ​เพิ่มขึ้น​ 30%​
90104	85300	301;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·四	灰暗之域·四	Void Domain IV	闇ノ領域Ⅳ	그레이 존Ⅳ	แดนมืดมัว·4	<color=#800080>梦魇涌动</color>：敌方受到间接伤害提升30%	<color=#800080>夢魘湧動</color>：敵方受到間接傷害提升30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% more Indirect DMG.	<color=#800080>ステージ効果</color>：敵が受ける間接ダメージ＋30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 간접 대미지 +30%	<color=#800080>กระแสฝันร้าย</color>:​ ดา​เม​จ​ต่อเนื่อง​ที่​ฝ่าย​ศัตรู​ได้รับ​เพิ่มขึ้น​ 30%​
90105	89600	301;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·五	灰暗之域·五	Void Domain V	闇ノ領域Ⅴ	그레이 존Ⅴ	แดนมืดมัว·5	<color=#800080>梦魇涌动</color>：敌方受到真实伤害提升30%	<color=#800080>夢魘湧動</color>：敵方受到真實傷害提升30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% more True DMG.	<color=#800080>ステージ効果</color>：敵が受ける直撃ダメージ＋30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 고정 대미지 +30%	<color=#800080>กระแสฝันร้าย</color>:​ ดา​เม​จ​จริง​ที่​ฝ่าย​ศัตรู​ได้รับ​เพิ่มขึ้น​ 30%​
90106	93900	202;302;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·六	灰暗之域·六	Void Domain VI	闇ノ領域Ⅵ	그레이 존Ⅵ	แดนมืดมัว·6	<color=#800080>梦魇涌动</color>：敌方受到三相伤害提升30%	<color=#800080>夢魘湧動</color>：敵方受到三相傷害提升30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% more damage from Trinity.	<color=#800080>ステージ効果</color>：敵が受けるスタックダメージ＋30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 트리플 페이즈의 대미지 +30%	<color=#800080>กระแสฝันร้าย</color>:​ ดา​เม​จ​สาม​ธาตุ​ที่​ฝ่าย​ศัตรู​ได้รับ​เพิ่มขึ้น​ 30%​
90107	93900	204;301;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·六	灰暗之域·六	Void Domain VI	闇ノ領域Ⅵ	그레이 존Ⅵ	แดนมืดมัว·6	<color=#800080>梦魇涌动</color>：敌方受到星流伤害提升30%	<color=#800080>夢魘湧動</color>：敵方受到星流傷害提升30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% more damage from Astra.	<color=#800080>ステージ効果</color>：敵が受けるフロウダメージ＋30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 스타 스트림의 대미지 +30%	<color=#800080>กระแสฝันร้าย</color>:​ ดา​เม​จ​สาย​ดาว​ที่​ฝ่าย​ศัตรู​ได้รับ​เพิ่มขึ้น​ 30%​
90108	98100	204;301;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·七	灰暗之域·七	Void Domain VII	闇ノ領域Ⅶ	그레이 존Ⅶ	แดนมืดมัว·7	<color=#800080>梦魇涌动</color>：敌方受到星流伤害提升30%	<color=#800080>夢魘湧動</color>：敵方受到星流傷害提升30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% more damage from Astra.	<color=#800080>ステージ効果</color>：敵が受けるフロウダメージ＋30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 스타 스트림의 대미지 +30%	<color=#800080>กระแสฝันร้าย</color>:​ ดา​เม​จ​สาย​ดาว​ที่​ฝ่าย​ศัตรู​ได้รับ​เพิ่มขึ้น​ 30%​
90109	98100	203;302;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·七	灰暗之域·七	Void Domain VII	闇ノ領域Ⅶ	그레이 존Ⅶ	แดนมืดมัว·7	<color=#800080>梦魇涌动</color>：敌方受到方波伤害提升30%	<color=#800080>夢魘湧動</color>：敵方受到方波傷害提升30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% more damage from Quadris.	<color=#800080>ステージ効果</color>：敵が受けるウェーブダメージ＋30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 스피어 웨이브의 대미지 +30%	<color=#800080>กระแสฝันร้าย</color>:​ ดา​เม​จ​คลื่น​พลัง​ที่​ฝ่าย​ศัตรู​ได้รับ​เพิ่มขึ้น​ 30%​
