id	groupId	place	unlockPlace	levelList	hardLevel1	hardLevel2	starCondition	starConditionNum	starConditionRound	fristRewards	fristRewardsNum	hardRewards1	hardRewardsNum1	hardRewards2	hardRewardsNum2	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1001001	1	1	0	90101			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;50;5;50000					1	灰暗之域·一	灰暗之域·一	Void Domain I	闇ノ領域Ⅰ	그레이 존Ⅰ	แดนมืดมัว·1
1001002	1	2	1001001	90102			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;60;5;100000					1	灰暗之域·二	灰暗之域·二	Void Domain II	闇ノ領域Ⅱ	그레이 존Ⅱ	แดนมืดมัว·2
1001003	1	3	1001002	90103			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;70;5;150000					1	灰暗之域·三	灰暗之域·三	Void Domain III	闇ノ領域Ⅲ	그레이 존Ⅲ	แดนมืดมัว·3
1001004	1	4	1001003	90104			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;80;10;200000					1	灰暗之域·四	灰暗之域·四	Void Domain IV	闇ノ領域Ⅳ	그레이 존Ⅳ	แดนมืดมัว·4
1001005	1	5	1001004	90105			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;90;10;250000					1	灰暗之域·五	灰暗之域·五	Void Domain V	闇ノ領域Ⅴ	그레이 존Ⅴ	แดนมืดมัว·5
1001006	1	6	1001005	90106			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;100;10;300000					1	灰暗之域·六	灰暗之域·六	Void Domain VI	闇ノ領域Ⅵ	그레이 존Ⅵ	แดนมืดมัว·6
1001007	1	7	1001006	90108			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;110;20;350000					1	灰暗之域·七	灰暗之域·七	Void Domain VII	闇ノ領域Ⅶ	그레이 존Ⅶ	แดนมืดมัว·7
1001008	1	8	1001007	90111			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;120;20;400000					1	灰暗之域·八	灰暗之域·八	Void Domain VIII	闇ノ領域Ⅷ	그레이 존Ⅷ	แดนมืดมัว·8
1001009	1	9	1001008	90112			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;130;20;450000					1	灰暗之域·九	灰暗之域·九	Void Domain IX	闇ノ領域Ⅸ	그레이 존Ⅸ	แดนมืดมัว·9
1001010	1	10	1001009	90115			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;150;30;500000					1	灰暗之域·十	灰暗之域·十	Void Domain X	闇ノ領域Ⅹ	그레이 존Ⅹ	แดนมืดมัว·10
2101001	101	1	0	91101			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	2;20;1;5000					1	冰峰·一	冰峰·一	Icepeaks I	氷峰Ⅰ	서리I 	ยอดน้ำแข็ง·1
2101002	101	2	2101001	91103			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	2;25;2;10000					1	冰峰·二	冰峰·二	Icepeaks II	氷峰Ⅱ	서리II	ยอดน้ำแข็ง·2
2101003	101	3	2101002	91105			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	2;30;3;15000					1	冰峰·三	冰峰·三	Icepeaks III	氷峰Ⅲ	서리III	ยอดน้ำแข็ง·3
2101004	101	4	2101003	91107			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	2;35;4;20000					1	冰峰·四	冰峰·四	Icepeaks IV	氷峰Ⅳ	서리IV	ยอดน้ำแข็ง·4
2101005	101	5	2101004	91109			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	2;40;5;25000					1	冰峰·五	冰峰·五	Icepeaks V	氷峰Ⅴ	서리V	ยอดน้ำแข็ง·5
2101006	101	6	2101005	91111			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	2;45;6;30000					1	冰峰·六	冰峰·六	Icepeaks VI	氷峰Ⅵ	서리VI 	ยอดน้ำแข็ง·6
2101007	101	7	2101006	91113			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	2;50;7;35000					1	冰峰·七	冰峰·七	Icepeaks VII	氷峰Ⅶ	서리VII	ยอดน้ำแข็ง·7
2101008	101	8	2101007	91115			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	2;55;8;40000					1	冰峰·八	冰峰·八	Icepeaks VIII	氷峰Ⅷ	서리VIII	ยอดน้ำแข็ง·8
