groupId	condition	iconLight	iconDark	background	groupType	skipLevel	tipBoad	UpGroup	groupRewards	groupRewardsNum	boadReward	boadRewardNum	ruleId	status	title	title_zh_TW	title_en_UK	title_ja_JP	title_ko_KR	title_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	0	153:darkdream_tab_icon1	153:darkdream_tab_icon2	109:darkdream_bg_nor	0	0	0	1005					6241	1							灰暗之域	灰暗之域	Void Domain	闇ノ領域	나이트메어	แดนมืดมัว
101	1001010	153:darkdream_tab_icon3	153:darkdream_tab_icon4	109:darkdream_bg_hard	0	0	1001	1003					6241	1	普通	普通	Normal	普通	일반	ทั่วไป	黑雾之渊·冰峰	黑霧之淵·冰峰	Misty Depths (Icepeaks)	黒霧ノ淵・氷峰	검은 안개의 심연·서리	เหวหมอกมืด·ยอดน้ำแข็ง
102	1001010	153:darkdream_tab_icon3	153:darkdream_tab_icon4	109:darkdream_bg_hard	0	0	1002	1006					6241	1	普通	普通	Normal	普通	일반	ทั่วไป	黑雾之渊·永夜	黑霧之淵·永夜	Misty Depths (Evernight)	黒霧ノ淵・永夜	검은 안개의 심연·영원한 밤	เหวหมอกมืด·คืนนิรันดร์
103	1001010	153:darkdream_tab_icon3	153:darkdream_tab_icon4	109:darkdream_bg_hard	0	0	1003						6241	1	普通	普通	Normal	普通	일반	ทั่วไป	黑雾之渊·雾沼	黑霧之淵·霧沼	Misty Depths (Fogmarsh)	黒霧ノ淵・霧沼	검은 안개의 심연·안개의 늪	เหวหมอกมืด·บึงแห่งหมอก
104	1001010	153:darkdream_tab_icon3	153:darkdream_tab_icon4	109:darkdream_bg_hard	0	0	1004						6241	1	普通	普通	Normal	普通	일반	ทั่วไป	黑雾之渊·迷心	黑霧之淵·迷心	Misty Depths (Mindmaze)	黒霧ノ淵・迷心	검은 안개의 심연·미혹	เหวหมอกมืด·วงกตดวงใจ
105	1001010	153:darkdream_tab_icon3	153:darkdream_tab_icon4	109:darkdream_bg_hard	0	9	1005	1007					6241	1	普通	普通	Normal	普通	일반	ทั่วไป	黑雾之渊·尘劫	黑霧之淵·塵劫	Misty Depths (Tribulation)	黒霧ノ淵・劫火	검은 안개의 심연·더스트	เหวหมอกมืด·เถ้าธุลี
106	1001010	153:darkdream_tab_icon3	153:darkdream_tab_icon4	109:darkdream_bg_hard	0	9	1006	1015					6241	1	普通	普通	Normal	普通	일반	ทั่วไป	黑雾之渊·蝶变	黑霧之淵·蝶變	Misty Depths (Metamorphosis)	黒霧ノ淵・蝶変	검은 안개의 심연·버터플라이	เหวหมอกมืด·วัฏจักรผีเสื้อ
107	1001010	153:darkdream_tab_icon3	153:darkdream_tab_icon4	109:darkdream_bg_hard	0	9	1007	1001					6241	1	普通	普通	Normal	普通	일반	ทั่วไป	黑雾之渊·月食	黑霧之淵·月食	Misty Depths (Eclipse)	黒霧ノ淵・月蝕	검은 안개의 심연·이클립스	เหวหมอกมืด·กลืนจันทร์
108	1001010	153:darkdream_tab_icon3	153:darkdream_tab_icon4	109:darkdream_bg_hard	0	9	1008	1002					6241	1	普通	普通	Normal	普通	일반	ทั่วไป	黑雾之渊·野火	黑霧之淵·野火	Misty Depths (Wildfire)	黒霧ノ淵・野火	흑안의 심연·야화	เหวหมอกมืด·ไฟป่า
