StageId,,des,Difficulty,DifficultyName,Offset,Hurt,Reward,RolePetId
60101,暴食,0,1,ui_DailyBossDungeon_6,"-4,0","4781,7172,9562,11952,14343,16733,19124,21514,23904","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3015007,3015008,3015004,3014030,3016068"
60102,暴食,0,2,ui_DailyBossDungeon_7,"-4,0","28259,42388,56517,70646,84776,98905,113034,127163,141292","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3015007,3015008,3015004,3014030,3016068"
60103,暴食,0,3,ui_DailyBossDungeon_8,"-4,0","139070,208605,278139,347674,417209,486743,556278,625813,695347","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3015007,3015008,3015004,3014030,3016068"
60104,暴食,0,4,ui_DailyBossDungeon_9,"-4,0","247630,371444,495259,619073,742888,866703,990517,1114332,1238146","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3015007,3015008,3015004,3014030,3016068"
60105,暴食,0,5,ui_DailyBossDungeon_30,"-4,0","439949,659924,879898,1099872,1319847,1539821,1759796,1979770,2199744","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3015007,3015008,3015004,3014030,3016068"
60106,暴食,0,6,ui_DailyBossDungeon_10,"-4,0","549995,824992,1099990,1374987,1649984,1924982,2199979,2474976,2749973","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3015007,3015008,3015004,3014030,3016068"
60201,色欲,1,1,ui_DailyBossDungeon_6,"-4,0","5844,8765,11687,14608,17530,20452,23373,26295,29216","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014025,3016130,3015007,3014019,3016038"
60202,色欲,1,2,ui_DailyBossDungeon_7,"-4,0","22921,34382,45842,57302,68763,80223,91684,103144,114604","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014025,3016130,3015007,3014019,3016038"
60203,色欲,1,3,ui_DailyBossDungeon_8,"-4,0","131730,197595,263460,329324,395189,461054,526919,592784,658648","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014025,3016130,3015007,3014019,3016038"
60204,色欲,1,4,ui_DailyBossDungeon_9,"-4,0","291849,437774,583698,729622,875547,1021471,1167396,1313320,1459244","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014025,3016130,3015007,3014019,3016038"
60205,色欲,1,5,ui_DailyBossDungeon_30,"-4,0","483944,725916,967888,1209859,1451831,1693803,1935775,2177747,2419718","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014025,3016130,3015007,3014019,3016038"
60206,色欲,1,6,ui_DailyBossDungeon_10,"-4,0","643611,965417,1287222,1609027,1930833,2252638,2574444,2896249,3218054","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014025,3016130,3015007,3014019,3016038"
