Id,Type,SwitchType,Item,UIWind,Parameters,UnLock,Desc
3,1,3,0,0,,,0
4,1,4,0,0,,,0
5,1,5,0,0,,,0
6,1,6,0,0,,,0
1101,1,2,0,Shop_Main,101,405,0
1201,1,2,0,Shop_Main,201,406,0
1202,1,2,0,Shop_Main,202,406,0
1203,1,2,0,Shop_Main,203,406,0
1204,1,2,0,Shop_Main,204,410,0
1205,1,2,0,Shop_Main,205,426,0
1301,1,2,0,Shop_Main,301,420,0
1302,1,2,0,Shop_Main,302,420,0
1303,1,2,0,Shop_Main,303,420,0
1304,1,2,0,Shop_Main,304,420,0
1306,1,2,0,Shop_Main,306,432,0
1401,1,2,0,Shop_Main,401,411,0
1402,1,2,0,Shop_Main,402,412,0
1403,1,2,0,Shop_Main,403,413,0
1404,1,2,0,Shop_Main,404,411,0
1405,1,2,0,Shop_Main,405,416,0
1406,1,2,0,Shop_Main,406,,0
1407,1,2,0,Shop_Main,407,,0
1408,1,2,0,Shop_Main,408,,0
1409,1,2,0,Shop_Main,409,,0
1410,1,2,0,Shop_Main,410,,0
1411,1,2,0,Shop_Main,411,,0
1414,1,2,0,Shop_Main,414,,0
1415,1,2,0,Shop_Main,415,430,0
1416,1,2,0,Shop_Main,416,434,0
1601,1,2,0,Shop_Main,412,424,0
11000,1,2,0,Shop_Main,1000,404,0
10001,1,2,0,BuyTiLiPop,,,0
10002,1,2,0,StageMaterialView_Main,301,203,0
10003,1,2,0,StageMaterialView_Main,302,203,0
10004,1,2,0,StageMaterialView_Main,303,203,0
10005,1,2,0,StageMaterialView_Main,304,211,0
10006,1,2,0,StageMaterialView_Main,305,211,0
10007,1,2,0,StageMaterialView_Main,306,211,0
10008,1,2,0,StageMaterialView_Main,307,211,0
10009,1,2,0,StageMaterialView_Main,308,211,0
10010,1,2,0,StageMaterialView_Main,309,211,0
10011,1,2,0,StageMaterialView_Main,310,211,0
10012,1,2,0,StageMaterialView_Main,330,212,0
10013,1,2,0,RolePetWareHouse_Main,,,0
10014,1,2,0,Role_Main,,,0
10015,1,2,0,Medal_Main,,12,0
10016,1,2,0,Summon_Main,,,0
10017,1,2,0,RoleLevelUp_Main,,112,0
10018,1,2,0,StageEntryView_Main,,,0
10019,1,2,0,Quest_Main,,9,0
10020,1,2,0,SignIn_Main,,11,0
10021,1,2,0,StageXiaJianScroll_Main,,207,FuncName_207
10022,1,2,0,StageEntryView_Main,2,205,0
10023,1,2,0,TeamView_Main,,301,0
10024,1,2,0,Archives_Main,,501,0
10025,1,2,0,Warehouse_Main,,8,0
10026,1,2,0,Mail_Main,,7,0
10027,1,2,0,Setting_Main,,4,0
10028,1,2,0,Archives_Main,,501,0
10029,1,2,0,StageMaterialScroll_Main,304,211,0
10030,1,2,0,GuildView_Main,,801,0
10031,1,2,0,RolePetTalentClass_Main,,118,0
10032,1,2,0,StageEntryView_Main,5,1301,0
10033,1,2,0,StageEntryView_Main,3,,0
10034,1,2,0,RoguelikeTower_Main,,,0
10035,1,2,0,MonsterBattleMain,,,0
10036,1,2,0,StageMaterialView_Main,334,213,0
10037,1,2,0,Warehouse_Main,106,8,0
10038,1,2,0,Oracle_Main,,,0
1100104,1,2,0,ShiZhuActivity_Main,"1,100104",,0
1100101,1,2,0,ShiZhuActivity_Main,"4,100101",,0
1100106,1,2,0,ShiZhuActivity_Main,"1,100106",,0
1100102,1,2,0,CommonActivity,"3,100114",,0
1100107,1,2,0,ActivityRewardSummary_Main,"2,100107",,0
1100108,1,2,0,ActivityRewardSummary_Main,"2,100108",,0
1100114,1,2,0,CommonActivity,"3,100102",,0
999999,1,2,0,ShiZhuActivity_Main,"1,999999",,0
10101,1,2,0,Summon_Main,1001,,0
10102,1,2,0,Summon_Main,1002,,0
10103,1,2,0,Summon_Main,1003,,0
10104,1,2,0,Summon_Main,1004,,0
10105,1,2,0,Summon_Main,1005,,0
10106,1,2,0,Summon_Main,1006,,0
10107,1,2,0,Summon_Main,1007,,0
10108,1,2,0,Summon_Main,1008,,0
10109,1,2,0,Summon_Main,1009,,0
201,2,2,0,0,,,0
202,2,2,0,0,,,0
203,2,2,0,0,,,0
204,2,2,0,0,,,0
9001,4,0,0,0,,,uiswitch_des_01
9999,2,2,0,0,,,0
2001,1,2,0,ShiZhuActivity_Main,"1,100103",,0
11002103,1,1,1002103,0,,,0
11002102,1,1,1002102,0,,,0
11002101,1,1,1002101,0,,,0
11002141,1,1,1002141,0,,,0
11002142,1,1,1002142,0,,,0
11002143,1,1,1002143,0,,,0
11002144,1,1,1002144,0,,,0
11002121,1,1,1002121,0,,,0
11002122,1,1,1002122,0,,,0
