DressId,Sort,Show,,DressName,,DressSource,Par1,,Source,DressDes,,DecorationPositiontype,SpecialType,DecorationType,Model,Icon,Quality
5002001,1,1,英灵羽饰,RoleDressName_5002001,格蕾,0,3013001,格蕾,RoleDressSource_5002001,RoleDressDes_5002001,英灵的旅途或将于战斗中结，但洗练的灵魂不会随时间磨灭。,1,,101,sp_3013001,sp_3013001_icon,3
5002002,2,1,雷兽之尾,RoleDressName_5002002,阿涅克丝,0,3013003,阿涅克丝,RoleDressSource_5002002,RoleDressDes_5002002,雷雨天极其容易炸毛的尾部装饰。传闻雷兽的尾巴如闪电一般，在中间分叉为二。,4,,601,sp_3013003,sp_3013003_icon,4
5002003,3,1,秩序羽翼,RoleDressName_5002003,炽爱,0,3013004,炽爱,RoleDressSource_5002003,RoleDressDes_5002003,灵魂与记忆造就人的真实。但若其一损缺替换，“你”还可否称之为“你”？,4,,501,sp_3013004,sp_3013004_icon,4
5002004,4,1,人鱼耳的模型,RoleDressName_5002004,水仙,0,3013006,水仙,RoleDressSource_5002004,RoleDressDes_5002004,以水仙耳朵为蓝本做出的装饰，可以假扮人鱼,2,,110,sp_3013006,sp_3013006_icon,4
5002005,5,1,游侠勋章,RoleDressName_5002005,菲莉希亚,0,3013007,菲莉希亚,RoleDressSource_5002005,RoleDressDes_5002005,仿制的荣誉勋章，以纪念那位游侠的荣誉与对王室的忠诚。,3,,301,sp_3013007,sp_3013007_icon,3
5002006,6,1,红色咔呢,RoleDressName_5002006,梅露特,0,3013008,梅露特,RoleDressSource_5002006,RoleDressDes_5002006,小型的红色螃蟹饰品，两只钳子可以发出“咔呢咔呢”的声音。,3,,301,sp_3013008,sp_3013008_icon,3
5002007,7,1,魔术师帽,RoleDressName_5002007,奈奈芙,0,3013009,奈奈芙,RoleDressSource_5002007,RoleDressDes_5002007,既可以代表身份，魔术表演时也可以作为道具,1,,101,sp_3013009,sp_3013009_icon,3
5002008,8,1,药香绒尾,RoleDressName_5002008,玛瑙,0,3013014,玛瑙,RoleDressSource_5002008,RoleDressDes_5002008,毛茸茸的胡狼尾饰，飘散着若有若无的药香。,4,,601,sp_3013014,sp_3013014_icon,3
5002009,9,1,白蕊纸贴,RoleDressName_5002009,哀歌,0,3013015,哀歌,RoleDressSource_5002009,RoleDressDes_5002009,纸贴将无名白蕊的模样复刻，却无法还原它的芬芳,2,1,,sp_3013015,sp_3013015_icon,4
5002010,10,1,兔子的耳朵,RoleDressName_5002010,波斯菊,0,3013017,波斯菊,RoleDressSource_5002010,RoleDressDes_5002010,很可爱的兔耳装饰，似乎是一种特殊服装,1,,101,sp_3013017,sp_3013017_icon,3
5002011,11,1,优雅缎带,RoleDressName_5002011,爱琳,0,3013018,爱琳,RoleDressSource_5002011,RoleDressDes_5002011,以丝绸裁制成的红色缎带。身为王族，无论何时都应穿着得体，礼仪优雅。,3,,301,sp_3013018,sp_3013018_icon,3
5002012,12,1,偶像纹身贴纸,RoleDressName_5002012,库萝心,0,3013019,库萝心,RoleDressSource_5002012,RoleDressDes_5002012,作为偶像的纹身贴纸，很容易清洗,2,1,,sp_3013019,sp_3013019_icon,4
5002013,13,1,女巫肤色,RoleDressName_5002013,维达,0,3013020,维达,RoleDressSource_5002013,RoleDressDes_5002013,略有晒痕的健康肌肤，无需遮掩的神秘色彩，这正是森林女巫自傲的事物！,5,3,,sp_3013020,sp_3013020_icon,3
5002014,14,1,骑士肩甲,RoleDressName_5002014,莱拉,0,3013022,莱拉,RoleDressSource_5002014,RoleDressDes_5002014,红色的骑士肩甲，钢铁所能予以的是沉重与满满的安全感。,3,,503,sp_3013022,sp_3013022_icon,3
5002015,15,1,精灵飘带,RoleDressName_5002015,芙洛拉,0,3013023,芙洛拉,RoleDressSource_5002015,RoleDressDes_5002015,森精灵的飘带，英姿飒爽，符合世人对其固有印象，被树枝刮蹭的事件也时有发生。,4,,501,sp_3013023,sp_3013023_icon,3
5002017,17,1,平衡呆毛,RoleDressName_5002017,多萝西,0,3013025,多萝西,RoleDressSource_5002017,RoleDressDes_5002017,多萝西战斗时总能保持身体平衡，头顶的呆毛愈发让人生疑。,5,5,101,sp_3013025,sp_3013025_icon,3
5002018,18,1,胡狼尾饰,RoleDressName_5002018,普琳普顿,0,3014001,普琳普顿,RoleDressSource_5002018,RoleDressDes_5002018,以胡狼为原型所仿制的大型尾部装饰，手感舒适，具有良好的保暖效果。,4,,601,sp_3014001,sp_3014001_icon,4
5002019,19,1,澄澈之心,RoleDressName_5002019,焰心,0,3014003,焰心,RoleDressSource_5002019,RoleDressDes_5002019,蓝色的心形项链，是少女还身为人子时便携带之物，是她与凡世的些许联系。,3,,301,sp_3014003,sp_3014003_icon,3
5002020,20,1,白犀号角,RoleDressName_5002020,索菲,0,3014004,索菲,RoleDressSource_5002020,RoleDressDes_5002020,珍贵的白犀牛角被做成号角，戴头上？不愧是索菲。,1,,101,sp_3014004,sp_3014004_icon,3
5002021,21,1,天明鹿角,RoleDressName_5002021,弥生,0,3014005,弥生,RoleDressSource_5002021,RoleDressDes_5002021,漆黑之潮涌现，曾有灵鹿破开曙光。扶桑的童话书中描绘了这样一段传说。,1,,101,sp_3014005,sp_3014005_icon,4
5002022,22,1,绿色领结,RoleDressName_5002022,未来,0,3014012,未来,RoleDressSource_5002022,RoleDressDes_5002022,颇为随意，不知是否起到装饰作用的绿色领结，与主人的性格很搭。,4,,501,sp_3014012,sp_3014012_icon,3
5002023,23,1,紧急创可贴,RoleDressName_5002023,杏林,0,3014016,杏林,RoleDressSource_5002023,RoleDressDes_5002023,杏林研制中的止血贴纸自己先试用，可爱的图案能缓解压力。,2,1,,sp_3014016,sp_3014016_icon,3
5002024,24,1,旅行腰包,RoleDressName_5002024,诗娅,0,3014018,诗娅,RoleDressSource_5002024,RoleDressDes_5002024,适合旅行者使用的便携性挎包，可以装进药草、打火石等实用道具。,5,,601,sp_3014018,sp_3014018_icon,3
5002025,25,1,魅影腰带,RoleDressName_5002025,艾什尔,0,3014019,艾什尔,RoleDressSource_5002025,RoleDressDes_5002025,原本被设计用以收纳“灰风”的腰带，然而老练的佣兵从未将武器展现在他人面前。,5,,601,sp_3014019,sp_3014019_icon,4
5002026,26,1,冷酷贴纸,RoleDressName_5002026,阿波菲斯,0,3014020,阿波菲斯,RoleDressSource_5002026,RoleDressDes_5002026,是谁胆敢在魔物女王脸上乱贴，犯人很快会感受到她的冷酷。,2,1,,sp_3014020,sp_3014020_icon,4
5002027,27,1,小恶魔尾,RoleDressName_5002027,纳菲,0,3014021,纳菲,RoleDressSource_5002027,RoleDressDes_5002027,细长的小恶魔型尾饰，其特点是超越种族原本诱惑之意的，莫名其妙的可爱。,4,,601,sp_3014021,sp_3014021_icon,4
5002028,28,1,爱神礼帽,RoleDressName_5002028,丘吉尔,0,3014022,丘吉尔,RoleDressSource_5002028,RoleDressDes_5002028,小爱神所穿戴的白色帽子。对爱情的向往与憧憬，这是唯有青涩灵魂才能体会的悸动。,1,,101,sp_3014022,sp_3014022_icon,4
5002029,29,1,曜日天冠,RoleDressName_5002029,神光,0,3014023,神光,RoleDressSource_5002029,RoleDressDes_5002029,瑰丽的冠冕，其色泽让人联想到日出时分的赤霞。贸然触碰，或许会被灼伤。,1,,101,sp_3014023,sp_3014023_icon,5
5002030,30,1,忍者面罩,RoleDressName_5002030,雷雷,0,3014024,雷雷,RoleDressSource_5002030,RoleDressDes_5002030,其疾如风，忍者就要戴着面罩出动。,2,,103,sp_3014024,sp_3014024_icon,5
5002031,31,1,魔偶发型,RoleDressName_5002031,安普莎,0,3014025,安普莎,RoleDressSource_5002031,RoleDressDes_5002031,传说中的魔偶所拥有的发型，高贵而艳丽，却也罕有人能驾驭这份疯狂。,5,5,101,sp_3014025,sp_3014025_icon,5
5002032,32,1,炎之獠牙,RoleDressName_5002032,库萝爱,0,3014026,库萝爱,RoleDressSource_5002032,RoleDressDes_5002032,炎鬼少女为自身定制的古式肩甲，其所拥有的威严与进攻性是身为首领的必需品。,3,,503,sp_3014026,sp_3014026_icon,4
5002033,33,1,命定宣告,RoleDressName_5002033,贝拉,0,3014027,贝拉,RoleDressSource_5002033,RoleDressDes_5002033,她曾向神宣誓，其刃，将为那些恶魔赐下命定的仁慈。,3,,301,sp_3014027,sp_3014027_icon,4
5002034,34,1,童话甜点,RoleDressName_5002034,贝儿,0,3014029,贝儿,RoleDressSource_5002034,RoleDressDes_5002034,童话中出现的梦幻小屋，是那心中尚怀童真之人的向往。,1,,101,sp_3014029,sp_3014029_icon,5
5002035,35,1,纯洁恋情,RoleDressName_5002035,安娜,0,3014030,安娜,RoleDressSource_5002035,RoleDressDes_5002035,戏中人的发型，唯有忠诚于爱的优雅之人方可驾驭。,5,5,101,sp_3014030,sp_3014030_icon,5
5002036,36,1,崇高龙尾,RoleDressName_5002036,丹妮,0,3015002,丹妮,RoleDressSource_5002036,RoleDressDes_5002036,“笃信者，不会回头。”——后世评论风暴女王生平时如是说道。,4,,601,sp_3015002,sp_3015002_icon,5
5002037,37,1,水色睿智,RoleDressName_5002037,耶坦尼娅,0,3015004,耶坦尼娅,RoleDressSource_5002037,RoleDressDes_5002037,湖水不如大海深邃，却比之更为澄澈。而愿望越是纯粹，许愿者便越能如愿以偿。,5,2,,sp_3015004,sp_3015004_icon,5
5002038,38,1,纯洁祈愿,RoleDressName_5002038,希夕莉,0,3015006,希夕莉,RoleDressSource_5002038,RoleDressDes_5002038,少女的祈愿响彻天空，千年的和平就此到来。,3,,301,sp_3015006,sp_3015006_icon,5
5002039,39,1,夜之肌肤,RoleDressName_5002039,萨拉,0,3015007,萨拉,RoleDressSource_5002039,RoleDressDes_5002039,适天初分，黑夜占得穹顶一半。夜色，即为崇高。,5,3,,sp_3015007,sp_3015007_icon,5
5002040,40,1,“尽头”,RoleDressName_5002040,牧,0,3015008,牧,RoleDressSource_5002040,RoleDressDes_5002040,“恶兽所望向的是世界的尽头。”——烙印在大地深处的只言片语。,2,4,,sp_3015008,sp_3015008_icon,5
