SkillShowId,Time,SimpleTime
140201,6100,1610
140202,100000,2300
130031,560,550
130032,100000,2050
130152,100000,1950
140192,100000,2650
130182,100000,2552
140252,8970,1900
140292,100000,1900
140272,6740,1360
130172,100000,1733
130042,100000,2466
150021,7170,340
130251,3533,1333
130252,100000,2100
130072,100000,2600
160091,9500,1700
160092,7500,1950
160112,100000,800
160131,6600,1410
160132,100000,3133
140261,4260,410
140262,3800,1134
130192,2070,970
130221,1744,210
130222,100000,2000
140242,100000,2002
160172,100000,2200
130141,5160,1440
130142,100000,2200
130081,3150,1180
130082,100000,1330
140052,100000,2300
140053,100000,2900
140212,100000,2200
130092,100000,2600
160232,100000,2400
140011,4600,1610
140221,4776,1566
140222,100000,2800
140231,5833,1030
130061,5470,1000
130062,100000,2267
140041,100000,1594
140042,100000,1900
140032,100000,2400
140122,100000,2100
130242,100000,2400
150062,100000,2580
160782,100000,1900
160382,100000,3500
140162,100000,1600
150041,100000,2500
150042,100000,2500
150073,100000,2700
140092,100000,2400
161301,9500,1700
160106,100000,2300
161872,100000,2300
140312,100000,2500
140111,100000,500
140022,100000,2500
140023,100000,2500
160162,100000,1800
140062,100000,2000
140172,100000,2000
130132,100000,2000
170012,100000,2000
170022,100000,2000
161892,100000,2500
140282,100000,2500
2007087,-1,
2007080,-1,
2007015,-1,
2007086,-1,
2007006,-1,
2007061,-1,
2007062,-1,
2007075,1000,1600
2007057,-1,
2007058,-1,
2007081,-1,
2007051,-1,
2007068,-1,
2007007,-1,
2007026,-1,
2007049,-1,
2007085,-1,
2007048,-1,
2007071,-1,
2007042,-1,
2007037,-1,
2007054,-1,
2007063,-1,
2007067,-1,
2007096,-1,
2007046,-1,
2007084,-1,
2007077,-1,
2007018,-1,2260
2007095,1334,-1
