Id,Group,PlotId,PlotName
120101,101,5801001,library_plotname_120101
120102,101,5801002,library_plotname_120102
120103,101,5801003,library_plotname_120103
120104,101,5801004,library_plotname_120104
120105,101,5801005,library_plotname_120105
120106,101,5801006,library_plotname_120106
120107,101,5801007,library_plotname_120107
120108,101,5801008,library_plotname_120108
120109,101,5801009,library_plotname_120109
120110,101,5801010,library_plotname_120110
120111,101,5801011,library_plotname_120111
120112,101,5801012,library_plotname_120112
120113,101,5801013,library_plotname_120113
120114,101,5801014,library_plotname_120114
120115,101,5801015,library_plotname_120115
120116,101,5801016,library_plotname_120116
120117,101,5801017,library_plotname_120117
120118,101,5801018,library_plotname_120118
120119,101,5801019,library_plotname_120119
120201,102,5801020,library_plotname_120201
120202,102,5801021,library_plotname_120202
120203,102,5801022,library_plotname_120203
120204,102,5801023,library_plotname_120204
120205,102,5801024,library_plotname_120205
120206,102,5801025,library_plotname_120206
120207,102,5801026,library_plotname_120207
120208,102,5801027,library_plotname_120208
120209,102,5801028,library_plotname_120209
120210,102,5801029,library_plotname_120210
120211,102,5801030,library_plotname_120211
120212,102,5801031,library_plotname_120212
120213,102,5801032,library_plotname_120213
120214,102,5801033,library_plotname_120214
120215,102,5801034,library_plotname_120215
120216,102,5801035,library_plotname_120216
120217,102,5801036,library_plotname_120217
120218,102,5801037,library_plotname_120218
120301,103,5801038,library_plotname_120301
120302,103,5801039,library_plotname_120302
120303,103,5801040,library_plotname_120303
120304,103,5801041,library_plotname_120304
120305,103,5801042,library_plotname_120305
120306,103,5801043,library_plotname_120306
120307,103,5801044,library_plotname_120307
120308,103,5801045,library_plotname_120308
120309,103,5801046,library_plotname_120309
120310,103,5801047,library_plotname_120310
120311,103,5801048,library_plotname_120311
120312,103,5801049,library_plotname_120312
120313,103,5801050,library_plotname_120313
120314,103,5801051,library_plotname_120314
120315,103,5801052,library_plotname_120315
120401,104,5801053,library_plotname_120401
120402,104,5801054,library_plotname_120402
120403,104,5801055,library_plotname_120403
120404,104,5801056,library_plotname_120404
120405,104,5801057,library_plotname_120405
120406,104,5801058,library_plotname_120406
120407,104,5801059,library_plotname_120407
120408,104,5801060,library_plotname_120408
120409,104,5801061,library_plotname_120409
120410,104,5801062,library_plotname_120410
120411,104,5801063,library_plotname_120411
120412,104,5801064,library_plotname_120412
120413,104,5801065,library_plotname_120413
120414,104,5801066,library_plotname_120414
120415,104,5801067,library_plotname_120415
120416,104,5801068,library_plotname_120416
120417,104,5801069,library_plotname_120417
120418,104,5801070,library_plotname_120418
120501,105,5801071,library_plotname_120501
120502,105,5801072,library_plotname_120502
120503,105,5801073,library_plotname_120503
120504,105,5801074,library_plotname_120504
120505,105,5801075,library_plotname_120505
120506,105,5801076,library_plotname_120506
120507,105,5801077,library_plotname_120507
120508,105,5801078,library_plotname_120508
120509,105,5801079,library_plotname_120509
120510,105,5801080,library_plotname_120510
120511,105,5801081,library_plotname_120511
120512,105,5801082,library_plotname_120512
120513,105,5801083,library_plotname_120513
120514,105,5801084,library_plotname_120514
120515,105,5801085,library_plotname_120515
120516,105,5801086,library_plotname_120516
120517,105,5801087,library_plotname_120517
120518,105,5801088,library_plotname_120518
120519,105,5801089,library_plotname_120519
120520,105,5801090,library_plotname_120520
120521,105,5801091,library_plotname_120521
120522,105,5801092,library_plotname_120522
120523,105,5801093,library_plotname_120523
120524,105,5801094,library_plotname_120524
120525,105,5801095,library_plotname_120525
120701,106,5801096,library_plotname_120701
120702,106,5801097,library_plotname_120702
120703,106,5801098,library_plotname_120703
120704,106,5801099,library_plotname_120704
120705,106,5801100,library_plotname_120705
120706,106,5801101,library_plotname_120706
120707,106,5801102,library_plotname_120707
120708,106,5801103,library_plotname_120708
120709,106,5801134,library_plotname_120709
120710,106,5801104,library_plotname_120710
120711,106,5801105,library_plotname_120711
120712,106,5801106,library_plotname_120712
120713,106,5801107,library_plotname_120713
120714,106,5801108,library_plotname_120714
120715,106,5801109,library_plotname_120715
120716,106,5801110,library_plotname_120716
120801,107,5801111,library_plotname_120801
120802,107,5801112,library_plotname_120802
120803,107,5801113,library_plotname_120803
120804,107,5801114,library_plotname_120804
120805,107,5801115,library_plotname_120805
120806,107,5801116,library_plotname_120806
120807,107,5801117,library_plotname_120807
120808,107,5801118,library_plotname_120808
120809,107,5801119,library_plotname_120809
120810,107,5801120,library_plotname_120810
120811,107,5801121,library_plotname_120811
120812,107,5801122,library_plotname_120812
120813,107,5801123,library_plotname_120813
120814,107,5801124,library_plotname_120814
120815,107,5801125,library_plotname_120815
120816,107,5801126,library_plotname_120816
120817,107,5801127,library_plotname_120817
120818,107,5801128,library_plotname_120818
120901,108,5801140,library_plotname_120901
120902,108,5801141,library_plotname_120902
120903,108,5801142,library_plotname_120903
120904,108,5801143,library_plotname_120904
120905,108,5801144,library_plotname_120905
120906,108,5801145,library_plotname_120906
120907,108,5801146,library_plotname_120907
120908,108,5801147,library_plotname_120908
120909,108,5801148,library_plotname_120909
120910,108,5801149,library_plotname_120910
120911,108,5801150,library_plotname_120911
120912,108,5801151,library_plotname_120912
120913,108,5801152,library_plotname_120913
120914,108,5801153,library_plotname_120914
120915,108,5801154,library_plotname_120915
121001,109,5801155,library_plotname_121001
121002,109,5801156,library_plotname_121002
121003,109,5801157,library_plotname_121003
121004,109,5801158,library_plotname_121004
121005,109,5801159,library_plotname_121005
121006,109,5801160,library_plotname_121006
121007,109,5801161,library_plotname_121007
121008,109,5801162,library_plotname_121008
121009,109,5801163,library_plotname_121009
121010,109,5801164,library_plotname_121010
121011,109,5801165,library_plotname_121011
121012,109,5801166,library_plotname_121012
121013,109,5801167,library_plotname_121013
121014,109,5801168,library_plotname_121014
121015,109,5801169,library_plotname_121015
120916,109,5801170,library_plotname_120916
120917,109,5801171,library_plotname_120917
120918,109,5801172,library_plotname_120918
120919,109,5801173,library_plotname_120919
120920,109,5801174,library_plotname_120920
130101,201,5805150,library_plotname_130101
130102,201,5805151,library_plotname_130102
130103,201,5805152,library_plotname_130103
130104,201,5805153,library_plotname_130104
130105,201,5805154,library_plotname_130105
130106,201,5805155,library_plotname_130106
130107,201,5805156,library_plotname_130107
130108,201,5805157,library_plotname_130108
130109,201,5805158,library_plotname_130109
130110,201,5805159,library_plotname_130110
130111,201,5805160,library_plotname_130111
130112,201,5805161,library_plotname_130112
130113,201,5805162,library_plotname_130113
130114,201,5805163,library_plotname_130114
130115,201,5805164,library_plotname_130115
130116,201,5805165,library_plotname_130116
130117,201,5805166,library_plotname_130117
130118,201,5805167,library_plotname_130118
130119,201,5805168,library_plotname_130119
130120,202,5805173,library_plotname_130120
130121,203,5805179,library_plotname_130121
130122,203,5805180,library_plotname_130122
130123,203,5805181,library_plotname_130123
130124,203,5805182,library_plotname_130124
130125,204,5805185,library_plotname_130125
130126,204,5805186,library_plotname_130126
130127,204,5805187,library_plotname_130127
130128,204,5805188,library_plotname_130128
130129,204,5805189,library_plotname_130129
130130,204,5805190,library_plotname_130130
130131,204,5805191,library_plotname_130131
130132,204,5805192,library_plotname_130132
130133,204,5805193,library_plotname_130133
130134,204,5805194,library_plotname_130134
130135,204,5805195,library_plotname_130135
130136,204,5805196,library_plotname_130136
130137,204,5805197,library_plotname_130137
130138,204,5805231,library_plotname_130138
130139,204,5805232,library_plotname_130139
130140,204,5805198,library_plotname_130140
130141,204,5805199,library_plotname_130141
130142,204,5805200,library_plotname_130142
130143,204,5805201,library_plotname_130143
130144,204,5805202,library_plotname_130144
130145,204,5805203,library_plotname_130145
130146,204,5805204,library_plotname_130146
130147,204,5805205,library_plotname_130147
130148,204,5805206,library_plotname_130148
130149,204,5805207,library_plotname_130149
130150,204,5805208,library_plotname_130150
130151,204,5805209,library_plotname_130151
130152,204,5805210,library_plotname_130152
130153,204,5805211,library_plotname_130153
130154,204,5805212,library_plotname_130154
130155,204,5805213,library_plotname_130155
130156,204,5805214,library_plotname_130156
130157,204,5805215,library_plotname_130157
130158,204,5805216,library_plotname_130158
130159,204,5805217,library_plotname_130159
130160,204,5805218,library_plotname_130160
130161,204,5805219,library_plotname_130161
130162,204,5805220,library_plotname_130162
130163,204,5805221,library_plotname_130163
130164,204,5805222,library_plotname_130164
130165,204,5805223,library_plotname_130165
130166,204,5805224,library_plotname_130166
130167,204,5805225,library_plotname_130167
130168,204,5805226,library_plotname_130168
130169,204,5805227,library_plotname_130169
130170,204,5805228,library_plotname_130170
130171,204,5805229,library_plotname_130171
130172,204,5805230,library_plotname_130172
130173,205,5805235,library_plotname_130173
130174,205,5805236,library_plotname_130174
130175,205,5805237,library_plotname_130175
130176,205,5805238,library_plotname_130176
130177,205,5805239,library_plotname_130177
130178,206,5805243,library_plotname_130178
130179,206,5805244,library_plotname_130179
130180,206,5805245,library_plotname_130180
130181,206,5805246,library_plotname_130181
