Id,Name,,Type
101,area_name_101,安徽,1
102,area_name_102,澳门,1
103,area_name_103,北京,1
104,area_name_104,重庆,1
105,area_name_105,福建,1
106,area_name_106,甘肃,1
107,area_name_107,广东,1
108,area_name_108,广西,1
109,area_name_109,贵州,1
110,area_name_110,海南,1
111,area_name_111,河北,1
112,area_name_112,河南,1
113,area_name_113,黑龙江,1
114,area_name_114,湖北,1
115,area_name_115,湖南,1
116,area_name_116,吉林,1
117,area_name_117,江苏,1
118,area_name_118,江西,1
119,area_name_119,辽宁,1
120,area_name_120,内蒙古,1
121,area_name_121,宁夏,1
122,area_name_122,青海,1
123,area_name_123,山东,1
124,area_name_124,山西,1
125,area_name_125,陕西,1
126,area_name_126,上海,1
127,area_name_127,四川,1
128,area_name_128,台湾,1
129,area_name_129,天津,1
130,area_name_130,西藏,1
131,area_name_131,香港,1
132,area_name_132,新疆,1
133,area_name_133,云南,1
134,area_name_134,浙江,1
201,area_name_201,东京都,2
202,area_name_202,北海道,2
203,area_name_203,大阪府,2
204,area_name_204,京都府,2
205,area_name_205,青森县,2
206,area_name_206,岩手县,2
207,area_name_207,宫城县,2
208,area_name_208,秋田县,2
209,area_name_209,山形县,2
210,area_name_210,福岛县,2
211,area_name_211,茨城县,2
212,area_name_212,枥木县,2
213,area_name_213,群马县,2
214,area_name_214,埼玉县,2
215,area_name_215,千叶县,2
216,area_name_216,神奈川县,2
217,area_name_217,新潟县,2
218,area_name_218,富山县,2
219,area_name_219,石川县,2
220,area_name_220,福井县,2
221,area_name_221,山梨县,2
222,area_name_222,岐阜县,2
223,area_name_223,静冈县,2
224,area_name_224,长野县,2
225,area_name_225,爱知县,2
226,area_name_226,三重县,2
227,area_name_227,滋贺县,2
228,area_name_228,京都府,2
229,area_name_229,大阪府,2
230,area_name_230,兵库县,2
231,area_name_231,奈良县,2
232,area_name_232,和歌山县,2
233,area_name_233,鸟取县,2
234,area_name_234,岛根县,2
235,area_name_235,冈山县,2
236,area_name_236,广岛县,2
237,area_name_237,山口县,2
238,area_name_238,徳岛县,2
239,area_name_239,香川县,2
240,area_name_240,爱媛县,2
241,area_name_241,高知县,2
242,area_name_242,福冈县,2
243,area_name_243,佐贺县,2
244,area_name_244,长崎县,2
245,area_name_245,熊本县,2
246,area_name_246,大分县,2
247,area_name_247,宫崎县,2
248,area_name_248,鹿儿岛县,2
249,area_name_249,冲绳县,2
